date,L7GG,L7GM,L7GP,L7GQ,L7GR,D7EO,L7GT,L7GU,L7GY,L7H9,D7E3,D7F8,L7IO,D7E8,D7EB
1988-01-01,,,,,,2086.3,,,,,122.3,,,,53.2
1988-02-01,,,,,,2081.1,,,,,122.5,,,,54.8
1988-03-01,,,,,,2085.9,,,,,123.1,,,,55.0
1988-04-01,,,,,,2277.1,,,,,123.6,,,,55.2
1988-05-01,,,,,,2280.4,,,,,124.4,,,,55.2
1988-06-01,,,,,,2259.2,,,,,124.2,,,,55.4
1988-07-01,,,,,,2265.5,,,,,123.1,,,,55.4
1988-08-01,,,,,,2256.0,,,,,123.6,,,,55.4
1988-09-01,,,,,,2235.3,,,,,124.6,,,,55.5
1988-10-01,,,,,,2263.0,,,,,124.9,,,,55.5
1988-11-01,,,,,,2232.5,,,,,125.6,,,,55.8
1988-12-01,,,,,,2247.7,,,,,125.4,,,,55.7
1989-01-01,,,,,,2231.7,,,,,124.2,,,,55.7
1989-02-01,,,,,,2232.9,,,,,124.1,,,,55.7
1989-03-01,,,,,,2230.1,,,,,124.2,,,,55.8
1989-04-01,,,,,,2232.5,,,,,124.4,,,,55.9
1989-05-01,,,,,,2232.3,,,,,124.7,,,,56.2
1989-06-01,,,,,,2232.3,,,,,124.6,,,,56.7
1989-07-01,,,,,,2228.2,,,,,124.3,,,,56.8
1989-08-01,,,,,,2230.2,,,,,124.0,,,,57.0
1989-09-01,,,,,,2248.3,,,,,124.5,,,,57.1
1989-10-01,,,,,,2235.0,,,,,124.9,,,,57.3
1989-11-01,,,,,,2256.1,,,,,125.3,,,,57.2
1989-12-01,,,,,,2248.0,,,,,125.4,,,,57.3
1990-01-01,,,,,,2246.9,,,,,124.0,,,,57.8
1990-02-01,,,,,,2240.1,,,,,124.5,,,,58.2
1990-03-01,,,,,,2227.0,,,,,125.0,,,,58.6
1990-04-01,,,,,,2222.0,,,,,126.1,,,,58.9
1990-05-01,,,,,,2224.2,,,,,126.6,,,,59.7
1990-06-01,,,,,,2206.5,,,,,126.4,,,,60.0
1990-07-01,,,,,,2213.2,,,,,125.0,,,,60.2
1990-08-01,,,,,,2218.4,,,,,125.7,,,,60.7
1990-09-01,,,,,,2217.2,,,,,126.5,,,,60.7
1990-10-01,,,,,,2216.1,,,,,127.5,,,,60.7
1990-11-01,,,,,,2211.4,,,,,127.5,,,,61.5
1990-12-01,,,,,,2224.7,,,,,128.1,,,,61.5
1991-01-01,,,,,,2135.6,,,,,123.8,,,,62.1
1991-02-01,,,,,,2136.0,,,,,125.3,,,,63.5
1991-03-01,,,,,,2126.9,,,,,127.3,,,,64.1
1991-04-01,,,,,,2162.1,,,,,131.5,,,,65.6
1991-05-01,,,,,,2169.5,,,,,133.1,,,,65.6
1991-06-01,,,,,,2167.9,,,,,132.3,,,,64.9
1991-07-01,,,,,,2166.2,,,,,130.6,,,,64.6
