year,L8C3,L8CA,L8CD,L8CE,L8CF,CJYD,L8CH,L8CI,L8CM,L8CT,CJXI,CJYH,L8UI,CJXN,CJXQ
1988,,,,,,2.0,,,,,19.0,,,,9.0
1989,,,,,,1.0,,,,,18.0,,,,8.0
1990,,,,,,1.0,,,,,17.0,,,,11.0
1991,,,,,,2.0,,,,,14.0,,,,13.0
1992,,,,,,1.0,,,,,15.0,,,,12.0
1993,,,,,,1.0,,,,,12.0,,,,11.0
1994,,,,,,2.0,,,,,13.0,,,,10.0
1995,,,,,,4.0,,,,,12.0,4.0,,,9.0
1996,,,,,,5.0,,,,,11.0,4.0,,13.0,8.0
1997,,,,,,4.0,,,,,11.0,5.0,,12.0,8.0
1998,,,,,,4.0,,,,,11.0,5.0,,18.0,11.0
1999,,,,,,4.0,,,,,12.0,5.0,,21.0,9.0
2000,,,,,,3.0,,,,,11.0,3.0,,34.0,7.0
2001,,,,,,4.0,,,,,10.0,4.0,,29.0,6.0
2002,,,,,,5.0,,,,,8.0,5.0,,28.0,5.0
2003,,,,,,5.0,,,,,8.0,6.0,,31.0,5.0
2004,,,,,,4.0,,,,,9.0,6.0,,32.0,5.0
2005,,,,,,4.0,,,,,7.0,6.0,,33.0,6.0
2006,,,,,,5.0,,,,,8.0,6.0,,31.0,6.0
2007,,,,,,4.0,,,,,7.0,5.0,,27.0,6.0
2008,,,,,,4.0,,,,,8.0,5.0,,26.0,5.0
2009,,,,,,4.0,,,,,8.0,4.0,,26.0,5.0
2010,,,,,,3.0,,,,,8.0,4.0,,23.0,5.0
2011,,,,,,5.0,,,,,8.0,5.0,,25.0,6.0
2012,,,,,,4.0,,,,,8.0,4.0,,24.0,5.0
2013,,,,,,3.0,,,,,8.0,4.0,,21.0,5.0
2014,,,,,,3.0,,,,,8.0,4.0,,23.0,5.0
2015,0.96,1.2,3.2,0.35,0.25,3.0,3.36,2.56,0.21,8.36,7.0,5.0,2.07,24.0,6.0
2016,1.0,1.2,3.2,0.35,0.25,2.0,2.94,2.24,0.21,8.8,7.0,5.0,1.92,25.0,5.0
2017,0.96,0.96,2.56,0.28,0.2,2.0,3.64,2.24,0.28,9.24,7.0,5.0,1.2,27.0,5.0
2018,1.15,1.2,3.2,0.35,0.25,2.0,2.52,1.92,0.28,9.24,8.0,4.0,1.15,28.0,5.0
2019,1.15,1.25,3.1,0.35,0.3,2.0,3.12,2.64,0.28,9.9,9.0,5.0,1.2,26.0,5.0
2020,1.2,1.04,2.36,0.32,0.28,3.0,3.51,3.24,0.36,9.2,8.0,5.0,1.32,23.0,5.0
2021,1.15,1.89,3.99,0.63,0.49,4.0,3.42,3.24,0.4,12.96,10.0,7.0,2.75,22.0,5.0
2022,2.53,1.68,3.36,0.54,0.42,2.0,2.05,1.65,0.45,5.76,13.0,3.0,1.15,22.0,4.0
2023,4.62,1.55,2.6,0.5,0.35,2.0,1.64,1.28,0.15,4.7,11.0,4.0,1.14,18.0,5.0
2024,3.3527,0.9828,1.5253,0.3339,0.207,0.7916,2.1641,1.823,0.2144,4.7695,9.0184,3.6661,0.7654,16.6727,4.1481
2025,3.5427,1.103,1.6217,0.4638,0.2246,0.9617,2.1636,1.9285,0.2257,4.8894,9.3028,3.3873,1.0244,16.39,4.387
2026,4.2349,0.7851,1.0692,0.3875,0.1875,1.4077,2.4667,2.032,0.224,4.5684,9.8906,3.214,1.0811,16.6983,4.633
