cdid,series_type,Title,CDID,Source dataset ID,PreUnit,Unit,Release date,Next release,Important notes
L7GG,index,CPI INDEX 08.2.0.2 Mobile telephone equipment 2015=100,L7GG,MM23,,,19-08-2026,16 September 2026,
L8C3,weight,CPI WEIGHTS 08.2.0.2 Mobile telephone equipment,L8C3,MM23,,,19-08-2026,16 September 2026,
L7GM,index,"CPI INDEX 09.1.1.1 Equipment for the reception, recording and reproduction of sound 2015=100",L7GM,MM23,,,19-08-2026,16 September 2026,
L8CA,weight,"CPI WEIGHTS 09.1.1.1 Equipment for the reception, recording and reproduction of sound",L8CA,MM23,,,19-08-2026,16 September 2026,
L7GP,index,"CPI INDEX 09.1.1.2 Equipment for the reception, recording and reproduction of sound and vision 2015=100",L7GP,MM23,,,19-08-2026,16 September 2026,
L8CD,weight,"CPI WEIGHTS 09.1.1.2 Equipment for the reception, recording and reproduction of sound and vision",L8CD,MM23,,,19-08-2026,16 September 2026,
L7GQ,index,CPI INDEX 09.1.1.3 Portable sound and vision devices 2015=100,L7GQ,MM23,,,19-08-2026,16 September 2026,
L8CE,weight,CPI WEIGHTS 09.1.1.3 Portable sound and vision devices,L8CE,MM23,,,19-08-2026,16 September 2026,
L7GR,index,"CPI INDEX 09.1.1.9 Other equipment for the reception, recording and reproduction of sound and picture 2015=100",L7GR,MM23,,,19-08-2026,16 September 2026,
L8CF,weight,"CPI WEIGHTS 09.1.1.9 Other equipment for the reception, recording and reproduction of sound and picture",L8CF,MM23,,,19-08-2026,16 September 2026,
D7EO,index,"CPI INDEX 09.1.2 : PHOTOGRAPHIC, CINEMATOGRAPHIC & OPTICAL EQUIPMENT 2015=100",D7EO,MM23,,"Index, base year = 100",19-08-2026,16 September 2026,
CJYD,weight,"CPI WEIGHTS 09.1.2 : Photographic, cinematographic and optical equipment",CJYD,MM23,,Parts per 1000,19-08-2026,16 September 2026,
L7GT,index,CPI INDEX 09.1.3.1 Personal computers 2015=100,L7GT,MM23,,,19-08-2026,16 September 2026,
L8CH,weight,CPI WEIGHTS 09.1.3.1 Personal computers,L8CH,MM23,,,19-08-2026,16 September 2026,
L7GU,index,CPI INDEX 09.1.3.2 Accessories for information processing equipment 2015=100,L7GU,MM23,,,19-08-2026,16 September 2026,
L8CI,weight,CPI WEIGHTS 09.1.3.2 Accessories for information processing equipment,L8CI,MM23,,,19-08-2026,16 September 2026,
L7GY,index,CPI INDEX 09.1.4.9 Other recording media 2015=100,L7GY,MM23,,,19-08-2026,16 September 2026,
L8CM,weight,CPI WEIGHTS 09.1.4.9 Other recording media,L8CM,MM23,,,19-08-2026,16 September 2026,
L7H9,index,CPI INDEX 09.3.1.1 Games and hobbies 2015=100,L7H9,MM23,,,19-08-2026,16 September 2026,
L8CT,weight,CPI WEIGHTS 09.3.1.1 Games and hobbies,L8CT,MM23,,,19-08-2026,16 September 2026,
D7E3,index,CPI INDEX 05.3.1/2 : Major appliances and small electric goods 2015=100,D7E3,MM23,,"Index, base year = 100",19-08-2026,16 September 2026,
CJXI,weight,CPI WEIGHTS 05.3.1/2 Major appliances and small electric goods,CJXI,MM23,,Parts per 1000,19-08-2026,16 September 2026,
D7F8,index,CPI INDEX 06.1.2/3 : OTHER MEDICAL AND THERAPEUTIC EQUIPMENT 2015=100,D7F8,MM23,,"Index, base year = 100",19-08-2026,16 September 2026,
CJYH,weight,CPI WEIGHTS 06.1.2/3 Other medical and therapeutic equipment,CJYH,MM23,,Parts per 1000,19-08-2026,16 September 2026,
L7IO,index,CPI INDEX 12.1.2.1 Electric appliances for personal care 2015=100,L7IO,MM23,,,19-08-2026,16 September 2026,
L8UI,weight,CPI WEIGHTS 12.1.2.1 Electric appliances for personal care,L8UI,MM23,,,19-08-2026,16 September 2026,
D7E8,index,CPI INDEX 07.1.1A : NEW CARS 2015=100,D7E8,MM23,,"Index, base year = 100",19-08-2026,16 September 2026,
CJXN,weight,CPI WEIGHTS 07.1.1A : NEW CARS,CJXN,MM23,,Parts per 1000,19-08-2026,16 September 2026,
D7EB,index,CPI INDEX 07.2.1 : SPARE PARTS & ACCESSORIES 2015=100,D7EB,MM23,,"Index, base year = 100",19-08-2026,16 September 2026,
CJXQ,weight,CPI WEIGHTS 07.2.1 : SPARE PARTS & ACCESSORIES,CJXQ,MM23,,Parts per 1000,19-08-2026,16 September 2026,
