target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,rmse_ratio_lower_90,rmse_ratio_upper_90,rmse_ratio_bootstrap_block,rmse_ratio_bootstrap_draws,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ols,a0_controls_ols,112,2.08472580849977,2.628410737958073,-0.33495092732132503,1.5447625007523118,2.1894589545160166,1.3495445464817353,1.2004841344646662,1.0608486101458179,1.41268077914208,12,2000,0.5446428571428571,-2.0699153418708875,0.03846027298311711,2.8671559365342776,0.002070894409994965,0.002070894409994965
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ridge,112,2.0374025249395125,2.566635168130818,-0.22655486251136336,1.5731232803048012,2.210293215853774,1.295132142818937,1.1612193123161711,1.049750115353853,1.3078959904124285,12,2000,0.45535714285714285,-2.907528935398728,0.003642966400526581,1.472694262906072,0.07041674712879417,0.07041674712879417
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ols,112,2.0374025249395125,2.566635168130818,-0.22655486251136336,1.5447625007523118,2.1894589545160166,1.318909880287281,1.1722691411212944,1.0606899819262547,1.3112205351788828,12,2000,0.45535714285714285,-2.933526311027009,0.00335135247812058,1.957128873070535,0.025166159287931467,0.025166159287931467
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ols,a0_controls_ols,42,2.584346225158572,3.016471215268022,-0.832236042077136,1.6320685163549034,2.288736578265627,1.5834790018071703,1.3179634755319296,1.061453626276675,1.8941636087732074,12,2000,0.6428571428571429,-1.5433762268692577,0.12273951832433985,2.8418665055561303,0.0022425133620484474,0.0022425133620484474
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ridge,42,2.551722685467073,2.997412211616808,-0.4549945998430963,1.646550012288091,2.3021884311834913,1.5497389489682913,1.3019838736987837,1.0744824444590304,1.7107079174773099,12,2000,0.5238095238095238,-2.6024942421690684,0.009254836921609041,1.772278240125017,0.038174190740118755,0.038174190740118755
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ols,42,2.551722685467073,2.997412211616808,-0.4549945998430963,1.6320685163549034,2.288736578265627,1.5634899269830564,1.3096361722362149,1.0796226567193945,1.704964834350849,12,2000,0.5238095238095238,-2.543437019445628,0.010976784355024501,2.241450924313651,0.012498440515849649,0.012498440515849649
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ols,a0_controls_ols,36,2.020819525217364,2.708164605299475,0.24949952957534516,1.8001873617988666,2.4376400311356985,1.1225606667952759,1.1109780651402164,1.0022115456592116,1.3637437194706437,12,2000,0.5,-1.2271997145104745,0.2197475367185978,0.8657966902706299,0.1933008322690419,0.1933008322690419
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ridge,36,2.0313647198825935,2.640332722023073,0.35424420258951894,1.8826728230257332,2.4902541041526205,1.0789791487072566,1.0602663871209725,1.0168460615963868,1.1550717137899305,12,2000,0.3333333333333333,-1.7146600860920738,0.08640756547752439,-0.5732744440256181,0.7167705569135011,0.7167705569135011
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ols,36,2.0313647198825935,2.640332722023073,0.35424420258951894,1.8001873617988666,2.4376400311356985,1.1284184985349075,1.0831511988227973,1.0338502938490657,1.1630158681264102,12,2000,0.3333333333333333,-2.068699071753145,0.03857433437922026,-0.5175918929741143,0.697628480342816,0.697628480342816
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ols,a0_controls_ols,34,1.535213123161444,1.9369858094571175,-0.3394874458076798,1.1664640403704056,1.7402956231790392,1.3161255469769508,1.1130211348338506,1.0248605209183752,1.3655954330765787,12,2000,0.47058823529411764,-1.2635888333469922,0.20637764365930333,0.2538690267516048,0.3997983720478401,0.3997983720478401
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ridge,a0_controls_ridge,34,1.4084588261127926,1.7945669253893954,-0.5593283147378039,1.1546613308562217,1.7262011933398984,1.2198025416408214,1.0396047299198197,0.9600931163389299,1.2606937646500747,12,2000,0.5,-0.47612227622135006,0.6339872676896076,0.302184356335727,0.38125576448633036,0.38125576448633036
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ridge,a0_controls_ols,34,1.4084588261127926,1.7945669253893954,-0.5593283147378039,1.1664640403704056,1.7402956231790392,1.2074601336750532,1.0311851052703433,0.9496619103774827,1.2595857996329116,12,2000,0.5,-0.3521608660278995,0.7247176237635391,0.42786244813354773,0.33437563409643567,0.33437563409643567
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,ex_pandemic,a1_ardl_ols,a0_controls_ols,76,2.114997205844068,2.5897754875562873,-0.6117958805881688,1.4237717770986809,2.06149733632381,1.4854889244636842,1.2562594391582071,1.0644296609461101,1.5604174224510403,12,2000,0.5657894736842105,-1.742979431900671,0.08133720765972909,2.7524043198272046,0.0029579715448660145,0.0029579715448660145
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,ex_pandemic,a1_ardl_ridge,a0_controls_ridge,76,2.040262537861211,2.5309769121733208,-0.501670209138097,1.4264945495422547,2.0644714026156317,1.4302631149315692,1.2259685016545343,1.0472021402624307,1.4483017494003876,12,2000,0.5131578947368421,-2.571718809456708,0.010119504577644026,1.737640242786043,0.04113711211255254,0.04113711211255254
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,ex_pandemic,a1_ardl_ridge,a0_controls_ols,76,2.040262537861211,2.5309769121733208,-0.501670209138097,1.4237717770986809,2.06149733632381,1.4329983011875655,1.2277371731591544,1.0470699397760974,1.451632693009812,12,2000,0.5131578947368421,-2.4806481109668668,0.013114376755038048,2.2122083363883056,0.013476136555148788,0.013476136555148788
