target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,rmse_ratio_lower_90,rmse_ratio_upper_90,rmse_ratio_bootstrap_block,rmse_ratio_bootstrap_draws,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m0_ridge_controls,m0_controls,112,1.602648334975847,2.2110547302847414,0.02609839549074779,1.5254658734619135,2.175612919391426,1.050595993562789,1.0162904947738725,0.9913124072785195,1.0424975681163589,12,2000,0.48214285714285715,-0.9644991313160846,0.3347957437218376,0.5888974838921147,0.2779650228589987,0.2779650228589987
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m4_asia_ols,m0_controls,112,1.8481056484022638,2.375043949862732,-0.41988924053173654,1.5254658734619135,2.175612919391426,1.2115024534820613,1.0916665959710754,1.0008418112126078,1.224639172429259,12,2000,0.49107142857142855,-1.0711293878139456,0.28411125596199904,2.7495150160982123,0.002984176408588031,0.002984176408588031
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m1_oecd_weighted,m0_controls,112,1.6343944625182711,2.2069934175721726,-0.03751659457487647,1.5254658734619135,2.175612919391426,1.0714067688772044,1.0144237506134706,0.9629138877363567,1.078895262121679,12,2000,0.5,-0.45551300921653165,0.6487402105830289,1.8059121336365582,0.035466032750699795,0.035466032750699795
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m2_asia_factor,m0_controls,112,1.6598436342518375,2.20069445265238,-0.046293253699990426,1.5254658734619135,2.175612919391426,1.0880896538740426,1.011528490678374,0.9487752193918261,1.0845005607045564,12,2000,0.49107142857142855,-0.33092373782734247,0.7407020910383743,1.7631787082624097,0.03893517682008857,0.03893517682008857
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m3_asia_ridge,m0_controls,112,1.643829902870047,2.1737913023484663,-0.2898415521430659,1.5254658734619135,2.175612919391426,1.0775920533309056,0.9991627108725437,0.9467265911732753,1.059116940632688,12,2000,0.4732142857142857,0.011563963056249531,0.9907734980522157,2.358606535560025,0.009171846815809704,0.009171846815809704
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m3_asia_ridge,m0_ridge_controls,112,1.643829902870047,2.1737913023484663,-0.2898415521430659,1.602648334975847,2.2110547302847414,1.02569594776063,0.983146763657236,0.9222949804036573,1.0513668303030843,12,2000,0.4732142857142857,0.2545147073177694,0.7990979433142927,2.4805978930984915,0.0065581121283892424,0.0065581121283892424
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m2_asia_factor,m1_oecd_weighted,112,1.6598436342518375,2.20069445265238,-0.046293253699990426,1.6343944625182711,2.2069934175721726,1.0155710095189348,0.9971459067935409,0.9713283816855942,1.0268280844920028,12,2000,0.49107142857142855,0.16911158658013753,0.8657088714208225,1.127167477835264,0.12983583901316015,0.12983583901316015
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m0_ridge_controls,m0_controls,42,1.679180930735055,2.3275942026625325,-0.09344996068948935,1.5877192289161997,2.2614141079369565,1.0576057152632008,1.029264916360653,0.9851516858873572,1.090305061949745,12,2000,0.5,-0.9993414964840742,0.31762928993361084,-0.0409754154036974,0.5163422524684137,0.5163422524684137
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m4_asia_ols,m0_controls,42,2.1048046672991014,2.5600601760606843,-1.0030719948883777,1.5877192289161997,2.2614141079369565,1.32567813563351,1.1320616454436896,0.9855089849826837,1.4635900933565176,12,2000,0.5714285714285714,-0.6846318915662934,0.4935762372612852,2.6375146029820433,0.004175801481859854,0.004175801481859854
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m1_oecd_weighted,m0_controls,42,1.8007842854657579,2.2711034170170765,0.09817300598797336,1.5877192289161997,2.2614141079369565,1.1341956768357586,1.0042846239643208,0.9130935876180404,1.2161582581938715,12,2000,0.42857142857142855,-0.05890597669747338,0.9530269976041531,1.9934572910598671,0.023105697889900148,0.023105697889900148
