target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m1_controls,m0_ar,65,3.918488329361802,5.028799689923719,-0.8866163426519219,3.668518002013151,4.652327162231146,1.0681393214402861,1.08092133561648,0.6615384615384615,-2.097751726828992,0.03592708285481772,-1.2809164275032703,0.8998884889639707,0.8998884889639707
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m2_tech,m1_controls,65,4.053081679018842,5.234958969989823,-1.103194170137163,3.918488329361802,5.028799689923719,1.0343482839156397,1.0409957231900067,0.6461538461538462,-2.1948042445515865,0.028177642891725595,-1.863015517527147,0.9687699584723766,0.9687699584723766
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m2_tech,m0_ar,65,4.053081679018842,5.234958969989823,-1.103194170137163,3.668518002013151,4.652327162231146,1.104828074114576,1.1252344874815856,0.6461538461538462,-2.1775527496203946,0.029439350571084533,-1.0293406018617637,0.8483401748337556,0.8483401748337556
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m1_controls,m0_ar,23,4.888810776520939,5.929925459552533,-2.8918972164746997,4.1877044356378175,5.022197729225517,1.167420206382435,1.1807431286595318,0.43478260869565216,-2.138851163634694,0.03244772428034203,-1.2515222607316145,0.8946280013935619,0.8946280013935619
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m1_controls,23,5.265571717388653,6.39282464429603,-3.7105649239786045,4.888810776520939,5.929925459552533,1.07706596922858,1.0780615520213348,0.43478260869565216,-2.2132808237078403,0.026878290847446216,-1.8955758409669219,0.970991922816632,0.970991922816632
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m0_ar,23,5.265571717388653,6.39282464429603,-3.7105649239786045,4.1877044356378175,5.022197729225517,1.2573885760843264,1.2729137698212214,0.43478260869565216,-2.210353151138754,0.027080662502980305,-1.0032157964899187,0.8421216235256489,0.8789715719563411
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m1_controls,m0_ar,42,3.387121274965131,4.458809749102288,0.21151365967959931,3.3842016216948823,4.436731988173703,1.0008627302970166,1.0049761313028225,0.7857142857142857,-0.5568444520842954,0.577633709633129,-0.3548762846923995,0.6386588621396503,0.7960452554861719
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m2_tech,m1_controls,42,3.3890990389591815,4.475709421510394,0.32465171887124555,3.387121274965131,4.458809749102288,1.0005839070507065,1.003790175710347,0.7619047619047619,-0.9115843014636681,0.3619875894337866,-0.3902704628222266,0.6518317188539507,0.6518317188539507
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m2_tech,m0_ar,42,3.3890990389591815,4.475709421510394,0.32465171887124555,3.3842016216948823,4.436731988173703,1.0014471411020265,1.0087851674251649,0.7619047619047619,-0.856634505914439,0.3916469094986871,-0.28547981398927735,0.612361716328581,0.612361716328581
cpi_L7GG_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,ex_pandemic,m1_controls,m0_ar,42,3.387121274965131,4.458809749102288,0.21151365967959931,3.3842016216948823,4.436731988173703,1.0008627302970166,1.0049761313028225,0.7857142857142857,-0.5568444520842954,0.577633709633129,-0.3548762846923995,0.6386588621396503,0.7960452554861719
