target,candidate,horizon,window,model,origin,target_date,actual,prediction,error,actual_direction,predicted_direction,train_n
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m0_ar,2021-01-01,2021-02-01,-5.828220858895705,-7.90596373242213,2.077742873526425,1.0,1.0,60
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m1_controls,2021-01-01,2021-02-01,-5.828220858895705,-7.0941254232238835,1.2659045643281788,1.0,1.0,60
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m2_tech,2021-01-01,2021-02-01,-5.828220858895705,-6.233708746888284,0.40548788799257895,1.0,1.0,60
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m0_ar,2021-02-01,2021-03-01,-4.623115577889436,-4.405917419610627,-0.2171981582788094,1.0,1.0,61
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m1_controls,2021-02-01,2021-03-01,-4.623115577889436,-4.413770074812724,-0.20934550307671174,1.0,1.0,61
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m2_tech,2021-02-01,2021-03-01,-4.623115577889436,-3.231595734796387,-1.3915198430930493,1.0,1.0,61
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m0_ar,2021-03-01,2021-04-01,6.911928651059096,-3.5221825532428266,10.434111204301923,1.0,1.0,62
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m1_controls,2021-03-01,2021-04-01,6.911928651059096,-2.662891394559772,9.574820045618868,1.0,1.0,62
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m2_tech,2021-03-01,2021-04-01,6.911928651059096,-1.18328900361464,8.095217654673736,1.0,1.0,62
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m0_ar,2021-04-01,2021-05-01,-4.402515723270439,5.080146275199468,-9.482661998469908,-1.0,-1.0,63
