target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts_baseline,rmse_baseline,benchmark_rmse_baseline,rmse_ratio_baseline,clark_west_one_sided_p_baseline,clark_west_fdr_q_baseline,n_forecasts_covid_dummy,rmse_covid_dummy,benchmark_rmse_covid_dummy,rmse_ratio_covid_dummy,clark_west_one_sided_p_covid_dummy,clark_west_fdr_q_covid_dummy,delta_n_forecasts,delta_rmse,delta_benchmark_rmse,delta_rmse_ratio,delta_clark_west_one_sided_p,delta_clark_west_fdr_q
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m0_ridge_controls,m0_controls,112,2.181181336493541,2.14407745408177,1.0173052901335886,0.4257840628618403,0.4257840628618403,112,2.2110547302847414,2.175612919391426,1.0162904947738725,0.2779650228589987,0.2779650228589987,0,0.029873393791200353,0.03153546530965601,-0.0010147953597161585,-0.14781904000284157,-0.14781904000284157
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m4_asia_ols,m0_controls,112,2.3543638064684984,2.14407745408177,1.098077777920941,0.0041154327194645,0.0041154327194645,112,2.375043949862732,2.175612919391426,1.0916665959710754,0.002984176408588031,0.002984176408588031,0,0.020680143394233408,0.03153546530965601,-0.006411181949865563,-0.0011312563108764689,-0.0011312563108764689
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m1_oecd_weighted,m0_controls,112,2.1950803423572456,2.14407745408177,1.0237878012188315,0.0657855643780006,0.0657855643780006,112,2.2069934175721726,2.175612919391426,1.0144237506134706,0.035466032750699795,0.035466032750699795,0,0.011913075214927016,0.03153546530965601,-0.00936405060536094,-0.0303195316273008,-0.0303195316273008
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m2_asia_factor,m0_controls,112,2.184330673089267,2.14407745408177,1.0187741440640892,0.0535625437156812,0.0535625437156812,112,2.20069445265238,2.175612919391426,1.011528490678374,0.03893517682008857,0.03893517682008857,0,0.016363779563112857,0.03153546530965601,-0.007245653385715256,-0.01462736689559263,-0.01462736689559263
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m3_asia_ridge,m0_controls,112,2.153731443255131,2.14407745408177,1.0045026307958147,0.0106374991419994,0.0106374991419994,112,2.1737913023484663,2.175612919391426,0.9991627108725437,0.009171846815809704,0.009171846815809704,0,0.020059859093335408,0.03153546530965601,-0.005339919923270986,-0.0014656523261896964,-0.0014656523261896964
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m3_asia_ridge,m0_ridge_controls,112,2.153731443255131,2.181181336493541,0.9874151255656082,0.0082528077647548,0.0082528077647548,112,2.1737913023484663,2.2110547302847414,0.983146763657236,0.0065581121283892424,0.0065581121283892424,0,0.020059859093335408,0.029873393791200353,-0.004268361908372209,-0.0016946956363655579,-0.0016946956363655579
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m2_asia_factor,m1_oecd_weighted,112,2.184330673089267,2.1950803423572456,0.9951028356181102,0.1525983198440625,0.1525983198440625,112,2.20069445265238,2.2069934175721726,0.9971459067935409,0.12983583901316015,0.12983583901316015,0,0.016363779563112857,0.011913075214927016,0.0020430711754306774,-0.02276248083090235,-0.02276248083090235
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m0_ridge_controls,m0_controls,42,2.3275942026625325,2.2614141079369565,1.029264916360653,0.5163422524684134,0.5163422524684134,42,2.3275942026625325,2.2614141079369565,1.029264916360653,0.5163422524684137,0.5163422524684137,0,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m4_asia_ols,m0_controls,42,2.5600601760606856,2.2614141079369565,1.13206164544369,0.0041758014818598,0.0041758014818598,42,2.5600601760606843,2.2614141079369565,1.1320616454436896,0.004175801481859854,0.004175801481859854,0,-1.3322676295501878e-15,0.0,-4.440892098500626e-16,5.377642775528102e-17,5.377642775528102e-17
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m1_oecd_weighted,m0_controls,42,2.271103417017078,2.2614141079369565,1.0042846239643215,0.0231056978899003,0.0231056978899003,42,2.2711034170170765,2.2614141079369565,1.0042846239643208,0.023105697889900148,0.023105697889900148,0,-1.3322676295501878e-15,0.0,-6.661338147750939e-16,-1.5265566588595902e-16,-1.5265566588595902e-16
