date,year,component_id,component_label,country,value,net_mass
2015-01-01,2015,D7EO,Photographic and optical equipment,China,7940954.0,360440.0
2015-01-01,2015,D7EO,Photographic and optical equipment,Hong Kong,3198177.0,93968.0
2015-01-01,2015,D7EO,Photographic and optical equipment,Japan,2300399.0,9777.0
2015-01-01,2015,D7EO,Photographic and optical equipment,South Korea,1129930.0,12421.0
2015-01-01,2015,D7EO,Photographic and optical equipment,Taiwan,1281904.0,23477.0
2015-02-01,2015,D7EO,Photographic and optical equipment,China,9878673.0,476691.0
2015-02-01,2015,D7EO,Photographic and optical equipment,Hong Kong,3348222.0,79855.0
2015-02-01,2015,D7EO,Photographic and optical equipment,Japan,2055313.0,18114.0
2015-02-01,2015,D7EO,Photographic and optical equipment,South Korea,1105865.0,13715.0
2015-02-01,2015,D7EO,Photographic and optical equipment,Taiwan,1152095.0,18594.0
2015-03-01,2015,D7EO,Photographic and optical equipment,China,8817833.0,461836.0
2015-03-01,2015,D7EO,Photographic and optical equipment,Hong Kong,3574378.0,93273.0
2015-03-01,2015,D7EO,Photographic and optical equipment,Japan,1860382.0,8934.0
2015-03-01,2015,D7EO,Photographic and optical equipment,South Korea,1614269.0,24696.0
2015-03-01,2015,D7EO,Photographic and optical equipment,Taiwan,1184394.0,18403.0
2015-04-01,2015,D7EO,Photographic and optical equipment,China,9540942.0,361823.0
2015-04-01,2015,D7EO,Photographic and optical equipment,Hong Kong,4464192.0,111097.0
2015-04-01,2015,D7EO,Photographic and optical equipment,Japan,2207427.0,23497.0
2015-04-01,2015,D7EO,Photographic and optical equipment,South Korea,1491763.0,23606.0
2015-04-01,2015,D7EO,Photographic and optical equipment,Taiwan,992956.0,13162.0
2015-05-01,2015,D7EO,Photographic and optical equipment,China,10310819.0,442537.0
2015-05-01,2015,D7EO,Photographic and optical equipment,Hong Kong,3578104.0,99084.0
2015-05-01,2015,D7EO,Photographic and optical equipment,Japan,1723256.0,13550.0
2015-05-01,2015,D7EO,Photographic and optical equipment,South Korea,1161187.0,35311.0
2015-05-01,2015,D7EO,Photographic and optical equipment,Taiwan,951469.0,21533.0
2015-06-01,2015,D7EO,Photographic and optical equipment,China,12166673.0,380574.0
2015-06-01,2015,D7EO,Photographic and optical equipment,Hong Kong,4258265.0,121437.0
2015-06-01,2015,D7EO,Photographic and optical equipment,Japan,2248995.0,13446.0
2015-06-01,2015,D7EO,Photographic and optical equipment,South Korea,1256560.0,22605.0
2015-06-01,2015,D7EO,Photographic and optical equipment,Taiwan,1543080.0,25860.0
2015-07-01,2015,D7EO,Photographic and optical equipment,China,12509427.0,499493.0
2015-07-01,2015,D7EO,Photographic and optical equipment,Hong Kong,3531928.0,92355.0
2015-07-01,2015,D7EO,Photographic and optical equipment,Japan,2260391.0,16254.0
2015-07-01,2015,D7EO,Photographic and optical equipment,South Korea,1218693.0,22301.0
2015-07-01,2015,D7EO,Photographic and optical equipment,Taiwan,2110211.0,21974.0
2015-08-01,2015,D7EO,Photographic and optical equipment,China,10840781.0,436902.0
2015-08-01,2015,D7EO,Photographic and optical equipment,Hong Kong,4062976.0,122565.0
2015-08-01,2015,D7EO,Photographic and optical equipment,Japan,1780689.0,12275.0
2015-08-01,2015,D7EO,Photographic and optical equipment,South Korea,828786.0,12772.0
2015-08-01,2015,D7EO,Photographic and optical equipment,Taiwan,2552580.0,26954.0
2015-09-01,2015,D7EO,Photographic and optical equipment,China,14215801.0,590566.0
2015-09-01,2015,D7EO,Photographic and optical equipment,Hong Kong,3962533.0,102626.0
2015-09-01,2015,D7EO,Photographic and optical equipment,Japan,2571837.0,18066.0
2015-09-01,2015,D7EO,Photographic and optical equipment,South Korea,1228688.0,18372.0
2015-09-01,2015,D7EO,Photographic and optical equipment,Taiwan,2076686.0,20218.0
2015-10-01,2015,D7EO,Photographic and optical equipment,China,17261973.0,619610.0
2015-10-01,2015,D7EO,Photographic and optical equipment,Hong Kong,5352735.0,132607.0
2015-10-01,2015,D7EO,Photographic and optical equipment,Japan,3616666.0,26626.0
2015-10-01,2015,D7EO,Photographic and optical equipment,South Korea,1419074.0,21938.0
2015-10-01,2015,D7EO,Photographic and optical equipment,Taiwan,2169258.0,31036.0
2015-11-01,2015,D7EO,Photographic and optical equipment,China,16710654.0,525780.0
2015-11-01,2015,D7EO,Photographic and optical equipment,Hong Kong,5184561.0,118349.0
2015-11-01,2015,D7EO,Photographic and optical equipment,Japan,3626731.0,19226.0
2015-11-01,2015,D7EO,Photographic and optical equipment,South Korea,1279234.0,18630.0
2015-11-01,2015,D7EO,Photographic and optical equipment,Taiwan,2720018.0,23327.0
2015-12-01,2015,D7EO,Photographic and optical equipment,China,10995166.0,495835.0
2015-12-01,2015,D7EO,Photographic and optical equipment,Hong Kong,4869400.0,133308.0
2015-12-01,2015,D7EO,Photographic and optical equipment,Japan,3479344.0,23858.0
2015-12-01,2015,D7EO,Photographic and optical equipment,South Korea,1298835.0,16079.0
2015-12-01,2015,D7EO,Photographic and optical equipment,Taiwan,1679505.0,23572.0
2016-01-01,2016,D7EO,Photographic and optical equipment,China,14463727.0,657129.0
2016-01-01,2016,D7EO,Photographic and optical equipment,Hong Kong,4700748.0,137940.0
2016-01-01,2016,D7EO,Photographic and optical equipment,Japan,1942746.0,11120.0
2016-01-01,2016,D7EO,Photographic and optical equipment,South Korea,1745274.0,25651.0
2016-01-01,2016,D7EO,Photographic and optical equipment,Taiwan,1224627.0,20950.0
2016-02-01,2016,D7EO,Photographic and optical equipment,China,8820812.0,461914.0
2016-02-01,2016,D7EO,Photographic and optical equipment,Hong Kong,3409414.0,89147.0
2016-02-01,2016,D7EO,Photographic and optical equipment,Japan,2889625.0,11039.0
2016-02-01,2016,D7EO,Photographic and optical equipment,South Korea,1329112.0,16274.0
2016-02-01,2016,D7EO,Photographic and optical equipment,Taiwan,822572.0,13989.0
2016-03-01,2016,D7EO,Photographic and optical equipment,China,9971548.0,404355.0
2016-03-01,2016,D7EO,Photographic and optical equipment,Hong Kong,3457538.0,82238.0
2016-03-01,2016,D7EO,Photographic and optical equipment,Japan,1868950.0,19435.0
2016-03-01,2016,D7EO,Photographic and optical equipment,South Korea,1802877.0,21218.0
2016-03-01,2016,D7EO,Photographic and optical equipment,Taiwan,961097.0,10168.0
2016-04-01,2016,D7EO,Photographic and optical equipment,China,11313283.0,383135.0
2016-04-01,2016,D7EO,Photographic and optical equipment,Hong Kong,4000769.0,95224.0
2016-04-01,2016,D7EO,Photographic and optical equipment,Japan,2069997.0,9973.0
2016-04-01,2016,D7EO,Photographic and optical equipment,South Korea,1794149.0,17862.0
2016-04-01,2016,D7EO,Photographic and optical equipment,Taiwan,1299582.0,17874.0
2016-05-01,2016,D7EO,Photographic and optical equipment,China,11423350.0,508208.0
2016-05-01,2016,D7EO,Photographic and optical equipment,Hong Kong,4346491.0,124985.0
2016-05-01,2016,D7EO,Photographic and optical equipment,Japan,1842224.0,11120.0
2016-05-01,2016,D7EO,Photographic and optical equipment,South Korea,1095057.0,19586.0
2016-05-01,2016,D7EO,Photographic and optical equipment,Taiwan,1171304.0,11588.0
2016-06-01,2016,D7EO,Photographic and optical equipment,China,11830970.0,539504.0
2016-06-01,2016,D7EO,Photographic and optical equipment,Hong Kong,3179801.0,106666.0
2016-06-01,2016,D7EO,Photographic and optical equipment,Japan,1499957.0,8443.0
2016-06-01,2016,D7EO,Photographic and optical equipment,South Korea,1723568.0,25174.0
2016-06-01,2016,D7EO,Photographic and optical equipment,Taiwan,1191811.0,14185.0
2016-07-01,2016,D7EO,Photographic and optical equipment,China,11028636.0,455408.0
2016-07-01,2016,D7EO,Photographic and optical equipment,Hong Kong,4492965.0,131435.0
2016-07-01,2016,D7EO,Photographic and optical equipment,Japan,1856701.0,10929.0
2016-07-01,2016,D7EO,Photographic and optical equipment,South Korea,1049024.0,17224.0
2016-07-01,2016,D7EO,Photographic and optical equipment,Taiwan,1151118.0,15999.0
2016-08-01,2016,D7EO,Photographic and optical equipment,China,13230838.0,561944.0
2016-08-01,2016,D7EO,Photographic and optical equipment,Hong Kong,3815494.0,106782.0
2016-08-01,2016,D7EO,Photographic and optical equipment,Japan,2069427.0,14846.0
2016-08-01,2016,D7EO,Photographic and optical equipment,South Korea,1601836.0,16270.0
2016-08-01,2016,D7EO,Photographic and optical equipment,Taiwan,1005701.0,10070.0
2016-09-01,2016,D7EO,Photographic and optical equipment,China,15767095.0,628309.0
2016-09-01,2016,D7EO,Photographic and optical equipment,Hong Kong,4794423.0,122184.0
2016-09-01,2016,D7EO,Photographic and optical equipment,Japan,2237467.0,8742.0
2016-09-01,2016,D7EO,Photographic and optical equipment,South Korea,1313808.0,14098.0
2016-09-01,2016,D7EO,Photographic and optical equipment,Taiwan,1794114.0,19074.0
2016-10-01,2016,D7EO,Photographic and optical equipment,China,17890994.0,641847.0
2016-10-01,2016,D7EO,Photographic and optical equipment,Hong Kong,5018819.0,138693.0
2016-10-01,2016,D7EO,Photographic and optical equipment,Japan,2404487.0,13649.0
2016-10-01,2016,D7EO,Photographic and optical equipment,South Korea,1726046.0,18577.0
2016-10-01,2016,D7EO,Photographic and optical equipment,Taiwan,1589633.0,18067.0
2016-11-01,2016,D7EO,Photographic and optical equipment,China,18572595.0,617097.0
2016-11-01,2016,D7EO,Photographic and optical equipment,Hong Kong,6819869.0,154438.0
2016-11-01,2016,D7EO,Photographic and optical equipment,Japan,3621618.0,18686.0
2016-11-01,2016,D7EO,Photographic and optical equipment,South Korea,1906143.0,18975.0
2016-11-01,2016,D7EO,Photographic and optical equipment,Taiwan,1695478.0,17653.0
2016-12-01,2016,D7EO,Photographic and optical equipment,China,15957995.0,586842.0
2016-12-01,2016,D7EO,Photographic and optical equipment,Hong Kong,9629108.0,167746.0
2016-12-01,2016,D7EO,Photographic and optical equipment,Japan,3872496.0,23959.0
2016-12-01,2016,D7EO,Photographic and optical equipment,South Korea,1820078.0,23913.0
2016-12-01,2016,D7EO,Photographic and optical equipment,Taiwan,1442861.0,34827.0
2017-01-01,2017,D7EO,Photographic and optical equipment,China,17606370.0,645416.0
2017-01-01,2017,D7EO,Photographic and optical equipment,Hong Kong,3477467.0,92436.0
2017-01-01,2017,D7EO,Photographic and optical equipment,Japan,2490533.0,18732.0
2017-01-01,2017,D7EO,Photographic and optical equipment,South Korea,2024779.0,27006.0
2017-01-01,2017,D7EO,Photographic and optical equipment,Taiwan,1441743.0,16534.0
2017-02-01,2017,D7EO,Photographic and optical equipment,China,13857141.0,437275.0
2017-02-01,2017,D7EO,Photographic and optical equipment,Hong Kong,2995718.0,92149.0
