target,candidate,horizon,window,model,origin,target_date,prediction,train_n
headline_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.5096794704909873,125
headline_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.5582411845576356,125
headline_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.34421680907753066,124
headline_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,-0.3467491617741971,124
headline_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2496741654367386,123
headline_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,-0.42851524505895955,123
headline_12m_pct,jp_epi_electronics_contract_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,jp_epi_electronics_contract_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.5096794704909873,125
headline_12m_pct,jp_epi_electronics_contract_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.4860175882373097,125
headline_12m_pct,jp_epi_electronics_contract_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,jp_epi_electronics_contract_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.34421680907753066,124
headline_12m_pct,jp_epi_electronics_contract_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,1.111002605252279,124
headline_12m_pct,jp_epi_electronics_contract_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,jp_epi_electronics_contract_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2496741654367386,123
headline_12m_pct,jp_epi_electronics_contract_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,1.0290122712523135,123
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.2632283140336801,125
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,0.5096794704909873,125
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,-0.7913025815885513,125
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.34421680907753066,124
