year,country_code,oecd_country_label,value_added_usd_millions,country,all_origin_value_added_usd_millions,five_origin_value_added_usd_millions,share_of_all_c26_import_content,share_within_five_origins,five_origin_share_of_all
1995,CHN,China (People’s Republic of),482.13,China,29540.417,7855.691,0.016321028914385333,0.06137334067747828,0.265930267673608
1995,HKG,Hong Kong (China),49.449,Hong Kong,29540.417,7855.691,0.001673943871543858,0.006294672231888958,0.265930267673608
1995,JPN,Japan,5685.697,Japan,29540.417,7855.691,0.19247179212128251,0.723767902785382,0.265930267673608
1995,KOR,Korea,762.738,South Korea,29540.417,7855.691,0.02582015006761753,0.09709368660248985,0.265930267673608
1995,TWN,Chinese Taipei,875.677,Taiwan,29540.417,7855.691,0.029643352698778762,0.11147039770276097,0.265930267673608
1996,CHN,China (People’s Republic of),562.683,China,29917.635,7720.941000000001,0.018807736640947724,0.0728775158364764,0.2580732400806414
1996,HKG,Hong Kong (China),70.519,Hong Kong,29917.635,7720.941000000001,0.00235710476446417,0.009133472202416778,0.2580732400806414
1996,JPN,Japan,4846.898,Japan,29917.635,7720.941000000001,0.1620080597948334,0.6277600100816726,0.2580732400806414
1996,KOR,Korea,1209.247,South Korea,29917.635,7720.941000000001,0.04041920425862539,0.1566191219438149,0.2580732400806414
1996,TWN,Chinese Taipei,1031.594,Taiwan,29917.635,7720.941000000001,0.03448113462177074,0.13360987993561924,0.2580732400806414
1997,CHN,China (People’s Republic of),764.078,China,33048.726,8543.534,0.02311974143874714,0.08943348267824533,0.2585132631133799
1997,HKG,Hong Kong (China),82.69,Hong Kong,33048.726,8543.534,0.0025020631657631824,0.009678664590086492,0.2585132631133799
1997,JPN,Japan,4999.523,Japan,33048.726,8543.534,0.15127732911701347,0.5851820803896842,0.2585132631133799
1997,KOR,Korea,1384.549,South Korea,33048.726,8543.534,0.04189417165430219,0.16205811318828953,0.2585132631133799
1997,TWN,Chinese Taipei,1312.694,Taiwan,33048.726,8543.534,0.039719957737553935,0.1536476591536945,0.2585132631133799
1998,CHN,China (People’s Republic of),908.859,China,34110.805,8458.873,0.02664431402307861,0.10744445507102425,0.2479822156058762
1998,HKG,Hong Kong (China),120.613,Hong Kong,34110.805,8458.873,0.0035359177246036847,0.014258755273899963,0.2479822156058762
1998,JPN,Japan,4820.742,Japan,34110.805,8458.873,0.14132595228989758,0.5699035793538927,0.2479822156058762
1998,KOR,Korea,1380.697,South Korea,34110.805,8458.873,0.04047682252001968,0.16322469908225362,0.2479822156058762
1998,TWN,Chinese Taipei,1227.962,Taiwan,34110.805,8458.873,0.03599920904827664,0.1451685112189295,0.2479822156058762
1999,CHN,China (People’s Republic of),998.989,China,38942.814,9542.56,0.025652717340868075,0.10468773578578495,0.2450403301620679
1999,HKG,Hong Kong (China),172.461,Hong Kong,38942.814,9542.56,0.004428570570169891,0.018072823225633375,0.2450403301620679
1999,JPN,Japan,5078.94,Japan,38942.814,9542.56,0.13042046730367252,0.5322408242651867,0.2450403301620679
1999,KOR,Korea,1737.404,South Korea,38942.814,9542.56,0.044614238714233645,0.1820689626263812,0.2450403301620679
1999,TWN,Chinese Taipei,1554.766,Taiwan,38942.814,9542.56,0.03992433623312378,0.16292965409701382,0.2450403301620679
2000,CHN,China (People’s Republic of),1340.932,China,45243.048,12152.337,0.02963840986133383,0.11034354955758716,0.2686012003435312
2000,HKG,Hong Kong (China),197.986,Hong Kong,45243.048,12152.337,0.004376053532025516,0.016292010335131425,0.2686012003435312
2000,JPN,Japan,6224.933,Japan,45243.048,12152.337,0.13758871860269006,0.5122416371435388,0.2686012003435312
2000,KOR,Korea,2295.883,South Korea,45243.048,12152.337,0.05074554216594779,0.1889252248353547,0.2686012003435312
2000,TWN,Chinese Taipei,2092.603,Taiwan,45243.048,12152.337,0.04625247618153401,0.17219757812838798,0.2686012003435312
2001,CHN,China (People’s Republic of),1734.35,China,40788.709,10085.466,0.04252034552012911,0.1719652815249191,0.24726122123649463
2001,HKG,Hong Kong (China),196.6,Hong Kong,40788.709,10085.466,0.0048199613280233995,0.019493397726986536,0.24726122123649463
2001,JPN,Japan,4635.353,Japan,40788.709,10085.466,0.11364304273518439,0.45960722092563694,0.24726122123649463
2001,KOR,Korea,1816.879,South Korea,40788.709,10085.466,0.04454367506458711,0.18014824500920432,0.24726122123649463
2001,TWN,Chinese Taipei,1702.284,Taiwan,40788.709,10085.466,0.041734196588570624,0.16878585481325306,0.24726122123649463
2002,CHN,China (People’s Republic of),1938.645,China,39539.484,9943.964,0.04903060950416045,0.19495696082568278,0.2514945313904451
2002,HKG,Hong Kong (China),190.089,Hong Kong,39539.484,9943.964,0.004807574120087151,0.01911601852138644,0.2514945313904451
2002,JPN,Japan,4266.581,Japan,39539.484,9943.964,0.10790684572413743,0.42906239403119323,0.2514945313904451
2002,KOR,Korea,2079.801,South Korea,39539.484,9943.964,0.052600610569424736,0.20915210473408793,0.2514945313904451
2002,TWN,Chinese Taipei,1468.848,Taiwan,39539.484,9943.964,0.0371488914726353,0.14771252188764963,0.2514945313904451
2003,CHN,China (People’s Republic of),2962.785,China,50350.53,12555.392,0.058843174044046806,0.23597710051585805,0.2493596790341631
2003,HKG,Hong Kong (China),198.793,Hong Kong,50350.53,12555.392,0.003948180883100933,0.01583327704941431,0.2493596790341631
2003,JPN,Japan,5547.495,Japan,50350.53,12555.392,0.11017748969077386,0.4418416406273894,0.2493596790341631
2003,KOR,Korea,2045.748,South Korea,50350.53,12555.392,0.04063011849130486,0.16293780393316273,0.2493596790341631
2003,TWN,Chinese Taipei,1800.571,Taiwan,50350.53,12555.392,0.03576071592493664,0.14341017787417548,0.2493596790341631
2004,CHN,China (People’s Republic of),3656.954,China,53873.202,13708.441,0.06788076194171641,0.2667665856387316,0.2544575130321751
2004,HKG,Hong Kong (China),192.89,Hong Kong,53873.202,13708.441,0.0035804443181231367,0.014070892525269647,0.2544575130321751
2004,JPN,Japan,5621.265,Japan,53873.202,13708.441,0.10434250780193093,0.41005866385535744,0.2544575130321751
2004,KOR,Korea,2340.563,South Korea,53873.202,13708.441,0.043445774765717475,0.17073881705439736,0.2544575130321751
2004,TWN,Chinese Taipei,1896.769,Taiwan,53873.202,13708.441,0.03520802420468715,0.1383650409262439,0.2544575130321751
2005,CHN,China (People’s Republic of),5360.803,China,61316.176,15940.15,0.08742885401072631,0.3363081903244323,0.25996647279504187
2005,HKG,Hong Kong (China),236.71,Hong Kong,61316.176,15940.15,0.0038604821018192654,0.014849922993196426,0.25996647279504187
2005,JPN,Japan,5393.393,Japan,61316.176,15940.15,0.08796036138979052,0.3383527131175052,0.25996647279504187
2005,KOR,Korea,2697.385,South Korea,61316.176,15940.15,0.04399140937947599,0.16921954937688793,0.25996647279504187
2005,TWN,Chinese Taipei,2251.859,Taiwan,61316.176,15940.15,0.036725365913229814,0.14126962418797814,0.25996647279504187
2006,CHN,China (People’s Republic of),5089.864,China,58528.053,14802.485999999999,0.08696451939038531,0.34385197189174843,0.25291266736653617
2006,HKG,Hong Kong (China),184.419,Hong Kong,58528.053,14802.485999999999,0.003150950536488887,0.012458650526675047,0.25291266736653617
2006,JPN,Japan,4677.941,Japan,58528.053,14802.485999999999,0.07992647559965817,0.31602401110191897,0.25291266736653617
2006,KOR,Korea,2550.135,South Korea,58528.053,14802.485999999999,0.04357115723634272,0.1722774809582661,0.25291266736653617
2006,TWN,Chinese Taipei,2300.127,Taiwan,58528.053,14802.485999999999,0.03929956460366108,0.1553878855213915,0.25291266736653617
2007,CHN,China (People’s Republic of),6760.027,China,55481.647,15617.192000000001,0.12184257976335851,0.4328580323530632,0.2814839292712417
2007,HKG,Hong Kong (China),150.686,Hong Kong,55481.647,15617.192000000001,0.002715961189832739,0.009648725583959012,0.2814839292712417
2007,JPN,Japan,3891.198,Japan,55481.647,15617.192000000001,0.07013486820245261,0.2491611808319959,0.2814839292712417
2007,KOR,Korea,2508.879,South Korea,55481.647,15617.192000000001,0.04521998058204725,0.1606485340002223,0.2814839292712417
2007,TWN,Chinese Taipei,2306.402,Taiwan,55481.647,15617.192000000001,0.04157053953355062,0.14768352723075953,0.2814839292712417
2008,CHN,China (People’s Republic of),7741.554,China,54156.334,16066.425,0.14294826529432364,0.48184670827517634,0.2966675144591582
2008,HKG,Hong Kong (China),147.33,Hong Kong,54156.334,16066.425,0.0027204574076229015,0.009170054943772496,0.2966675144591582
2008,JPN,Japan,3778.224,Japan,54156.334,16066.425,0.06976513587496525,0.2351627073228799,0.2966675144591582
2008,KOR,Korea,2196.697,South Korea,54156.334,16066.425,0.04056214366356482,0.13672593623036863,0.2966675144591582
2008,TWN,Chinese Taipei,2202.62,Taiwan,54156.334,16066.425,0.040671512218681566,0.1370945932278027,0.2966675144591582
2009,CHN,China (People’s Republic of),6528.322,China,39315.792,12276.55,0.1660483400665056,0.5317717111077624,0.31225493308134294
2009,HKG,Hong Kong (China),108.967,Hong Kong,39315.792,12276.55,0.002771583489911636,0.00887602787428064,0.31225493308134294
2009,JPN,Japan,2403.953,Japan,39315.792,12276.55,0.061144717623900335,0.19581665858893582,0.31225493308134294
2009,KOR,Korea,1692.096,South Korea,39315.792,12276.55,0.04303858357985005,0.13783155691134724,0.31225493308134294
2009,TWN,Chinese Taipei,1543.212,Taiwan,39315.792,12276.55,0.03925170832117537,0.12570404551767395,0.31225493308134294
2010,CHN,China (People’s Republic of),8431.972,China,41009.609,14761.176,0.2056096657736971,0.5712263033785384,0.35994432426800266
2010,HKG,Hong Kong (China),98.5,Hong Kong,41009.609,14761.176,0.002401876106646128,0.006672910071663667,0.35994432426800266
2010,JPN,Japan,2847.05,Japan,41009.609,14761.176,0.0694239732936737,0.19287419918304613,0.35994432426800266
2010,KOR,Korea,1564.745,South Korea,41009.609,14761.176,0.03815556983242635,0.10600408802117121,0.35994432426800266
2010,TWN,Chinese Taipei,1818.909,Taiwan,41009.609,14761.176,0.044353239261559416,0.1232224993455806,0.35994432426800266
2011,CHN,China (People’s Republic of),6599.827,China,34864.755,11701.846000000001,0.18929796007457964,0.5639987913018167,0.3356354002774436
2011,HKG,Hong Kong (China),56.616,Hong Kong,34864.755,11701.846000000001,0.0016238748845359735,0.0048382109967948644,0.3356354002774436
2011,JPN,Japan,2167.253,Japan,34864.755,11701.846000000001,0.06216171603672535,0.18520607774192208,0.3356354002774436
2011,KOR,Korea,1208.159,South Korea,34864.755,11701.846000000001,0.034652731677018815,0.10324516319903713,0.3356354002774436
2011,TWN,Chinese Taipei,1669.991,Taiwan,34864.755,11701.846000000001,0.04789911760458377,0.14271175676042908,0.3356354002774436
2012,CHN,China (People’s Republic of),7993.891,China,42633.799,13303.430999999999,0.18750125927084282,0.6008894246905179,0.3120395393335696
2012,HKG,Hong Kong (China),64.324,Hong Kong,42633.799,13303.430999999999,0.001508755998966923,0.004835143655798267,0.3120395393335696
