method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_12,n,ar_lags
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,0,-0.08774806717484444,-0.04590376027318416,0.7215189873417721,1.0,114,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,1,0.03911121524301038,0.05067589314322713,0.6835443037974683,1.0,113,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,2,-0.0048765500505324345,-0.032832950182926035,0.7848101265822784,1.0,112,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,3,0.049282158886426196,0.07894410901337257,0.4810126582278481,1.0,111,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,4,-0.04014452545743669,-0.044589441727219965,0.7341772151898734,1.0,110,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,5,0.12014143171657637,0.10707785883101859,0.3291139240506329,1.0,109,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,6,-0.28980555707334527,-0.31164103424686457,0.012658227848101266,0.012658227848101266,108,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,7,-0.02715252460884096,-0.023950358653241327,0.7974683544303798,1.0,107,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,8,0.044618535061508584,0.045795947426655055,0.620253164556962,1.0,106,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,9,0.1262286562791768,0.11450531508500401,0.26582278481012656,1.0,105,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,10,0.03698689879815205,0.04639772006989034,0.6075949367088608,1.0,104,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,11,0.19664143617819463,0.1929913585178048,0.012658227848101266,0.379746835443038,103,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,12,0.11018329110214166,0.11018329110214166,0.21518987341772153,1.0,102,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,0,0.12015016041888171,0.1652016225836085,0.5,1.0,36,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,1,0.02449985181203083,-0.154660452613181,1.0,1.0,35,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,2,-0.2023375410416541,-0.14138036783142363,0.5,1.0,34,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,3,0.18553040409342544,0.12989142788992122,1.0,1.0,33,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,4,-0.2165388962463318,-0.138266237335259,1.0,1.0,32,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,5,0.19009609358096938,0.2939859175636211,0.5,1.0,31,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,6,-0.14592136519254412,-0.22250623998576768,0.5,1.0,30,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,7,0.19253457088269924,0.18283285047954612,0.5,1.0,29,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,8,-0.035340240844278725,-0.021110301824646575,1.0,1.0,28,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,9,-0.05007775929068955,-0.106020804482856,0.5,1.0,27,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,10,-0.0018763548279304638,-0.03191953271511155,1.0,1.0,26,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,11,0.10124942320068575,0.09553010031979985,1.0,1.0,25,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,12,0.046979656911585455,0.046979656911585455,1.0,1.0,24,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,0,-0.17364108338822815,-0.2872474351899927,0.5,1.0,36,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,1,0.14083411921465805,0.05962075189201069,1.0,1.0,35,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,2,0.04862092760960029,0.09142197213668111,0.5,1.0,34,12
