method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_18,search_max_lead,n,ar_lags
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,0,-0.08558380364714864,-0.07240660132432292,0.5540540540540541,1.0,18,115,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,1,0.033711570644876995,0.042250749867767445,0.7567567567567568,1.0,18,114,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,2,-0.008835088670803373,-0.03932550840328903,0.7432432432432432,1.0,18,113,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,3,0.04564528395766015,0.0714663029911381,0.6351351351351351,1.0,18,112,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,4,-0.039216616968390065,-0.04376629048871062,0.6891891891891891,1.0,18,111,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,5,0.11754523909682192,0.0982342899460942,0.4189189189189189,1.0,18,110,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,6,-0.2878079320992598,-0.3183701195030935,0.013513513513513514,0.013513513513513514,18,109,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,7,-0.030716820374276886,-0.031423782567886825,0.7702702702702703,1.0,18,108,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,8,0.04629451188558098,0.029083259127526725,0.7972972972972973,1.0,18,107,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,9,0.12429806357654728,0.10647162428536994,0.33783783783783783,1.0,18,106,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,10,0.03573216788032344,0.02009051378668581,0.8513513513513513,1.0,18,105,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,11,0.19792027114973568,0.21085953127890963,0.05405405405405406,0.7027027027027027,18,104,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,12,0.11039459299017006,0.11203631009099013,0.33783783783783783,1.0,18,103,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,13,-0.19618116805507094,-0.1867425003612348,0.10810810810810811,0.8783783783783784,18,102,12
