method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_18,search_max_lead,n,ar_lags
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,0,-0.3404906727517885,-0.40244447020143215,0.09302325581395349,0.37209302325581395,18,127,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,1,-0.27705274026390636,-0.328077954995315,0.12790697674418605,0.4186046511627907,18,126,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,2,-0.23649940569027156,-0.2792251125643357,0.1744186046511628,0.46511627906976744,18,125,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,3,-0.1863480543513555,-0.2245432670449911,0.2558139534883721,0.6511627906976745,18,124,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,4,-0.12803452813477992,-0.16817254102544277,0.37209302325581395,0.7441860465116279,18,123,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,5,-0.06349431195642377,-0.10565466751382878,0.5,0.9883720930232558,18,122,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,6,-0.02299423935682024,-0.06134704118645229,0.6627906976744186,1.0,18,121,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,7,0.09897976844534165,0.06675581860824692,0.6511627906976745,1.0,18,120,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,8,0.15550024455340875,0.12526249078102045,0.43023255813953487,0.9651162790697675,18,119,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,9,0.18808863577026763,0.16675846998316896,0.37209302325581395,0.7441860465116279,18,118,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,10,0.2199873519226234,0.20823291104162042,0.27906976744186046,0.6627906976744186,18,117,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,11,0.21893069244590535,0.21411678890712896,0.27906976744186046,0.6627906976744186,18,116,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,12,0.1827200734538157,0.18125172072340195,0.3953488372093023,0.7209302325581395,18,115,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,13,0.14769020218981693,0.14714759010289702,0.43023255813953487,0.7906976744186046,18,114,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,14,0.1635697163015697,0.16360208841903562,0.4186046511627907,0.7441860465116279,18,113,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,15,0.16801697382643777,0.16926559502923866,0.4186046511627907,0.7441860465116279,18,112,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,16,0.16583217197048142,0.16571827302304892,0.43023255813953487,0.7441860465116279,18,111,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,17,0.15565529803478054,0.1555274679455247,0.46511627906976744,0.7558139534883721,18,110,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,full,18,0.1354360063556493,0.1354360063556493,0.5,0.9186046511627907,18,109,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,0,-0.26619723109420274,-0.23529361991105938,0.7142857142857143,1.0,18,48,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,1,-0.21922580611944759,-0.15396031030243246,0.7142857142857143,1.0,18,47,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,2,-0.17843515415233419,-0.10883419593378996,0.7142857142857143,1.0,18,46,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,3,-0.12188456000967467,-0.04750535578975084,1.0,1.0,18,45,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,4,-0.042085803933959096,0.036505607027069516,1.0,1.0,18,44,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,5,0.021503462736327705,0.07843945206569744,0.8571428571428571,1.0,18,43,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,6,0.05472740855635981,0.058679053509843856,0.7142857142857143,1.0,18,42,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,7,0.1479024751299541,0.15422798300107865,0.2857142857142857,1.0,18,41,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,8,0.08020196651426487,0.05393520432786862,0.5714285714285714,1.0,18,40,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,9,0.07616682611983429,0.018799953022629035,0.7142857142857143,1.0,18,39,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,10,0.09736649553570491,0.06731390028685813,0.2857142857142857,1.0,18,38,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,11,0.08252840256196659,0.043307455463660154,0.8571428571428571,1.0,18,37,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,12,0.06028504164505055,-0.00817441608757699,0.8571428571428571,1.0,18,36,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,13,0.06648025464078268,-0.0941131452722814,0.5714285714285714,1.0,18,35,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,14,0.10287424275648747,-0.022767262874519075,0.5714285714285714,1.0,18,34,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,15,0.12926405429456594,0.03558068823947664,0.7142857142857143,1.0,18,33,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,16,0.13215159487755532,0.058167003306762805,0.5714285714285714,1.0,18,32,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,17,0.17365512946738457,0.12668593570942407,0.5714285714285714,1.0,18,31,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,18,0.19732356420940791,0.19732356420940791,0.5714285714285714,1.0,18,30,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,0,-0.46041328018919314,-0.5611147394036788,0.5,1.0,18,36,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,1,-0.3648089346826392,-0.18890617671830143,0.5,1.0,18,35,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,2,-0.4040053048846259,-0.11333934674109812,1.0,1.0,18,34,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,3,-0.4087705042899671,-0.05493297072254825,1.0,1.0,18,33,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,4,-0.40976198097067584,-0.10675313468667638,1.0,1.0,18,32,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,5,-0.43516032912198815,-0.11714932433832183,1.0,1.0,18,31,0
raw_annual_rates,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,6,-0.40651334368722336,-0.09387557467287497,1.0,1.0,18,30,0
