target,candidate,horizon,window,model,origin,target_date,actual,prediction,error,actual_direction,predicted_direction,train_n,ridge_alpha
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m0_ar,2024-05-01,2024-06-01,-7.583958471791419,-3.38223630038482,-4.201722171406599,-1.0,1.0,60,
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m3_ridge_all,2024-05-01,2024-06-01,-7.583958471791419,-3.236267387775033,-4.347691084016386,-1.0,1.0,60,10.0
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m0_ar,2024-06-01,2024-07-01,-4.603967695265876,-4.797448707407961,0.1934810121420849,1.0,1.0,61,
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m3_ridge_all,2024-06-01,2024-07-01,-4.603967695265876,-4.415935429750286,-0.1880322655155897,1.0,1.0,61,31.622776601683793
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m0_ar,2024-07-01,2024-08-01,-4.107719941091171,-4.536880496494202,0.42916055540303155,1.0,1.0,62,
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m3_ridge_all,2024-07-01,2024-08-01,-4.107719941091171,-4.6239963238713635,0.5162763827801928,1.0,-1.0,62,31.622776601683793
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m0_ar,2024-09-01,2024-10-01,-5.472511497070798,-3.181471586575329,-2.291039910495469,-1.0,1.0,63,
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m3_ridge_all,2024-09-01,2024-10-01,-5.472511497070798,-1.595074755375623,-3.877436741695175,-1.0,1.0,63,100.0
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m0_ar,2024-10-01,2024-11-01,-3.037132302404766,-3.943115449866414,0.9059831474616482,1.0,1.0,64,
headline_12m_pct,four_country_ridge,1,expanding_ar2_ridge_tscv,m3_ridge_all,2024-10-01,2024-11-01,-3.037132302404766,-3.435916099783366,0.39878379737860037,1.0,1.0,64,31.622776601683793
