origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,0,0.6369426751592355,0.6369426751592355,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,1,0.8739253188983982,1.143260807381644,0.26933548848324573,0.06219767050820591,0.16627542145535493,0.36875195871888283,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,2,0.9203571528076857,1.8591521836633715,0.9387950308556858,0.29041999399627544,0.4612578160022915,1.4116176255790318,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,3,0.9205576552663164,2.511226578371736,1.5906689231054196,0.7173793047309011,0.4134235143529481,2.7713852354389776,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,4,0.933769790458288,3.08441147093896,2.150641680480672,1.334667169202433,-0.032703896910326505,4.311009104856412,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,5,0.9776673845622872,3.5852386735559225,2.6075712889936353,2.118416673267825,-0.8945528992190879,5.995107259506906,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,6,1.053415882511831,4.021285654289457,2.967869771777626,3.045050489619769,-2.0794558039242976,7.842331885255746,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,7,1.1564296597101258,3.816204837674764,2.6597751779646384,3.9706701992804065,-3.9032856334198147,9.067610580580862,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,8,1.280681608719365,3.738844679817902,2.4581630710985367,4.861189054320899,-5.640251075302765,10.426161864516926,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,9,1.4203326262442744,3.6789954966676426,2.258662870423368,5.7219522906891145,-7.4239636377077565,11.463822408195051,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,10,1.5702755481245139,3.626357520873267,2.056081972748753,6.551750327581415,-9.194850735397337,12.3703184933827,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,11,1.7262509807795356,3.5794236000978703,1.8531726193183347,7.3490787964197715,-10.937620943470806,13.3149346439438,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,12,1.8848033168577243,3.5375190621436072,1.652715745285883,8.113125892364108,-12.637820132022386,14.216864131722962,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,0,0.6369426751592355,0.6369426751592355,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
