origin,scenario,scenario_label,target,target_label,target_group,horizon,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,0,1.256621672550108,0.29840407992845064,0.7657469610678067,1.7474963840324094
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,1,1.9760309681990844,0.5163757119543241,1.1265929220342215,2.8254690143639474
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,2,3.0743411624666233,0.6522227459117744,2.0014347454417543,4.147247579491492
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,3,4.3663806673725265,1.0289555476986452,2.673748791408255,6.059012543336798
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,4,5.458001474558269,1.36365997117714,3.2147808219718734,7.701222127144664
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,5,6.41289237906617,1.8562267247738224,3.3593994168132317,9.466385341319107
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,6,7.661100375008131,2.2217586377643075,4.0063074158858445,11.315893334130417
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,7,7.792606716969286,2.4658484072518836,3.7362860870399377,11.848927346898634
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,8,7.442291695826057,2.8847397314437755,2.6968948376010466,12.187688554051068
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,9,6.515495733861347,3.1992557842118496,1.2527199688328547,11.77827149888984
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,10,4.811510937229776,3.52910972998104,-0.9938745685890353,10.616896443048587
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,11,2.955937669180673,3.7759524871713848,-3.2555041722162548,9.1673795105776
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,12,-0.09616655385226258,3.9776482270804117,-6.63939788739954,6.4470647796950145
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,0,0.9613423560960489,0.2138360133426413,0.609582114147404,1.3131025980446938
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,1,1.4856046636004734,0.39366008338851416,0.8380338264263676,2.133175500774579
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,2,2.213898311764864,0.5841136356415582,1.2530313811345009,3.1747652423952273
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,3,3.313636181807625,0.6792538424912303,2.1962636109095515,4.431008752705699
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,4,3.9188369580489364,0.9743637730568838,2.3160085513703628,5.52166536472751
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,5,4.774451423139689,1.213232144495302,2.778684545444917,6.77021830083446
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,6,6.2423251343584125,1.4781734525699002,3.8107298048809266,8.673920463835898
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,7,6.701560217097443,1.5997599684966868,4.069955068920393,9.333165365274493
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,8,7.163717142783033,1.8505887449403962,4.119498657356081,10.207935628209984
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,9,7.560865396124408,2.034865244790914,4.213512068443354,10.908218723805462
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,10,7.473166746677043,2.2149229048054053,3.829618568272151,11.116714925081935
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,11,7.310381196000223,2.3413362253878245,3.4588831052372515,11.161879286763194
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,12,6.355148704650003,2.509482082169134,2.2270506794817777,10.483246729818228
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,0.5920877591490287,0.2929852407349292,0.11012703814007013,1.0740484801579873
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,1.0782518595584683,0.48775881380942365,0.27588861084196636,1.88061510827497
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,2.1812263497608346,0.7659166889844975,0.9212933963813363,3.441159303140333
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,3.4430218252665346,1.0698702977460386,1.683085185474301,5.202958465058768
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,5.1149371261312835,1.3400111536746733,2.910618778336446,7.3192554739261215
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,7.263674142142945,1.6720039653509104,4.5132276191406975,10.014120665145192
