target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m1_controls,m0_ar,137,1.3869591191534738,2.0769895835409624,-0.0008310095612048872,1.3558176510227005,2.0539207239438206,1.022968773202859,1.0112316212248185,0.5401459854014599,-0.7095498764850474,0.4779833116292027,0.36037273410807347,0.3592842068994046,0.4491052586242557
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m2_tech,m1_controls,137,1.4291005508885628,2.098595254981056,-0.15935139433119475,1.3869591191534738,2.0769895835409624,1.0303840474842618,1.0104023975908722,0.5547445255474452,-0.5716703882027294,0.5675452992913483,0.5796541190765373,0.28107394470539926,0.4684565745089988
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m2_tech,m0_ar,137,1.4291005508885628,2.098595254981056,-0.15935139433119475,1.3558176510227005,2.0539207239438206,1.0540507049827716,1.0217508546052614,0.5547445255474452,-1.0460982306212117,0.29551568206874024,0.3865827563286796,0.3495325628807895,0.43691570360098686
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m1_controls,m0_ar,36,1.71701670549421,2.312216854521741,0.3019685855888026,1.627458590046309,2.2375009680959517,1.0550294280884607,1.0333925604909886,0.4166666666666667,-1.3853371835094848,0.16594938895514932,-0.704688820382794,0.7594980449393939,0.7850723698850826
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m1_controls,36,1.7667174213461732,2.399159732815429,0.1705804938590315,1.71701670549421,2.312216854521741,1.0289459710513753,1.0376015243222811,0.3888888888888889,-1.6267663186226289,0.10378673758377467,-1.2698667976446285,0.8979339590676264,0.9394131344611023
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m0_ar,36,1.7667174213461732,2.399159732815429,0.1705804938590315,1.627458590046309,2.2375009680959517,1.0855682793722583,1.0722496959887549,0.3888888888888889,-1.6587282167464477,0.09717057084050543,-0.6673689396648864,0.7477317496355449,0.9041984077450689
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m1_controls,m0_ar,41,1.0319866860618998,1.6044984268331566,-0.2490994767641591,1.0669246934273464,1.6683569745258309,0.967253539466583,0.9617236906323218,0.6829268292682927,1.5670952323655176,0.11709243343898645,1.9798271705232031,0.023861476106079856,0.029826845132599818
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m2_tech,m1_controls,41,1.0471520532343053,1.608379146284587,-0.21055023196062458,1.0319866860618998,1.6044984268331566,1.0146953128148166,1.002418649583278,0.7073170731707317,-0.6329986529322831,0.5267345226580592,-0.37952976236965985,0.6478527463154898,0.8098159328943623
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m2_tech,m0_ar,41,1.0471520532343053,1.608379146284587,-0.21055023196062458,1.0669246934273464,1.6683569745258309,0.9814676328002829,0.9640497632358983,0.7073170731707317,1.4420818225154601,0.14927929237324503,1.9785591781201826,0.023932829791497513,0.05983207447874378
uk_ipi_c26_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,ex_pandemic,m1_controls,m0_ar,101,1.2693148309528153,1.9864238748421188,-0.10875957812952437,1.2589951381033944,1.9843848228811787,1.0081967694211806,1.0010275486576135,0.5841584158415841,-0.050729403586526715,0.9595411461339222,0.7961432170659993,0.2129743986566335,0.2129743986566335
