channel,outcome,impulse,horizon,n,impulse_standard_deviation,response_pp_per_one_sd,response_pp_per_one_unit,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,1,155,1.0,1.0493441429294519,1.0493441429294519,0.8479108021043681,-0.3454691265322336,2.4441574123911374,0.21587765654328572,0.8612867235300803,0.6949161046170689
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,2,154,1.0,1.661803951014143,1.661803951014143,1.5794235192221033,-0.9363477381062171,4.259955640134503,0.2927268156936944,0.7286977829399559,0.6949161046170689
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,3,153,1.0,2.291646287258461,2.291646287258461,2.439137891528885,-1.7207355443065553,6.304028118823478,0.34745805230853444,0.612071929871062,0.6949161046170689
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,4,152,1.0,2.0046440389178826,2.0046440389178826,3.3273812706415375,-3.4688981512874464,7.478186229123212,0.5468619978386017,0.49594921116587276,0.8070273102407897
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,5,151,1.0,1.775018471710449,1.775018471710449,4.199356472802858,-5.132922926050253,8.682959869471151,0.6725227585339915,0.4036678413407442,0.8070273102407897
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,6,150,1.0,0.8133998763366543,0.8133998763366543,5.0440588056619164,-7.484076858977198,9.110876611650507,0.871889414234917,0.3103917263356918,0.8942627570399371
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,7,149,1.0,-0.7360167510511246,-0.7360167510511246,5.53761296604233,-9.845390080190757,8.373356578088508,0.8942627570399371,0.2353918940787565,0.8942627570399371
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,8,148,1.0,-2.6973090135734834,-2.6973090135734834,5.968157021742323,-12.514927314339605,7.120309287192639,0.651304949009305,0.18520578703438006,0.8070273102407897
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,9,148,1.0,-4.719653790250967,-4.719653790250967,6.114649411078137,-14.778252071474501,5.338944490972568,0.4401973025207554,0.16442762160617697,0.7546239471784377
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,10,147,1.0,-7.254199110484519,-7.254199110484519,6.331161615062266,-17.668959967261948,3.160561746292908,0.25188091355551345,0.17021137225438232,0.6949161046170689
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,11,146,1.0,-10.375063762542531,-10.375063762542531,6.3887255009310016,-20.88451721157403,0.13438968648896576,0.10438337363086408,0.2139375277112805,0.6263002417851845
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,12,145,1.0,-12.442208957657272,-12.442208957657272,6.5236094651858,-23.173546527887915,-1.7108713874266304,0.05648713418682336,0.20897766108224136,0.6263002417851845
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,1,155,1.0,1.1101206764805465,1.1101206764805465,0.48037408964645856,0.31990529901212217,1.9003360539489709,0.02083559681094797,0.9076136718862206,0.08996839598836548
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,2,154,1.0,2.2873563662823484,2.2873563662823484,1.002367748331401,0.6384614202771937,3.936251312287503,0.02249209899709137,0.8153241575942052,0.08996839598836548
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,3,153,1.0,3.5421846549185956,3.5421846549185956,1.3531290047079725,1.316287442173981,5.76808186766321,0.008850564474238522,0.752006997955829,0.08996839598836548
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,4,152,1.0,4.106275416929845,4.106275416929845,1.9494035385153399,0.8995065960721114,7.3130442377875795,0.03516731498399082,0.6798943248079155,0.10550194495197246
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,5,151,1.0,4.339160477773987,4.339160477773987,2.572166215743508,0.10794705287591633,8.570373902672058,0.09160962627537285,0.6324310828034454,0.21986310306089482
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,6,150,1.0,4.2829475972823365,4.2829475972823365,3.289379664538492,-1.128081950883483,9.693977145448155,0.1928981709992551,0.5922436952590706,0.3857963419985102
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,7,149,1.0,3.4194864495870174,3.4194864495870174,3.7333833780016463,-2.721929207225691,9.560902106399727,0.35970802064210394,0.523482210010648,0.6166423211007496
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,8,148,1.0,2.350413894405023,2.350413894405023,4.047167217888963,-4.307176179022321,9.008003967832368,0.5614053716091385,0.4585815749798271,0.767937878526448
asia_to_import,uk_ipi_c261_12m_pct,asia_bls_common_factor_z,9,148,1.0,1.3010263327939218,1.3010263327939218,4.136885861058439,-5.504150908647211,8.106203574235055,0.7531457716671741,0.3886347024134369,0.8538140790018149
