DATE,XUDLJYS,XUDLUSS
02 Jan 2014,172.6378,1.6437
03 Jan 2014,171.7905,1.6444
06 Jan 2014,171.5442,1.6411
07 Jan 2014,171.6215,1.6398
08 Jan 2014,172.655,1.647
09 Jan 2014,172.5158,1.6463
10 Jan 2014,171.6913,1.6485
13 Jan 2014,169.3347,1.6383
14 Jan 2014,170.5256,1.646
15 Jan 2014,170.8084,1.635
16 Jan 2014,170.3803,1.6345
17 Jan 2014,171.472,1.6445
20 Jan 2014,170.8605,1.6421
21 Jan 2014,171.7031,1.6464
22 Jan 2014,172.8674,1.6582
23 Jan 2014,172.3969,1.6631
24 Jan 2014,168.9145,1.6502
27 Jan 2014,169.7841,1.6574
28 Jan 2014,170.4772,1.6585
29 Jan 2014,169.234,1.6551
30 Jan 2014,169.4675,1.6498
31 Jan 2014,167.6206,1.6435
03 Feb 2014,165.3615,1.6332
04 Feb 2014,165.2414,1.6296
05 Feb 2014,165.0004,1.6306
06 Feb 2014,166.2864,1.6325
07 Feb 2014,167.5795,1.6394
10 Feb 2014,167.2924,1.6398
11 Feb 2014,168.7632,1.6484
12 Feb 2014,170.0626,1.6585
13 Feb 2014,169.9534,1.6636
14 Feb 2014,170.4591,1.6733
17 Feb 2014,170.2851,1.6711
18 Feb 2014,170.9207,1.6698
19 Feb 2014,170.8338,1.6714
20 Feb 2014,170.428,1.6658
21 Feb 2014,171.3152,1.6686
24 Feb 2014,170.3846,1.6631
25 Feb 2014,170.44,1.6682
26 Feb 2014,170.2041,1.6641
27 Feb 2014,170.1942,1.6671
28 Feb 2014,171.0321,1.6758
03 Mar 2014,169.5605,1.6717
04 Mar 2014,170.2813,1.6673
05 Mar 2014,171.1981,1.673
06 Mar 2014,172.3291,1.6718
07 Mar 2014,172.7717,1.6722
10 Mar 2014,171.7025,1.6633
11 Mar 2014,171.5843,1.6628
12 Mar 2014,170.61,1.6606
13 Mar 2014,170.3055,1.6677
14 Mar 2014,168.7178,1.6629
17 Mar 2014,169.153,1.6644
18 Mar 2014,167.9941,1.6574
19 Mar 2014,168.8573,1.6628
20 Mar 2014,169.0624,1.651
21 Mar 2014,168.8491,1.6494
24 Mar 2014,168.567,1.6489
25 Mar 2014,168.8894,1.6506
26 Mar 2014,169.4765,1.6565
27 Mar 2014,169.6481,1.6611
28 Mar 2014,171.2343,1.6636
31 Mar 2014,171.6986,1.6673
01 Apr 2014,172.2991,1.6636
02 Apr 2014,172.5382,1.6635
03 Apr 2014,172.312,1.6586
04 Apr 2014,171.8392,1.659
07 Apr 2014,171.3092,1.6611
08 Apr 2014,171.024,1.6749
09 Apr 2014,170.5784,1.6748
10 Apr 2014,170.2998,1.6775
11 Apr 2014,169.9355,1.6721
14 Apr 2014,170.446,1.6735
15 Apr 2014,170.0605,1.673
16 Apr 2014,171.7216,1.6791
17 Apr 2014,171.8786,1.6808
22 Apr 2014,172.604,1.6823
