DATE,XUDLJYS
02 Jan 2014,172.6378
03 Jan 2014,171.7905
06 Jan 2014,171.5442
07 Jan 2014,171.6215
08 Jan 2014,172.655
09 Jan 2014,172.5158
10 Jan 2014,171.6913
13 Jan 2014,169.3347
14 Jan 2014,170.5256
15 Jan 2014,170.8084
16 Jan 2014,170.3803
17 Jan 2014,171.472
20 Jan 2014,170.8605
21 Jan 2014,171.7031
22 Jan 2014,172.8674
23 Jan 2014,172.3969
24 Jan 2014,168.9145
27 Jan 2014,169.7841
28 Jan 2014,170.4772
29 Jan 2014,169.234
30 Jan 2014,169.4675
31 Jan 2014,167.6206
03 Feb 2014,165.3615
04 Feb 2014,165.2414
05 Feb 2014,165.0004
06 Feb 2014,166.2864
07 Feb 2014,167.5795
10 Feb 2014,167.2924
11 Feb 2014,168.7632
12 Feb 2014,170.0626
13 Feb 2014,169.9534
14 Feb 2014,170.4591
17 Feb 2014,170.2851
18 Feb 2014,170.9207
19 Feb 2014,170.8338
20 Feb 2014,170.428
21 Feb 2014,171.3152
24 Feb 2014,170.3846
25 Feb 2014,170.44
26 Feb 2014,170.2041
27 Feb 2014,170.1942
28 Feb 2014,171.0321
03 Mar 2014,169.5605
04 Mar 2014,170.2813
05 Mar 2014,171.1981
06 Mar 2014,172.3291
07 Mar 2014,172.7717
10 Mar 2014,171.7025
11 Mar 2014,171.5843
12 Mar 2014,170.61
13 Mar 2014,170.3055
14 Mar 2014,168.7178
17 Mar 2014,169.153
18 Mar 2014,167.9941
19 Mar 2014,168.8573
20 Mar 2014,169.0624
21 Mar 2014,168.8491
24 Mar 2014,168.567
25 Mar 2014,168.8894
26 Mar 2014,169.4765
27 Mar 2014,169.6481
28 Mar 2014,171.2343
31 Mar 2014,171.6986
01 Apr 2014,172.2991
02 Apr 2014,172.5382
03 Apr 2014,172.312
04 Apr 2014,171.8392
07 Apr 2014,171.3092
08 Apr 2014,171.024
09 Apr 2014,170.5784
10 Apr 2014,170.2998
11 Apr 2014,169.9355
14 Apr 2014,170.446
15 Apr 2014,170.0605
16 Apr 2014,171.7216
17 Apr 2014,171.8786
22 Apr 2014,172.604
23 Apr 2014,171.7834
24 Apr 2014,171.7632
25 Apr 2014,171.5226
28 Apr 2014,172.423
29 Apr 2014,172.725
30 Apr 2014,172.4803
01 May 2014,172.7852
02 May 2014,172.5331
06 May 2014,172.5538
07 May 2014,172.534
08 May 2014,172.2425
09 May 2014,171.2898
12 May 2014,172.28
13 May 2014,172.1349
14 May 2014,170.7899
15 May 2014,170.5868
16 May 2014,170.747
19 May 2014,170.2388
20 May 2014,170.7443
21 May 2014,171.2948
22 May 2014,171.4055
23 May 2014,171.4852
27 May 2014,171.5082
28 May 2014,170.0003
29 May 2014,169.7343
30 May 2014,170.6419
02 Jun 2014,171.2063
03 Jun 2014,171.4473
04 Jun 2014,171.9631
05 Jun 2014,172.0508
06 Jun 2014,172.1982
09 Jun 2014,172.2393
10 Jun 2014,171.6494
11 Jun 2014,171.0865
12 Jun 2014,171.4684
13 Jun 2014,173.1379
16 Jun 2014,173.0704
17 Jun 2014,173.3723
18 Jun 2014,173.0149
19 Jun 2014,173.637
20 Jun 2014,173.8389
23 Jun 2014,173.2945
24 Jun 2014,173.3418
25 Jun 2014,172.8836
26 Jun 2014,172.7061
27 Jun 2014,172.4912
30 Jun 2014,173.1926
01 Jul 2014,174.0021
02 Jul 2014,174.7117
03 Jul 2014,175.1843
04 Jul 2014,175.0296
07 Jul 2014,174.4589
08 Jul 2014,173.8536
09 Jul 2014,174.2763
10 Jul 2014,173.3173
11 Jul 2014,173.2433
14 Jul 2014,173.573
15 Jul 2014,174.3443
16 Jul 2014,174.2827
17 Jul 2014,173.5896
18 Jul 2014,173.0423
21 Jul 2014,172.9196
22 Jul 2014,173.1387
23 Jul 2014,173.0002
24 Jul 2014,172.7444
25 Jul 2014,172.8395
28 Jul 2014,173.026
29 Jul 2014,173.0864
30 Jul 2014,173.7628
31 Jul 2014,173.6079
01 Aug 2014,172.5492
04 Aug 2014,172.5258
05 Aug 2014,173.5014
06 Aug 2014,172.3194
07 Aug 2014,172.1018
08 Aug 2014,171.0606
11 Aug 2014,171.4427
12 Aug 2014,171.7405
13 Aug 2014,170.8965
14 Aug 2014,170.9481
15 Aug 2014,170.7877
18 Aug 2014,171.4944
19 Aug 2014,170.8663
20 Aug 2014,171.9865
21 Aug 2014,172.2603
22 Aug 2014,172.4937
26 Aug 2014,172.4505
27 Aug 2014,172.3575
28 Aug 2014,172.0383
29 Aug 2014,172.5239
01 Sep 2014,173.2114
02 Sep 2014,173.5546
03 Sep 2014,172.6308
04 Sep 2014,172.3758
05 Sep 2014,171.191
08 Sep 2014,170.3208
09 Sep 2014,171.094
10 Sep 2014,172.2455
11 Sep 2014,173.4116
12 Sep 2014,174.24
15 Sep 2014,174.0934
16 Sep 2014,173.8245
17 Sep 2014,175.4667
18 Sep 2014,178.0665
19 Sep 2014,177.7682
22 Sep 2014,177.9806
23 Sep 2014,178.095
24 Sep 2014,177.8554
25 Sep 2014,177.4854
26 Sep 2014,177.3845
29 Sep 2014,177.6225
30 Sep 2014,177.8456
01 Oct 2014,177.5687
02 Oct 2014,174.8803
03 Oct 2014,175.1989
06 Oct 2014,174.7644
07 Oct 2014,174.2058
08 Oct 2014,174.0709
09 Oct 2014,174.4149
10 Oct 2014,172.9797
13 Oct 2014,172.3719
14 Oct 2014,170.4181
15 Oct 2014,169.32
16 Oct 2014,169.9562
17 Oct 2014,171.6799
20 Oct 2014,172.4243
21 Oct 2014,172.1446
22 Oct 2014,172.0988
23 Oct 2014,173.37
24 Oct 2014,173.9698
27 Oct 2014,173.7685
28 Oct 2014,174.501
29 Oct 2014,174.5868
30 Oct 2014,174.6026
31 Oct 2014,179.3328
03 Nov 2014,182.4528
04 Nov 2014,181.3546
05 Nov 2014,182.9412
06 Nov 2014,182.4392
07 Nov 2014,182.1585
10 Nov 2014,181.961
11 Nov 2014,183.8252
12 Nov 2014,182.2825
13 Nov 2014,182.2113
14 Nov 2014,182.2759
17 Nov 2014,182.2326
18 Nov 2014,182.4676
19 Nov 2014,184.4006
20 Nov 2014,185.5152
21 Nov 2014,184.3419
24 Nov 2014,185.8643
25 Nov 2014,185.3466
26 Nov 2014,185.6309
27 Nov 2014,185.2641
28 Nov 2014,185.9041
01 Dec 2014,186.0227
02 Dec 2014,186.4623
03 Dec 2014,187.9903
04 Dec 2014,187.9761
05 Dec 2014,189.3025
08 Dec 2014,188.8927
09 Dec 2014,186.6915
10 Dec 2014,186.4133
11 Dec 2014,187.4969
12 Dec 2014,186.1078
15 Dec 2014,184.8541
16 Dec 2014,184.3439
17 Dec 2014,183.6645
18 Dec 2014,185.8101
19 Dec 2014,186.7803
22 Dec 2014,187.4386
23 Dec 2014,187.3505
24 Dec 2014,187.1843
29 Dec 2014,187.2487
30 Dec 2014,185.7553
31 Dec 2014,186.2503
02 Jan 2015,184.9638
05 Jan 2015,182.2552
06 Jan 2015,180.0831
07 Jan 2015,179.9275
08 Jan 2015,180.5014
09 Jan 2015,180.0643
12 Jan 2015,179.6005
13 Jan 2015,179.8356
14 Jan 2015,177.84
15 Jan 2015,177.2988
16 Jan 2015,177.8044
19 Jan 2015,178.152
20 Jan 2015,179.8176
21 Jan 2015,177.9909
22 Jan 2015,177.9092
23 Jan 2015,177.0664
26 Jan 2015,178.2339
27 Jan 2015,178.6435
28 Jan 2015,178.7024
29 Jan 2015,178.0141
30 Jan 2015,176.3864
