STATUS,200
MESSAGEID,M181000I
MESSAGE,Successfully completed
DATE,2026-08-03T06:01:20.699+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,EN
PARAMETER,DB,PR01
PARAMETER,STARTDATE,199501
PARAMETER,ENDDATE,202612
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES,UNIT,FREQUENCY,CATEGORY,LAST_UPDATE,SURVEY_DATES,VALUES
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199501,303.9
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199502,299.4
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199503,284.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199504,269.9
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199505,269.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199506,268.7
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199507,277.7
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199508,292.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199509,305.2
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199510,306.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199511,308.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199512,306.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199601,312.1
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199602,306.7
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199603,303.5
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199604,303.5
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199605,294.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199606,292.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199607,291.6
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199608,286.1
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199609,287.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199610,289.4
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199611,285.7
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199612,286.8
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199701,291.8
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199702,301.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199703,300.3
PRCG20_2400520001,Group/_Electric and electronic products,CY2020 average=100,MONTHLY,Corporate Goods Price Index (2020 Base)/ Export Price Index (yen basis),20260710,199704,303.5
