STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,IMPORTING_AREA,Importing area,VALUE_ADDED_SOURCE_AREA,Value added origin area,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2019,,1607.565,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2019,,1870.561,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2019,,14175.665,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2019,,51.969,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2019,,1819.616,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2017,,1458.271,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2017,,9451.206,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2017,,48.181,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2013,,8831.724,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2013,,75.014,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2013,,1671.872,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2010,,2847.05,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2010,,8431.972,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2010,,98.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2010,,1818.909,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2009,,1692.096,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2007,,3891.198,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2007,,6760.027,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2007,,150.686,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2007,,2306.402,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2006,,2550.135,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2004,,3656.954,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2004,,192.89,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2004,,1896.769,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2002,,2079.801,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2002,,4266.581,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2002,,1938.645,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2002,,190.089,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2002,,1468.848,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2000,,6224.933,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2000,,1340.932,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2000,,197.986,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1999,,998.989,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1999,,172.461,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1999,,1554.766,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1998,,1380.697,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1996,,1209.247,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2022,,1628.34,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2017,,1881.379,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2014,,2112.763,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2014,,10155.729,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2014,,65.672,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2014,,2042.06,,6,Millions
