STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,IMPORTING_AREA,Importing area,VALUE_ADDED_SOURCE_AREA,Value added origin area,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2012,,42633.799,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2011,,34864.755,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2005,,61316.176,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1998,,34110.805,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1997,,33048.726,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1996,,29917.635,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2021,,45819.216,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2018,,45871.939,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1999,,38942.814,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1995,,29540.417,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2014,,49007.43,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2008,,54156.334,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2006,,58528.053,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2004,,53873.202,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2002,,39539.484,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2016,,42463.933,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2007,,55481.647,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2022,,51518.326,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2001,,40788.709,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2000,,45243.048,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2019,,48548.604,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2017,,41658.102,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2015,,44772.047,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2010,,41009.609,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2009,,39315.792,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2003,,50350.53,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2020,,47318.969,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,W,World,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2013,,45907.499,,6,Millions
