"Title","CPI wts: CPI excluding energy, food, alcohol & tobacco SPECIAL AGGREGATES"
"CDID","A9FU"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1996","689.0000"
"1997","690.0000"
"1998","702.0000"
"1999","713.0000"
"2000","751.0000"
"2001","772.0000"
"2002","778.0000"
"2003","790.0000"
"2004","796.0000"
"2005","793.0000"
"2006","787.0000"
"2007","779.0000"
"2008","776.0000"
"2009","758.0000"
"2010","764.0000"
"2011","753.0000"
"2012","744.0000"
"2013","762.0000"
"2014","763.0000"
"2015","771.0000"
"2016","788.0000"
"2017","787.0000"
"2018","792.0000"
"2019","799.0000"
"2020","797.0000"
"2021","781.0000"
"2022","767.0000"
"2023","759.0000"
"2024","775.9532"
"2025","787.1987"
"2026","794.8781"
