"Title","CPI WEIGHTS 07.2.1 : SPARE PARTS & ACCESSORIES"
"CDID","CJXQ"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1988","9.0000"
"1989","8.0000"
"1990","11.0000"
"1991","13.0000"
"1992","12.0000"
"1993","11.0000"
"1994","10.0000"
"1995","9.0000"
"1996","8.0000"
"1997","8.0000"
"1998","11.0000"
"1999","9.0000"
"2000","7.0000"
"2001","6.0000"
"2002","5.0000"
"2003","5.0000"
"2004","5.0000"
"2005","6.0000"
"2006","6.0000"
"2007","6.0000"
"2008","5.0000"
"2009","5.0000"
"2010","5.0000"
"2011","6.0000"
"2012","5.0000"
"2013","5.0000"
"2014","5.0000"
"2015","6.0000"
"2016","5.0000"
"2017","5.0000"
"2018","5.0000"
"2019","5.0000"
"2020","5.0000"
"2021","5.0000"
"2022","4.0000"
"2023","5.0000"
"2024","4.1481"
"2025","4.3870"
"2026","4.6330"
