"Title","CPI WEIGHTS 09.1.2 : Photographic, cinematographic and optical equipment"
"CDID","CJYD"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1988","2.0000"
"1989","1.0000"
"1990","1.0000"
"1991","2.0000"
"1992","1.0000"
"1993","1.0000"
"1994","2.0000"
"1995","4.0000"
"1996","5.0000"
"1997","4.0000"
"1998","4.0000"
"1999","4.0000"
"2000","3.0000"
"2001","4.0000"
"2002","5.0000"
"2003","5.0000"
"2004","4.0000"
"2005","4.0000"
"2006","5.0000"
"2007","4.0000"
"2008","4.0000"
"2009","4.0000"
"2010","3.0000"
"2011","5.0000"
"2012","4.0000"
"2013","3.0000"
"2014","3.0000"
"2015","3.0000"
"2016","2.0000"
"2017","2.0000"
"2018","2.0000"
"2019","2.0000"
"2020","3.0000"
"2021","4.0000"
"2022","2.0000"
"2023","2.0000"
"2024","0.7916"
"2025","0.9617"
"2026","1.4077"
