"Title","CPI WEIGHTS 09.1.3 : INFORMATION PROCESSING EQUIPMENT"
"CDID","CJYE"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1988","0.0000"
"1989","0.0000"
"1990","0.0000"
"1991","1.0000"
"1992","1.0000"
"1993","1.0000"
"1994","1.0000"
"1995","0.0000"
"1996","5.0000"
"1997","5.0000"
"1998","4.0000"
"1999","3.0000"
"2000","3.0000"
"2001","4.0000"
"2002","6.0000"
"2003","7.0000"
"2004","6.0000"
"2005","5.0000"
"2006","5.0000"
"2007","7.0000"
"2008","5.0000"
"2009","5.0000"
"2010","6.0000"
"2011","7.0000"
"2012","6.0000"
"2013","7.0000"
"2014","8.0000"
"2015","9.0000"
"2016","7.0000"
"2017","7.0000"
"2018","6.0000"
"2019","8.0000"
"2020","9.0000"
"2021","9.0000"
"2022","5.0000"
"2023","4.0000"
"2024","5.7869"
"2025","5.7791"
"2026","6.4230"
