"Title","CPI WEIGHTS 09.1.4 : RECORDING MEDIA"
"CDID","CJYF"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1988","8.0000"
"1989","7.0000"
"1990","9.0000"
"1991","9.0000"
"1992","8.0000"
"1993","9.0000"
"1994","8.0000"
"1995","6.0000"
"1996","4.0000"
"1997","4.0000"
"1998","4.0000"
"1999","4.0000"
"2000","6.0000"
"2001","6.0000"
"2002","11.0000"
"2003","11.0000"
"2004","9.0000"
"2005","9.0000"
"2006","10.0000"
"2007","11.0000"
"2008","11.0000"
"2009","7.0000"
"2010","6.0000"
"2011","8.0000"
"2012","6.0000"
"2013","6.0000"
"2014","5.0000"
"2015","5.0000"
"2016","3.0000"
"2017","4.0000"
"2018","4.0000"
"2019","4.0000"
"2020","6.0000"
"2021","8.0000"
"2022","9.0000"
"2023","3.0000"
"2024","4.7380"
"2025","5.5608"
"2026","5.4966"
