"Title","CPI INDEX 05.3.1/2 : Major appliances and small electric goods 2015=100"
"CDID","D7E3"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1988","123.9"
"1989","124.5"
"1990","126.1"
"1991","131.2"
"1992","132.8"
"1993","132.5"
"1994","128.4"
"1995","126.7"
"1996","124.4"
"1997","120.3"
"1998","117.5"
"1999","113.8"
"2000","107.9"
"2001","104.0"
"2002","101.7"
"2003","97.8"
"2004","95.2"
"2005","92.8"
"2006","88.3"
"2007","88.8"
"2008","88.6"
"2009","94.0"
"2010","97.9"
"2011","100.1"
"2012","100.6"
"2013","101.2"
"2014","100.5"
"2015","100.0"
"2016","101.1"
"2017","104.9"
"2018","110.7"
"2019","109.2"
"2020","108.3"
"2021","113.4"
"2022","123.0"
"2023","127.3"
"2024","121.5"
"2025","121.0"
"1988 Q1","122.6"
"1988 Q2","124.1"
"1988 Q3","123.8"
"1988 Q4","125.3"
"1989 Q1","124.2"
"1989 Q2","124.5"
"1989 Q3","124.3"
"1989 Q4","125.2"
"1990 Q1","124.5"
"1990 Q2","126.4"
"1990 Q3","125.7"
"1990 Q4","127.7"
"1991 Q1","125.5"
"1991 Q2","132.3"
"1991 Q3","132.3"
"1991 Q4","134.8"
"1992 Q1","132.2"
"1992 Q2","134.0"
"1992 Q3","130.6"
"1992 Q4","134.4"
"1993 Q1","132.4"
"1993 Q2","134.2"
"1993 Q3","130.7"
"1993 Q4","132.7"
"1994 Q1","129.8"
"1994 Q2","130.4"
"1994 Q3","126.9"
"1994 Q4","126.5"
"1995 Q1","126.1"
"1995 Q2","127.1"
"1995 Q3","126.3"
"1995 Q4","127.3"
"1996 Q1","124.2"
"1996 Q2","125.1"
"1996 Q3","123.6"
"1996 Q4","124.7"
"1997 Q1","121.3"
"1997 Q2","121.4"
"1997 Q3","118.3"
"1997 Q4","120.1"
"1998 Q1","118.1"
"1998 Q2","119.2"
"1998 Q3","115.9"
"1998 Q4","116.8"
"1999 Q1","114.9"
"1999 Q2","114.9"
"1999 Q3","111.9"
"1999 Q4","113.3"
"2000 Q1","110.2"
"2000 Q2","109.3"
"2000 Q3","105.9"
"2000 Q4","106.1"
"2001 Q1","104.0"
"2001 Q2","105.0"
"2001 Q3","102.7"
