"Title","CPI INDEX 07.1.1A : NEW CARS 2015=100"
"CDID","D7E8"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1996","86.7"
"1997","88.5"
"1998","90.0"
"1999","89.1"
"2000","86.5"
"2001","82.6"
"2002","82.3"
"2003","82.9"
"2004","84.8"
"2005","86.3"
"2006","87.1"
"2007","88.4"
"2008","89.5"
"2009","90.6"
"2010","93.7"
"2011","96.8"
"2012","97.6"
"2013","97.1"
"2014","98.0"
"2015","100.0"
"2016","100.6"
"2017","103.6"
"2018","108.1"
"2019","112.2"
"2020","115.4"
"2021","119.4"
"2022","126.5"
"2023","132.6"
"2024","135.6"
"2025","139.5"
"1996 Q1","85.8"
"1996 Q2","86.6"
"1996 Q3","86.9"
"1996 Q4","87.4"
"1997 Q1","87.7"
"1997 Q2","88.1"
"1997 Q3","88.8"
"1997 Q4","89.4"
"1998 Q1","90.0"
"1998 Q2","90.3"
"1998 Q3","89.8"
"1998 Q4","90.0"
"1999 Q1","90.0"
"1999 Q2","89.6"
"1999 Q3","88.6"
"1999 Q4","88.1"
"2000 Q1","86.9"
"2000 Q2","87.6"
"2000 Q3","86.9"
"2000 Q4","84.7"
"2001 Q1","82.6"
"2001 Q2","82.6"
"2001 Q3","82.7"
"2001 Q4","82.6"
"2002 Q1","82.4"
"2002 Q2","82.3"
"2002 Q3","82.3"
"2002 Q4","82.2"
"2003 Q1","82.3"
"2003 Q2","82.7"
"2003 Q3","83.1"
"2003 Q4","83.6"
"2004 Q1","83.9"
"2004 Q2","84.7"
"2004 Q3","85.2"
"2004 Q4","85.5"
"2005 Q1","85.9"
"2005 Q2","86.2"
"2005 Q3","86.6"
"2005 Q4","86.5"
"2006 Q1","86.6"
"2006 Q2","87.0"
"2006 Q3","87.2"
"2006 Q4","87.5"
"2007 Q1","87.9"
"2007 Q2","88.3"
"2007 Q3","88.6"
"2007 Q4","88.8"
"2008 Q1","89.0"
"2008 Q2","89.3"
"2008 Q3","89.8"
"2008 Q4","89.7"
"2009 Q1","88.8"
"2009 Q2","90.3"
"2009 Q3","91.3"
"2009 Q4","92.1"
"2010 Q1","93.7"
"2010 Q2","93.5"
"2010 Q3","93.5"
"2010 Q4","94.1"
"2011 Q1","96.6"
"2011 Q2","96.7"
"2011 Q3","96.8"
"2011 Q4","97.1"
"2012 Q1","97.3"
"2012 Q2","97.3"
"2012 Q3","97.8"
"2012 Q4","98.0"
"2013 Q1","97.1"
"2013 Q2","97.2"
