"Title","CPI INDEX 07.2.1 : SPARE PARTS & ACCESSORIES 2015=100"
"CDID","D7EB"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1988","55.2"
"1989","56.6"
"1990","59.9"
"1991","65.4"
"1992","69.7"
"1993","72.8"
"1994","72.9"
"1995","72.9"
"1996","75.3"
"1997","77.1"
"1998","78.3"
"1999","79.3"
"2000","79.6"
"2001","78.4"
"2002","79.3"
"2003","80.4"
"2004","81.5"
"2005","83.0"
"2006","85.2"
"2007","85.6"
"2008","87.6"
"2009","90.7"
"2010","94.3"
"2011","98.1"
"2012","99.0"
"2013","100.0"
"2014","101.1"
"2015","100.0"
"2016","100.8"
"2017","103.6"
"2018","106.2"
"2019","108.8"
"2020","111.5"
"2021","115.5"
"2022","121.5"
"2023","127.3"
"2024","132.8"
"2025","138.2"
"1988 Q1","54.3"
"1988 Q2","55.3"
"1988 Q3","55.4"
"1988 Q4","55.7"
"1989 Q1","55.7"
"1989 Q2","56.3"
"1989 Q3","57.0"
"1989 Q4","57.3"
"1990 Q1","58.2"
"1990 Q2","59.5"
"1990 Q3","60.5"
"1990 Q4","61.2"
"1991 Q1","63.2"
"1991 Q2","65.4"
"1991 Q3","65.6"
"1991 Q4","67.5"
"1992 Q1","68.8"
"1992 Q2","69.1"
"1992 Q3","70.0"
"1992 Q4","70.9"
"1993 Q1","72.1"
"1993 Q2","72.9"
"1993 Q3","73.0"
"1993 Q4","73.0"
"1994 Q1","72.8"
"1994 Q2","72.7"
"1994 Q3","73.0"
"1994 Q4","73.0"
"1995 Q1","71.8"
"1995 Q2","72.6"
"1995 Q3","73.4"
"1995 Q4","73.9"
"1996 Q1","74.8"
"1996 Q2","75.1"
"1996 Q3","75.4"
"1996 Q4","75.8"
"1997 Q1","76.6"
"1997 Q2","77.1"
"1997 Q3","77.3"
"1997 Q4","77.5"
"1998 Q1","78.0"
"1998 Q2","78.3"
"1998 Q3","78.4"
"1998 Q4","78.7"
"1999 Q1","79.1"
"1999 Q2","79.4"
"1999 Q3","79.4"
"1999 Q4","79.2"
"2000 Q1","79.0"
"2000 Q2","79.8"
"2000 Q3","79.7"
"2000 Q4","79.6"
"2001 Q1","78.0"
"2001 Q2","78.2"
"2001 Q3","78.5"
"2001 Q4","79.1"
"2002 Q1","79.3"
"2002 Q2","79.3"
"2002 Q3","79.2"
"2002 Q4","79.5"
"2003 Q1","79.9"
"2003 Q2","80.2"
"2003 Q3","80.5"
"2003 Q4","80.9"
"2004 Q1","81.2"
"2004 Q2","81.2"
"2004 Q3","81.5"
"2004 Q4","82.0"
"2005 Q1","82.6"
"2005 Q2","82.5"
"2005 Q3","83.1"
"2005 Q4","83.8"
"2006 Q1","84.5"
"2006 Q2","85.0"
"2006 Q3","85.7"
"2006 Q4","85.7"
"2007 Q1","85.2"
"2007 Q2","85.0"
"2007 Q3","86.1"
"2007 Q4","86.1"
"2008 Q1","86.9"
"2008 Q2","87.5"
"2008 Q3","87.8"
"2008 Q4","88.2"
"2009 Q1","89.2"
"2009 Q2","90.4"
"2009 Q3","91.2"
"2009 Q4","91.7"
"2010 Q1","93.8"
"2010 Q2","94.2"
"2010 Q3","94.3"
"2010 Q4","94.9"
"2011 Q1","97.4"
"2011 Q2","97.8"
"2011 Q3","98.7"
"2011 Q4","98.4"
"2012 Q1","97.9"
"2012 Q2","98.8"
"2012 Q3","99.7"
"2012 Q4","99.4"
"2013 Q1","98.5"
"2013 Q2","100.2"
"2013 Q3","99.5"
"2013 Q4","101.7"
"2014 Q1","101.2"
"2014 Q2","101.5"
"2014 Q3","101.0"
"2014 Q4","100.7"
"2015 Q1","99.8"
"2015 Q2","99.9"
"2015 Q3","100.0"
"2015 Q4","100.3"
"2016 Q1","100.2"
"2016 Q2","100.4"
"2016 Q3","100.7"
"2016 Q4","101.7"
"2017 Q1","102.2"
"2017 Q2","102.7"
"2017 Q3","104.3"
"2017 Q4","105.0"
"2018 Q1","105.5"
"2018 Q2","105.3"
"2018 Q3","106.4"
"2018 Q4","107.7"
"2019 Q1","108.1"
"2019 Q2","108.6"
"2019 Q3","108.7"
"2019 Q4","109.7"
"2020 Q1","110.2"
"2020 Q2","111.1"
"2020 Q3","111.6"
"2020 Q4","113.3"
"2021 Q1","113.3"
"2021 Q2","115.0"
"2021 Q3","117.3"
"2021 Q4","116.5"
