"Title","CPI INDEX 09.1.1 : Reception and reproduction of sound and pictures 2015=100"
"CDID","D7EN"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1988","972.6"
"1989","935.6"
"1990","921.9"
"1991","894.1"
"1992","845.3"
"1993","821.0"
"1994","764.5"
"1995","720.0"
"1996","678.3"
"1997","630.5"
"1998","571.5"
"1999","497.4"
"2000","437.0"
"2001","402.8"
"2002","369.9"
"2003","326.2"
"2004","289.7"
"2005","253.2"
"2006","219.2"
"2007","192.9"
"2008","165.8"
"2009","154.5"
"2010","142.9"
"2011","130.2"
"2012","121.2"
"2013","114.7"
"2014","108.8"
"2015","100.0"
"2016","95.7"
"2017","101.6"
"2018","96.2"
"2019","88.6"
"2020","84.8"
"2021","87.9"
"2022","85.3"
"2023","86.4"
"2024","84.3"
"2025","80.0"
"1988 Q1","988.7"
"1988 Q2","984.0"
"1988 Q3","964.2"
"1988 Q4","953.6"
"1989 Q1","940.6"
"1989 Q2","936.3"
"1989 Q3","931.9"
"1989 Q4","933.5"
"1990 Q1","925.7"
"1990 Q2","925.9"
"1990 Q3","915.7"
"1990 Q4","920.2"
"1991 Q1","893.5"
"1991 Q2","907.6"
"1991 Q3","890.9"
"1991 Q4","884.3"
"1992 Q1","861.0"
"1992 Q2","855.6"
"1992 Q3","830.1"
"1992 Q4","834.6"
"1993 Q1","828.4"
"1993 Q2","827.0"
"1993 Q3","813.9"
"1993 Q4","814.8"
"1994 Q1","785.6"
"1994 Q2","773.1"
"1994 Q3","750.5"
"1994 Q4","748.6"
"1995 Q1","740.0"
"1995 Q2","726.3"
"1995 Q3","710.1"
"1995 Q4","703.6"
"1996 Q1","693.0"
"1996 Q2","682.9"
"1996 Q3","672.2"
"1996 Q4","665.1"
"1997 Q1","644.1"
"1997 Q2","636.3"
"1997 Q3","627.8"
"1997 Q4","613.7"
"1998 Q1","592.1"
"1998 Q2","579.9"
"1998 Q3","564.6"
"1998 Q4","549.4"
"1999 Q1","521.0"
"1999 Q2","505.5"
"1999 Q3","486.4"
"1999 Q4","476.7"
"2000 Q1","455.6"
"2000 Q2","442.1"
"2000 Q3","427.8"
"2000 Q4","422.7"
"2001 Q1","409.1"
"2001 Q2","407.3"
"2001 Q3","400.6"
"2001 Q4","394.2"
"2002 Q1","385.9"
"2002 Q2","374.5"
"2002 Q3","364.4"
"2002 Q4","354.6"
"2003 Q1","342.2"
"2003 Q2","333.2"
"2003 Q3","320.0"
"2003 Q4","309.3"
"2004 Q1","298.3"
"2004 Q2","292.5"
"2004 Q3","286.5"
"2004 Q4","281.5"
"2005 Q1","269.6"
"2005 Q2","260.2"
"2005 Q3","247.9"
"2005 Q4","235.0"
"2006 Q1","230.6"
"2006 Q2","219.0"
"2006 Q3","213.8"
"2006 Q4","213.5"
"2007 Q1","206.9"
"2007 Q2","194.3"
"2007 Q3","187.0"
"2007 Q4","183.4"
"2008 Q1","173.8"
"2008 Q2","168.1"
"2008 Q3","163.7"
"2008 Q4","157.6"
"2009 Q1","154.9"
"2009 Q2","158.1"
"2009 Q3","154.7"
"2009 Q4","150.3"
"2010 Q1","146.0"
"2010 Q2","145.0"
"2010 Q3","142.7"
"2010 Q4","138.1"
"2011 Q1","134.3"
"2011 Q2","130.7"
"2011 Q3","128.7"
"2011 Q4","127.0"
"2012 Q1","123.7"
"2012 Q2","120.9"
"2012 Q3","120.5"
"2012 Q4","119.6"
"2013 Q1","117.2"
"2013 Q2","115.5"
"2013 Q3","112.8"
"2013 Q4","113.3"
"2014 Q1","112.2"
"2014 Q2","111.3"
"2014 Q3","107.9"
"2014 Q4","103.7"
"2015 Q1","100.4"
"2015 Q2","101.2"
"2015 Q3","99.5"
"2015 Q4","98.9"
"2016 Q1","96.3"
"2016 Q2","94.8"
"2016 Q3","95.8"
"2016 Q4","95.9"
"2017 Q1","99.6"
"2017 Q2","102.0"
"2017 Q3","103.2"
"2017 Q4","101.6"
"2018 Q1","98.4"
"2018 Q2","96.8"
"2018 Q3","95.1"
"2018 Q4","94.3"
"2019 Q1","91.1"
"2019 Q2","88.6"
"2019 Q3","87.7"
"2019 Q4","87.0"
"2020 Q1","85.0"
"2020 Q2","84.0"
"2020 Q3","85.4"
"2020 Q4","84.7"
"2021 Q1","85.3"
"2021 Q2","86.6"
"2021 Q3","90.0"
"2021 Q4","89.7"
"2022 Q1","87.3"
"2022 Q2","83.7"
"2022 Q3","84.3"
"2022 Q4","85.8"
"2023 Q1","86.2"
"2023 Q2","87.0"
"2023 Q3","86.8"
"2023 Q4","85.4"
"2024 Q1","85.5"
"2024 Q2","84.0"
"2024 Q3","84.7"
"2024 Q4","82.8"
"2025 Q1","83.9"
"2025 Q2","79.8"
"2025 Q3","79.2"
"2025 Q4","77.2"
"2026 Q1","77.3"
"2026 Q2","77.0"
"1988 JAN","992.3"
"1988 FEB","989.7"
"1988 MAR","984.0"
"1988 APR","988.1"
"1988 MAY","985.9"
"1988 JUN","977.9"
"1988 JUL","968.3"
"1988 AUG","969.2"
"1988 SEP","955.2"
"1988 OCT","956.1"
"1988 NOV","953.0"
"1988 DEC","951.7"
"1989 JAN","941.9"
"1989 FEB","941.1"
"1989 MAR","938.9"
"1989 APR","938.0"
"1989 MAY","936.5"
"1989 JUN","934.3"
"1989 JUL","932.4"
"1989 AUG","931.4"
"1989 SEP","931.8"
"1989 OCT","931.5"
"1989 NOV","935.9"
"1989 DEC","933.2"
"1990 JAN","923.7"
"1990 FEB","925.0"
"1990 MAR","928.4"
"1990 APR","928.6"
"1990 MAY","926.8"
"1990 JUN","922.1"
"1990 JUL","914.2"
"1990 AUG","915.7"
"1990 SEP","917.1"
"1990 OCT","921.0"
"1990 NOV","921.5"
"1990 DEC","918.0"
"1991 JAN","893.0"
"1991 FEB","892.9"
"1991 MAR","894.7"
"1991 APR","909.0"
"1991 MAY","909.0"
"1991 JUN","904.8"
"1991 JUL","891.4"
"1991 AUG","894.0"
"1991 SEP","887.1"
"1991 OCT","883.2"
"1991 NOV","885.8"
"1991 DEC","884.0"
"1992 JAN","860.2"
"1992 FEB","861.9"
"1992 MAR","860.9"
"1992 APR","859.3"
"1992 MAY","855.6"
"1992 JUN","851.9"
"1992 JUL","831.4"
"1992 AUG","829.6"
"1992 SEP","829.4"
"1992 OCT","832.4"
"1992 NOV","836.0"
"1992 DEC","835.5"
"1993 JAN","818.6"
"1993 FEB","833.4"
"1993 MAR","833.3"
"1993 APR","828.9"
"1993 MAY","829.3"
"1993 JUN","823.0"
"1993 JUL","811.8"
"1993 AUG","813.9"
"1993 SEP","816.1"
"1993 OCT","813.8"
"1993 NOV","815.4"
"1993 DEC","815.2"
"1994 JAN","789.0"
"1994 FEB","784.6"
"1994 MAR","783.3"
"1994 APR","777.3"
"1994 MAY","774.6"
"1994 JUN","767.4"
"1994 JUL","749.4"
"1994 AUG","752.3"
"1994 SEP","749.9"
"1994 OCT","747.9"
"1994 NOV","749.8"
"1994 DEC","748.0"
"1995 JAN","740.4"
"1995 FEB","740.7"
"1995 MAR","738.8"
"1995 APR","732.0"
"1995 MAY","728.9"
"1995 JUN","717.9"
"1995 JUL","707.4"
"1995 AUG","711.3"
"1995 SEP","711.7"
