"Title","CPI INDEX 09.1.2 : PHOTOGRAPHIC, CINEMATOGRAPHIC & OPTICAL EQUIPMENT 2015=100"
"CDID","D7EO"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1988","2214.2"
"1989","2236.5"
"1990","2222.3"
"1991","2150.0"
"1992","2058.2"
"1993","2072.1"
"1994","2085.6"
"1995","1968.5"
"1996","1882.9"
"1997","1735.0"
"1998","1561.7"
"1999","1468.6"
"2000","1391.7"
"2001","1322.3"
"2002","1268.1"
"2003","1198.1"
"2004","1093.4"
"2005","887.8"
"2006","675.9"
"2007","516.6"
"2008","392.0"
"2009","308.2"
"2010","261.3"
"2011","207.7"
"2012","146.4"
"2013","123.9"
"2014","110.8"
"2015","100.0"
"2016","92.1"
"2017","96.5"
"2018","93.0"
"2019","89.9"
"2020","84.4"
"2021","84.3"
"2022","85.2"
"2023","84.3"
"2024","81.2"
"2025","81.3"
"1988 Q1","2084.4"
"1988 Q2","2272.2"
"1988 Q3","2252.3"
"1988 Q4","2247.7"
"1989 Q1","2231.6"
"1989 Q2","2232.4"
"1989 Q3","2235.6"
"1989 Q4","2246.4"
"1990 Q1","2238.0"
"1990 Q2","2217.6"
"1990 Q3","2216.3"
"1990 Q4","2217.4"
"1991 Q1","2132.8"
"1991 Q2","2166.5"
"1991 Q3","2152.8"
"1991 Q4","2147.8"
"1992 Q1","2086.7"
"1992 Q2","2091.9"
"1992 Q3","2033.2"
"1992 Q4","2021.0"
"1993 Q1","2015.8"
"1993 Q2","2039.8"
"1993 Q3","2097.7"
"1993 Q4","2135.3"
"1994 Q1","2115.6"
"1994 Q2","2107.1"
"1994 Q3","2069.1"
"1994 Q4","2050.4"
"1995 Q1","2006.9"
"1995 Q2","1972.0"
"1995 Q3","1949.5"
"1995 Q4","1945.4"
"1996 Q1","1938.5"
"1996 Q2","1892.0"
"1996 Q3","1861.3"
"1996 Q4","1839.7"
"1997 Q1","1774.9"
"1997 Q2","1756.4"
"1997 Q3","1712.0"
"1997 Q4","1696.6"
"1998 Q1","1604.0"
"1998 Q2","1574.5"
"1998 Q3","1552.2"
"1998 Q4","1516.0"
"1999 Q1","1492.4"
"1999 Q2","1469.8"
"1999 Q3","1457.9"
"1999 Q4","1454.1"
"2000 Q1","1413.6"
"2000 Q2","1414.1"
"2000 Q3","1372.6"
"2000 Q4","1366.3"
"2001 Q1","1319.9"
"2001 Q2","1318.4"
"2001 Q3","1343.3"
"2001 Q4","1307.5"
"2002 Q1","1286.5"
"2002 Q2","1277.7"
"2002 Q3","1260.0"
"2002 Q4","1248.1"
"2003 Q1","1222.6"
"2003 Q2","1205.3"
"2003 Q3","1193.7"
"2003 Q4","1170.7"
"2004 Q1","1142.6"
"2004 Q2","1120.0"
"2004 Q3","1076.2"
"2004 Q4","1034.8"
"2005 Q1","964.1"
"2005 Q2","947.4"
"2005 Q3","856.5"
"2005 Q4","783.1"
"2006 Q1","725.3"
"2006 Q2","669.4"
"2006 Q3","659.2"
"2006 Q4","649.7"
"2007 Q1","583.0"
"2007 Q2","543.2"
"2007 Q3","484.3"
"2007 Q4","455.8"
"2008 Q1","429.9"
"2008 Q2","406.8"
"2008 Q3","380.9"
"2008 Q4","350.2"
"2009 Q1","327.0"
"2009 Q2","312.6"
"2009 Q3","298.9"
"2009 Q4","294.5"
"2010 Q1","284.5"
"2010 Q2","267.3"
"2010 Q3","254.7"
"2010 Q4","238.5"
"2011 Q1","223.2"
"2011 Q2","221.9"
"2011 Q3","206.1"
"2011 Q4","179.5"
"2012 Q1","161.0"
"2012 Q2","144.9"
"2012 Q3","143.8"
"2012 Q4","135.8"
"2013 Q1","123.7"
"2013 Q2","124.4"
"2013 Q3","126.5"
"2013 Q4","120.8"
"2014 Q1","110.4"
"2014 Q2","112.2"
"2014 Q3","113.2"
"2014 Q4","107.5"
"2015 Q1","104.3"
"2015 Q2","104.1"
"2015 Q3","96.8"
"2015 Q4","94.8"
"2016 Q1","91.9"
"2016 Q2","91.4"
"2016 Q3","91.9"
"2016 Q4","93.4"
"2017 Q1","96.3"
"2017 Q2","97.0"
"2017 Q3","96.6"
"2017 Q4","96.1"
"2018 Q1","91.9"
"2018 Q2","93.5"
"2018 Q3","93.7"
"2018 Q4","93.0"
"2019 Q1","92.2"
"2019 Q2","91.2"
"2019 Q3","90.4"
"2019 Q4","85.8"
"2020 Q1","85.1"
"2020 Q2","84.3"
"2020 Q3","84.7"
"2020 Q4","83.7"
"2021 Q1","87.2"
"2021 Q2","84.5"
"2021 Q3","84.4"
"2021 Q4","81.0"
"2022 Q1","86.2"
"2022 Q2","84.2"
"2022 Q3","85.7"
"2022 Q4","84.7"
"2023 Q1","86.1"
"2023 Q2","86.7"
"2023 Q3","82.2"
"2023 Q4","82.1"
"2024 Q1","84.2"
"2024 Q2","83.2"
"2024 Q3","79.6"
"2024 Q4","77.9"
"2025 Q1","83.4"
"2025 Q2","81.4"
"2025 Q3","81.7"
"2025 Q4","78.5"
"2026 Q1","79.2"
"2026 Q2","78.9"
"1988 JAN","2086.3"
"1988 FEB","2081.1"
"1988 MAR","2085.9"
"1988 APR","2277.1"
"1988 MAY","2280.4"
"1988 JUN","2259.2"
"1988 JUL","2265.5"
"1988 AUG","2256.0"
"1988 SEP","2235.3"
"1988 OCT","2263.0"
"1988 NOV","2232.5"
"1988 DEC","2247.7"
"1989 JAN","2231.7"
"1989 FEB","2232.9"
"1989 MAR","2230.1"
"1989 APR","2232.5"
"1989 MAY","2232.3"
"1989 JUN","2232.3"
"1989 JUL","2228.2"
"1989 AUG","2230.2"
"1989 SEP","2248.3"
"1989 OCT","2235.0"
"1989 NOV","2256.1"
"1989 DEC","2248.0"
"1990 JAN","2246.9"
"1990 FEB","2240.1"
"1990 MAR","2227.0"
"1990 APR","2222.0"
"1990 MAY","2224.2"
"1990 JUN","2206.5"
"1990 JUL","2213.2"
"1990 AUG","2218.4"
"1990 SEP","2217.2"
"1990 OCT","2216.1"
"1990 NOV","2211.4"
"1990 DEC","2224.7"
"1991 JAN","2135.6"
"1991 FEB","2136.0"
"1991 MAR","2126.9"
"1991 APR","2162.1"
"1991 MAY","2169.5"
"1991 JUN","2167.9"
"1991 JUL","2166.2"
"1991 AUG","2149.4"
"1991 SEP","2142.7"
"1991 OCT","2120.9"
"1991 NOV","2155.5"
"1991 DEC","2167.0"
"1992 JAN","2103.2"
"1992 FEB","2058.2"
"1992 MAR","2098.9"
"1992 APR","2091.0"
"1992 MAY","2094.0"
"1992 JUN","2090.6"
"1992 JUL","2058.1"
"1992 AUG","2049.4"
"1992 SEP","1992.1"
"1992 OCT","1993.2"
"1992 NOV","2025.7"
"1992 DEC","2044.2"
"1993 JAN","1981.6"
"1993 FEB","2043.9"
"1993 MAR","2022.0"
"1993 APR","1998.2"
"1993 MAY","2049.5"
"1993 JUN","2071.6"
"1993 JUL","2059.4"
"1993 AUG","2103.8"
"1993 SEP","2130.0"
"1993 OCT","2107.8"
"1993 NOV","2139.4"
"1993 DEC","2158.6"
"1994 JAN","2087.7"
"1994 FEB","2119.3"
"1994 MAR","2139.9"
"1994 APR","2122.3"
"1994 MAY","2116.4"
"1994 JUN","2082.4"
"1994 JUL","2077.1"
"1994 AUG","2075.1"
"1994 SEP","2055.1"
"1994 OCT","2059.8"
"1994 NOV","2040.2"
"1994 DEC","2051.4"
"1995 JAN","2016.9"
"1995 FEB","2003.7"
"1995 MAR","2000.3"
"1995 APR","1983.6"
"1995 MAY","1967.0"
"1995 JUN","1965.4"
"1995 JUL","1943.4"
"1995 AUG","1948.3"
"1995 SEP","1956.6"
"1995 OCT","1946.7"
"1995 NOV","1937.7"
"1995 DEC","1952.0"
"1996 JAN","1932.6"
"1996 FEB","1947.7"
"1996 MAR","1935.2"
"1996 APR","1919.1"
"1996 MAY","1884.6"
"1996 JUN","1872.4"
"1996 JUL","1871.9"
"1996 AUG","1854.7"
"1996 SEP","1857.1"
"1996 OCT","1856.4"
"1996 NOV","1842.7"
"1996 DEC","1819.9"
"1997 JAN","1770.2"
"1997 FEB","1773.1"
"1997 MAR","1781.3"
"1997 APR","1767.0"
"1997 MAY","1758.5"
"1997 JUN","1743.8"
"1997 JUL","1705.8"
"1997 AUG","1707.4"
"1997 SEP","1722.8"
"1997 OCT","1707.7"
"1997 NOV","1704.3"
"1997 DEC","1677.9"
"1998 JAN","1610.0"
"1998 FEB","1603.7"
"1998 MAR","1598.2"
"1998 APR","1588.5"
"1998 MAY","1568.0"
"1998 JUN","1567.1"
"1998 JUL","1563.9"
"1998 AUG","1561.6"
"1998 SEP","1531.0"
"1998 OCT","1530.2"
"1998 NOV","1507.6"
"1998 DEC","1510.2"
"1999 JAN","1505.3"
"1999 FEB","1487.1"
"1999 MAR","1484.8"
"1999 APR","1467.4"
"1999 MAY","1466.3"
"1999 JUN","1475.7"
"1999 JUL","1448.5"
"1999 AUG","1465.2"
"1999 SEP","1460.1"
"1999 OCT","1466.5"
"1999 NOV","1456.8"
"1999 DEC","1439.1"
"2000 JAN","1415.4"
"2000 FEB","1419.9"
"2000 MAR","1405.4"
"2000 APR","1420.9"
"2000 MAY","1424.9"
"2000 JUN","1396.7"
"2000 JUL","1385.1"
"2000 AUG","1368.9"
"2000 SEP","1363.9"
"2000 OCT","1367.1"
"2000 NOV","1364.2"
"2000 DEC","1367.5"
"2001 JAN","1309.6"
"2001 FEB","1323.1"
"2001 MAR","1327.2"
"2001 APR","1324.9"
"2001 MAY","1314.4"
"2001 JUN","1315.9"
"2001 JUL","1342.2"
"2001 AUG","1345.9"
"2001 SEP","1341.8"
"2001 OCT","1314.3"
"2001 NOV","1305.2"
"2001 DEC","1303.1"
"2002 JAN","1284.7"
"2002 FEB","1290.4"
"2002 MAR","1284.4"
"2002 APR","1288.9"
"2002 MAY","1268.8"
"2002 JUN","1275.5"
"2002 JUL","1255.5"
"2002 AUG","1259.0"
"2002 SEP","1265.4"
"2002 OCT","1257.4"
"2002 NOV","1246.8"
"2002 DEC","1240.2"
"2003 JAN","1220.7"
"2003 FEB","1223.2"
"2003 MAR","1223.9"
"2003 APR","1214.2"
"2003 MAY","1204.8"
"2003 JUN","1196.9"
"2003 JUL","1189.0"
"2003 AUG","1209.2"
"2003 SEP","1182.8"
"2003 OCT","1177.0"
"2003 NOV","1170.5"
"2003 DEC","1164.7"
"2004 JAN","1152.3"
"2004 FEB","1140.2"
"2004 MAR","1135.3"
"2004 APR","1131.0"
"2004 MAY","1122.3"
"2004 JUN","1106.6"
"2004 JUL","1087.0"
"2004 AUG","1077.7"
"2004 SEP","1063.9"
"2004 OCT","1052.7"
"2004 NOV","1039.7"
"2004 DEC","1011.9"
"2005 JAN","973.4"
"2005 FEB","966.2"
"2005 MAR","952.6"
"2005 APR","969.8"
"2005 MAY","955.7"
"2005 JUN","916.7"
"2005 JUL","867.4"
"2005 AUG","863.2"
"2005 SEP","838.9"
"2005 OCT","822.7"
"2005 NOV","760.0"
"2005 DEC","766.7"
"2006 JAN","747.7"
"2006 FEB","738.6"
"2006 MAR","689.7"
"2006 APR","690.0"
"2006 MAY","666.6"
"2006 JUN","651.6"
"2006 JUL","666.3"
"2006 AUG","647.6"
"2006 SEP","663.7"
"2006 OCT","662.5"
"2006 NOV","650.0"
"2006 DEC","636.5"
"2007 JAN","587.8"
"2007 FEB","574.7"
"2007 MAR","586.3"
"2007 APR","574.7"
"2007 MAY","547.6"
"2007 JUN","507.3"
"2007 JUL","488.7"
"2007 AUG","487.6"
"2007 SEP","476.6"
"2007 OCT","480.9"
"2007 NOV","452.2"
"2007 DEC","434.4"
"2008 JAN","434.8"
"2008 FEB","428.3"
"2008 MAR","426.4"
"2008 APR","413.8"
"2008 MAY","409.4"
"2008 JUN","397.2"
"2008 JUL","395.0"
"2008 AUG","376.7"
"2008 SEP","371.0"
"2008 OCT","367.6"
"2008 NOV","347.5"
"2008 DEC","335.6"
"2009 JAN","328.3"
"2009 FEB","331.1"
"2009 MAR","321.6"
"2009 APR","314.5"
"2009 MAY","315.6"
"2009 JUN","307.7"
"2009 JUL","291.7"
"2009 AUG","298.0"
"2009 SEP","307.0"
"2009 OCT","301.6"
"2009 NOV","293.9"
"2009 DEC","287.9"
"2010 JAN","287.9"
"2010 FEB","287.8"
"2010 MAR","277.9"
"2010 APR","267.9"
"2010 MAY","272.8"
"2010 JUN","261.3"
"2010 JUL","268.0"
"2010 AUG","252.5"
"2010 SEP","243.8"
"2010 OCT","245.0"
"2010 NOV","234.0"
"2010 DEC","236.6"
"2011 JAN","230.9"
"2011 FEB","220.8"
"2011 MAR","217.8"
"2011 APR","226.8"
"2011 MAY","227.9"
"2011 JUN","211.1"
"2011 JUL","211.2"
"2011 AUG","214.1"
"2011 SEP","193.0"
"2011 OCT","182.7"
"2011 NOV","179.2"
"2011 DEC","176.6"
"2012 JAN","175.2"
"2012 FEB","158.8"
"2012 MAR","149.1"
"2012 APR","148.0"
"2012 MAY","141.5"
"2012 JUN","145.3"
"2012 JUL","147.0"
"2012 AUG","142.3"
"2012 SEP","142.0"
"2012 OCT","139.0"
"2012 NOV","133.7"
"2012 DEC","134.8"
"2013 JAN","122.7"
"2013 FEB","123.0"
"2013 MAR","125.4"
"2013 APR","123.8"
"2013 MAY","122.8"
"2013 JUN","126.7"
"2013 JUL","124.9"
"2013 AUG","127.4"
"2013 SEP","127.3"
"2013 OCT","125.0"
"2013 NOV","121.5"
"2013 DEC","115.8"
"2014 JAN","111.8"
"2014 FEB","110.5"
"2014 MAR","108.8"
"2014 APR","110.5"
"2014 MAY","110.6"
"2014 JUN","115.6"
"2014 JUL","113.7"
"2014 AUG","113.7"
"2014 SEP","112.3"
"2014 OCT","110.2"
"2014 NOV","105.8"
"2014 DEC","106.6"
"2015 JAN","103.3"
"2015 FEB","105.7"
"2015 MAR","103.8"
"2015 APR","104.8"
"2015 MAY","105.4"
"2015 JUN","102.2"
"2015 JUL","97.1"
"2015 AUG","96.1"
"2015 SEP","97.3"
"2015 OCT","96.8"
"2015 NOV","94.7"
"2015 DEC","92.9"
"2016 JAN","91.8"
"2016 FEB","92.2"
"2016 MAR","91.8"
"2016 APR","90.4"
"2016 MAY","90.7"
"2016 JUN","93.0"
"2016 JUL","90.4"
"2016 AUG","91.8"
"2016 SEP","93.5"
"2016 OCT","95.3"
"2016 NOV","92.7"
"2016 DEC","92.1"
"2017 JAN","94.9"
"2017 FEB","96.9"
"2017 MAR","97.0"
"2017 APR","95.3"
"2017 MAY","97.7"
"2017 JUN","97.9"
"2017 JUL","94.6"
"2017 AUG","97.3"
"2017 SEP","97.9"
"2017 OCT","97.2"
"2017 NOV","96.6"
"2017 DEC","94.4"
"2018 JAN","92.2"
"2018 FEB","91.6"
"2018 MAR","92.0"
"2018 APR","92.9"
"2018 MAY","94.1"
"2018 JUN","93.6"
"2018 JUL","92.7"
"2018 AUG","94.5"
"2018 SEP","93.7"
"2018 OCT","92.2"
"2018 NOV","92.8"
"2018 DEC","93.9"
"2019 JAN","92.5"
"2019 FEB","93.0"
"2019 MAR","90.9"
"2019 APR","90.8"
"2019 MAY","93.2"
"2019 JUN","89.7"
"2019 JUL","90.2"
"2019 AUG","90.5"
"2019 SEP","90.5"
"2019 OCT","88.9"
"2019 NOV","86.1"
"2019 DEC","82.4"
"2020 JAN","83.8"
"2020 FEB","85.2"
"2020 MAR","86.2"
"2020 APR","83.9"
"2020 MAY","84.9"
"2020 JUN","84.0"
"2020 JUL","84.6"
"2020 AUG","84.8"
"2020 SEP","84.8"
"2020 OCT","85.3"
"2020 NOV","84.3"
