"Title","CPI INDEX 09.1.3 : Data processing equipment 2015=100"
"CDID","D7EP"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1991","5038.7"
"1992","5093.2"
"1993","5155.6"
"1994","5184.8"
"1995","5019.9"
"1996","4404.8"
"1997","3370.4"
"1998","2285.0"
"1999","1523.6"
"2000","1203.9"
"2001","946.5"
"2002","773.1"
"2003","598.2"
"2004","475.1"
"2005","378.9"
"2006","329.9"
"2007","266.9"
"2008","204.6"
"2009","177.1"
"2010","170.0"
"2011","146.7"
"2012","132.3"
"2013","121.9"
"2014","117.2"
"2015","100.0"
"2016","90.1"
"2017","89.1"
"2018","86.0"
"2019","85.3"
"2020","85.7"
"2021","86.0"
"2022","80.5"
"2023","80.1"
"2024","76.9"
"2025","75.2"
"1991 Q1","4983.2"
"1991 Q2","5056.4"
"1991 Q3","5037.5"
"1991 Q4","5077.7"
"1992 Q1","5133.2"
"1992 Q2","5172.1"
"1992 Q3","5044.4"
"1992 Q4","5022.9"
"1993 Q1","5072.1"
"1993 Q2","5165.1"
"1993 Q3","5178.6"
"1993 Q4","5206.5"
"1994 Q1","5193.6"
"1994 Q2","5247.8"
"1994 Q3","5141.8"
"1994 Q4","5155.8"
"1995 Q1","5019.9"
"1995 Q2","5019.9"
"1995 Q3","5019.9"
"1995 Q4","5019.9"
"1996 Q1","4942.1"
"1996 Q2","4549.2"
"1996 Q3","4086.1"
"1996 Q4","4041.7"
"1997 Q1","3735.4"
"1997 Q2","3464.4"
"1997 Q3","3244.1"
"1997 Q4","3037.9"
"1998 Q1","2772.7"
"1998 Q2","2441.9"
"1998 Q3","2084.8"
"1998 Q4","1840.6"
"1999 Q1","1711.5"
"1999 Q2","1637.8"
"1999 Q3","1399.8"
"1999 Q4","1345.6"
"2000 Q1","1329.2"
"2000 Q2","1248.5"
"2000 Q3","1147.5"
"2000 Q4","1090.3"
"2001 Q1","1013.1"
"2001 Q2","960.3"
"2001 Q3","940.6"
"2001 Q4","871.9"
"2002 Q1","823.7"
"2002 Q2","813.2"
"2002 Q3","744.1"
"2002 Q4","711.2"
"2003 Q1","663.1"
"2003 Q2","625.7"
"2003 Q3","565.3"
"2003 Q4","538.7"
"2004 Q1","512.4"
"2004 Q2","484.9"
"2004 Q3","465.0"
"2004 Q4","438.3"
"2005 Q1","414.9"
"2005 Q2","378.4"
"2005 Q3","360.8"
"2005 Q4","361.7"
"2006 Q1","349.7"
"2006 Q2","330.5"
"2006 Q3","326.8"
"2006 Q4","312.9"
"2007 Q1","302.7"
"2007 Q2","272.3"
"2007 Q3","253.2"
"2007 Q4","239.6"
"2008 Q1","223.5"
"2008 Q2","206.8"
"2008 Q3","199.5"
"2008 Q4","188.5"
"2009 Q1","179.8"
"2009 Q2","178.5"
"2009 Q3","178.2"
