"Title","CPI INDEX 09.1.4 : RECORDING MEDIA 2015=100"
"CDID","D7ES"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1988","139.3"
"1989","139.0"
"1990","143.8"
"1991","153.1"
"1992","158.6"
"1993","161.0"
"1994","162.6"
"1995","162.1"
"1996","164.2"
"1997","164.5"
"1998","166.1"
"1999","157.0"
"2000","145.9"
"2001","144.9"
"2002","143.1"
"2003","139.3"
"2004","131.1"
"2005","125.7"
"2006","122.2"
"2007","121.3"
"2008","113.9"
"2009","100.4"
"2010","98.9"
"2011","96.9"
"2012","101.5"
"2013","104.5"
"2014","102.1"
"2015","100.0"
"2016","101.6"
"2017","103.0"
"2018","108.3"
"2019","110.4"
"2020","115.4"
"2021","119.1"
"2022","128.6"
"2023","132.5"
"2024","150.7"
"2025","155.1"
"1988 Q1","139.5"
"1988 Q2","139.1"
"1988 Q3","139.8"
"1988 Q4","138.7"
"1989 Q1","138.0"
"1989 Q2","138.5"
"1989 Q3","138.7"
"1989 Q4","140.7"
"1990 Q1","141.5"
"1990 Q2","143.2"
"1990 Q3","144.1"
"1990 Q4","146.5"
"1991 Q1","148.9"
"1991 Q2","152.9"
"1991 Q3","154.1"
"1991 Q4","156.5"
"1992 Q1","157.3"
"1992 Q2","158.7"
"1992 Q3","159.0"
"1992 Q4","159.5"
"1993 Q1","160.3"
"1993 Q2","161.4"
"1993 Q3","160.3"
"1993 Q4","162.1"
"1994 Q1","163.2"
"1994 Q2","162.8"
"1994 Q3","161.8"
"1994 Q4","162.6"
"1995 Q1","162.8"
"1995 Q2","162.2"
"1995 Q3","160.9"
"1995 Q4","162.5"
"1996 Q1","162.1"
"1996 Q2","164.5"
"1996 Q3","164.5"
"1996 Q4","165.6"
"1997 Q1","163.3"
"1997 Q2","165.0"
"1997 Q3","164.9"
"1997 Q4","164.8"
"1998 Q1","165.2"
"1998 Q2","166.2"
"1998 Q3","166.8"
"1998 Q4","166.3"
"1999 Q1","162.8"
"1999 Q2","158.3"
"1999 Q3","156.6"
"1999 Q4","150.3"
"2000 Q1","148.6"
"2000 Q2","146.6"
"2000 Q3","145.5"
"2000 Q4","142.8"
"2001 Q1","143.0"
"2001 Q2","146.4"
"2001 Q3","145.5"
"2001 Q4","144.6"
"2002 Q1","143.8"
"2002 Q2","141.7"
"2002 Q3","143.2"
"2002 Q4","143.6"
"2003 Q1","142.7"
"2003 Q2","138.6"
"2003 Q3","138.1"
"2003 Q4","137.6"
"2004 Q1","132.5"
"2004 Q2","130.5"
"2004 Q3","131.2"
"2004 Q4","130.3"
"2005 Q1","126.1"
"2005 Q2","128.1"
"2005 Q3","124.0"
"2005 Q4","124.5"
"2006 Q1","124.5"
"2006 Q2","122.9"
"2006 Q3","119.8"
"2006 Q4","121.6"
"2007 Q1","121.5"
"2007 Q2","123.1"
"2007 Q3","120.3"
"2007 Q4","120.2"
"2008 Q1","116.4"
"2008 Q2","116.7"
"2008 Q3","112.8"
"2008 Q4","109.7"
"2009 Q1","99.3"
"2009 Q2","100.3"
"2009 Q3","100.6"
"2009 Q4","101.1"
"2010 Q1","99.8"
"2010 Q2","99.2"
"2010 Q3","96.5"
"2010 Q4","100.1"
"2011 Q1","96.4"
"2011 Q2","95.6"
"2011 Q3","94.0"
"2011 Q4","101.5"
"2012 Q1","99.2"
"2012 Q2","104.2"
"2012 Q3","100.7"
"2012 Q4","101.9"
"2013 Q1","106.9"
"2013 Q2","106.0"
