"Title","CPI INDEX 06.1.2/3 : OTHER MEDICAL AND THERAPEUTIC EQUIPMENT 2015=100"
"CDID","D7F8"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"1995","74.8"
"1996","78.6"
"1997","80.9"
"1998","84.7"
"1999","86.8"
"2000","88.4"
"2001","92.1"
"2002","93.9"
"2003","94.3"
"2004","94.1"
"2005","94.2"
"2006","93.2"
"2007","94.3"
"2008","95.3"
"2009","95.6"
"2010","96.7"
"2011","97.2"
"2012","97.7"
"2013","96.9"
"2014","99.0"
"2015","100.0"
"2016","100.3"
"2017","101.0"
"2018","101.3"
"2019","102.5"
"2020","101.5"
"2021","101.5"
"2022","103.0"
"2023","109.7"
"2024","115.5"
"2025","119.5"
"1995 Q1","73.6"
"1995 Q2","74.4"
"1995 Q3","75.2"
"1995 Q4","75.9"
"1996 Q1","77.1"
"1996 Q2","79.0"
"1996 Q3","79.4"
"1996 Q4","79.0"
"1997 Q1","79.5"
"1997 Q2","81.0"
"1997 Q3","82.1"
"1997 Q4","81.1"
"1998 Q1","82.7"
"1998 Q2","84.6"
"1998 Q3","85.5"
"1998 Q4","86.0"
"1999 Q1","86.1"
"1999 Q2","86.2"
"1999 Q3","86.9"
"1999 Q4","88.0"
"2000 Q1","88.1"
"2000 Q2","88.1"
"2000 Q3","88.5"
"2000 Q4","88.7"
"2001 Q1","90.2"
"2001 Q2","92.2"
"2001 Q3","92.8"
"2001 Q4","93.1"
"2002 Q1","93.4"
"2002 Q2","95.1"
"2002 Q3","93.4"
"2002 Q4","93.7"
"2003 Q1","93.8"
"2003 Q2","94.3"
"2003 Q3","94.4"
"2003 Q4","94.7"
"2004 Q1","94.3"
"2004 Q2","94.3"
"2004 Q3","93.9"
"2004 Q4","94.0"
"2005 Q1","94.1"
"2005 Q2","94.3"
"2005 Q3","94.3"
"2005 Q4","94.1"
"2006 Q1","93.3"
"2006 Q2","93.4"
"2006 Q3","93.1"
"2006 Q4","93.2"
"2007 Q1","93.7"
"2007 Q2","94.5"
"2007 Q3","94.4"
"2007 Q4","94.6"
"2008 Q1","94.9"
"2008 Q2","95.3"
"2008 Q3","95.7"
"2008 Q4","95.4"
"2009 Q1","95.2"
"2009 Q2","95.6"
"2009 Q3","95.5"
"2009 Q4","96.3"
"2010 Q1","96.6"
"2010 Q2","96.7"
"2010 Q3","96.7"
