"Title","CPI INDEX 08.2.0.2 Mobile telephone equipment 2015=100"
"CDID","L7GG"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2015","100.0"
"2016","93.9"
"2017","101.8"
"2018","103.7"
"2019","106.8"
"2020","96.3"
"2021","92.2"
"2022","87.8"
"2023","86.9"
"2024","82.7"
"2025","83.9"
"2015 Q1","102.1"
"2015 Q2","99.5"
"2015 Q3","99.7"
"2015 Q4","98.7"
"2016 Q1","94.1"
"2016 Q2","93.1"
"2016 Q3","94.2"
"2016 Q4","94.3"
"2017 Q1","95.2"
"2017 Q2","107.9"
"2017 Q3","101.6"
"2017 Q4","102.6"
"2018 Q1","102.1"
"2018 Q2","103.0"
"2018 Q3","107.2"
"2018 Q4","102.4"
"2019 Q1","106.3"
"2019 Q2","107.0"
"2019 Q3","107.5"
"2019 Q4","106.4"
"2020 Q1","99.8"
"2020 Q2","94.0"
"2020 Q3","95.4"
"2020 Q4","95.8"
"2021 Q1","92.8"
"2021 Q2","95.0"
"2021 Q3","90.0"
"2021 Q4","91.0"
"2022 Q1","87.7"
"2022 Q2","89.0"
"2022 Q3","87.4"
"2022 Q4","87.1"
"2023 Q1","84.3"
"2023 Q2","90.9"
"2023 Q3","85.8"
"2023 Q4","86.6"
"2024 Q1","83.9"
"2024 Q2","83.2"
"2024 Q3","81.3"
"2024 Q4","82.3"
"2025 Q1","85.0"
"2025 Q2","84.2"
"2025 Q3","84.2"
"2025 Q4","82.3"
"2026 Q1","82.8"
"2026 Q2","83.4"
"2015 JAN","104.2"
"2015 FEB","101.0"
"2015 MAR","101.2"
"2015 APR","101.0"
"2015 MAY","95.2"
"2015 JUN","102.2"
"2015 JUL","96.5"
"2015 AUG","99.6"
"2015 SEP","102.9"
"2015 OCT","100.1"
"2015 NOV","98.4"
"2015 DEC","97.7"
"2016 JAN","95.8"
"2016 FEB","96.0"
"2016 MAR","90.6"
"2016 APR","91.1"
"2016 MAY","92.0"
"2016 JUN","96.2"
"2016 JUL","91.8"
"2016 AUG","95.8"
"2016 SEP","95.0"
"2016 OCT","96.5"
"2016 NOV","94.1"
"2016 DEC","92.2"
"2017 JAN","91.8"
"2017 FEB","95.9"
"2017 MAR","97.8"
"2017 APR","96.1"
"2017 MAY","107.4"
"2017 JUN","120.2"
"2017 JUL","106.5"
"2017 AUG","97.1"
"2017 SEP","101.2"
"2017 OCT","100.5"
"2017 NOV","104.4"
"2017 DEC","103.0"
"2018 JAN","104.9"
"2018 FEB","100.1"
"2018 MAR","101.2"
"2018 APR","100.7"
"2018 MAY","106.9"
"2018 JUN","101.4"
"2018 JUL","99.6"
"2018 AUG","108.8"
"2018 SEP","113.2"
"2018 OCT","102.7"
"2018 NOV","104.3"
"2018 DEC","100.2"
"2019 JAN","108.1"
"2019 FEB","106.0"
"2019 MAR","104.7"
"2019 APR","106.3"
"2019 MAY","105.4"
"2019 JUN","109.1"
"2019 JUL","103.6"
"2019 AUG","105.6"
"2019 SEP","113.2"
"2019 OCT","110.2"
"2019 NOV","106.4"
"2019 DEC","102.6"
"2020 JAN","102.2"
"2020 FEB","97.8"
"2020 MAR","99.5"
"2020 APR","89.7"
"2020 MAY","95.4"
"2020 JUN","96.9"
"2020 JUL","95.2"
"2020 AUG","95.1"
"2020 SEP","96.1"
"2020 OCT","97.4"
"2020 NOV","94.1"
"2020 DEC","96.0"
"2021 JAN","91.5"
"2021 FEB","92.1"
"2021 MAR","94.9"
"2021 APR","95.9"
"2021 MAY","91.2"
"2021 JUN","97.9"
"2021 JUL","88.7"
"2021 AUG","88.6"
"2021 SEP","92.6"
"2021 OCT","93.3"
"2021 NOV","92.9"
"2021 DEC","86.8"
"2022 JAN","88.1"
"2022 FEB","87.8"
"2022 MAR","87.3"
"2022 APR","87.9"
"2022 MAY","87.0"
"2022 JUN","92.0"
"2022 JUL","89.9"
"2022 AUG","85.5"
"2022 SEP","86.9"
"2022 OCT","94.8"
"2022 NOV","87.5"
"2022 DEC","78.9"
"2023 JAN","81.0"
"2023 FEB","85.7"
"2023 MAR","86.0"
"2023 APR","86.3"
"2023 MAY","90.8"
"2023 JUN","95.5"
"2023 JUL","84.8"
"2023 AUG","86.1"
"2023 SEP","86.6"
"2023 OCT","89.1"
"2023 NOV","85.7"
"2023 DEC","85.0"
"2024 JAN","86.3"
"2024 FEB","80.1"
"2024 MAR","85.3"
"2024 APR","80.1"
"2024 MAY","86.0"
"2024 JUN","83.6"
"2024 JUL","79.8"
"2024 AUG","80.5"
"2024 SEP","83.7"
"2024 OCT","82.9"
"2024 NOV","80.3"
"2024 DEC","83.6"
"2025 JAN","84.6"
"2025 FEB","85.8"
"2025 MAR","84.8"
"2025 APR","84.7"
"2025 MAY","83.8"
"2025 JUN","84.1"
"2025 JUL","84.8"
"2025 AUG","84.9"
"2025 SEP","82.9"
"2025 OCT","82.0"
"2025 NOV","82.1"
"2025 DEC","82.8"
"2026 JAN","83.1"
"2026 FEB","82.9"
"2026 MAR","82.4"
"2026 APR","81.9"
"2026 MAY","83.9"
"2026 JUN","84.2"
