"Title","CPI INDEX 09.1.1.1 Equipment for the reception, recording and reproduction of sound 2015=100"
"CDID","L7GM"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2015","100.0"
"2016","101.5"
"2017","102.2"
"2018","100.5"
"2019","96.4"
"2020","92.4"
"2021","98.0"
"2022","102.6"
"2023","106.9"
"2024","106.2"
"2025","101.0"
"2015 Q1","98.8"
"2015 Q2","100.3"
"2015 Q3","99.8"
"2015 Q4","101.1"
"2016 Q1","101.7"
"2016 Q2","101.4"
"2016 Q3","102.4"
"2016 Q4","100.5"
"2017 Q1","101.8"
"2017 Q2","102.5"
"2017 Q3","102.5"
"2017 Q4","101.9"
"2018 Q1","99.6"
"2018 Q2","101.3"
"2018 Q3","100.1"
"2018 Q4","101.2"
"2019 Q1","97.6"
"2019 Q2","97.5"
"2019 Q3","94.7"
"2019 Q4","96.0"
"2020 Q1","91.9"
"2020 Q2","91.2"
"2020 Q3","92.5"
"2020 Q4","94.1"
"2021 Q1","95.5"
"2021 Q2","96.8"
"2021 Q3","99.0"
"2021 Q4","100.5"
"2022 Q1","99.4"
"2022 Q2","102.9"
"2022 Q3","102.9"
"2022 Q4","105.3"
"2023 Q1","105.4"
"2023 Q2","106.7"
"2023 Q3","108.6"
"2023 Q4","106.9"
"2024 Q1","108.1"
"2024 Q2","105.6"
"2024 Q3","105.7"
"2024 Q4","105.4"
"2025 Q1","105.8"
"2025 Q2","101.4"
"2025 Q3","99.6"
"2025 Q4","97.3"
"2026 Q1","99.5"
"2026 Q2","97.9"
"2015 JAN","98.3"
"2015 FEB","99.3"
"2015 MAR","98.7"
"2015 APR","97.3"
"2015 MAY","101.7"
"2015 JUN","102.0"
"2015 JUL","99.8"
"2015 AUG","99.4"
"2015 SEP","100.3"
"2015 OCT","103.4"
"2015 NOV","101.4"
"2015 DEC","98.3"
"2016 JAN","98.1"
"2016 FEB","102.9"
"2016 MAR","104.1"
"2016 APR","101.2"
"2016 MAY","101.1"
"2016 JUN","102.0"
"2016 JUL","103.8"
"2016 AUG","102.6"
"2016 SEP","100.9"
"2016 OCT","100.7"
"2016 NOV","101.0"
"2016 DEC","99.9"
"2017 JAN","100.4"
"2017 FEB","101.7"
"2017 MAR","103.3"
"2017 APR","102.0"
"2017 MAY","103.8"
"2017 JUN","101.7"
"2017 JUL","102.2"
"2017 AUG","102.4"
"2017 SEP","103.0"
"2017 OCT","103.1"
"2017 NOV","103.9"
"2017 DEC","98.8"
"2018 JAN","99.9"
"2018 FEB","99.5"
"2018 MAR","99.4"
"2018 APR","101.4"
"2018 MAY","101.6"
"2018 JUN","100.7"
"2018 JUL","100.1"
"2018 AUG","96.8"
"2018 SEP","103.4"
"2018 OCT","101.6"
"2018 NOV","102.4"
"2018 DEC","99.7"
"2019 JAN","95.7"
"2019 FEB","98.5"
"2019 MAR","98.8"
"2019 APR","96.4"
"2019 MAY","98.3"
"2019 JUN","97.7"
"2019 JUL","95.0"
"2019 AUG","93.7"
"2019 SEP","95.4"
"2019 OCT","96.3"
"2019 NOV","96.9"
"2019 DEC","94.7"
"2020 JAN","91.6"
"2020 FEB","91.2"
"2020 MAR","92.7"
"2020 APR","90.0"
"2020 MAY","91.0"
"2020 JUN","92.5"
"2020 JUL","90.9"
"2020 AUG","93.8"
"2020 SEP","92.7"
"2020 OCT","97.1"
"2020 NOV","94.2"
"2020 DEC","91.0"
"2021 JAN","96.7"
"2021 FEB","95.0"
"2021 MAR","94.6"
"2021 APR","94.1"
"2021 MAY","98.0"
"2021 JUN","98.3"
"2021 JUL","98.3"
"2021 AUG","99.2"
"2021 SEP","99.6"
"2021 OCT","102.4"
"2021 NOV","100.7"
"2021 DEC","98.5"
"2022 JAN","98.2"
"2022 FEB","100.3"
"2022 MAR","99.8"
"2022 APR","102.0"
"2022 MAY","102.5"
"2022 JUN","104.3"
"2022 JUL","101.2"
"2022 AUG","104.6"
"2022 SEP","102.9"
"2022 OCT","105.5"
"2022 NOV","106.0"
"2022 DEC","104.3"
"2023 JAN","104.8"
"2023 FEB","107.0"
"2023 MAR","104.2"
"2023 APR","105.4"
"2023 MAY","107.3"
"2023 JUN","107.2"
"2023 JUL","105.4"
"2023 AUG","110.8"
"2023 SEP","109.7"
"2023 OCT","109.5"
"2023 NOV","107.6"
"2023 DEC","103.5"
"2024 JAN","105.9"
"2024 FEB","108.7"
"2024 MAR","109.8"
"2024 APR","108.2"
"2024 MAY","104.4"
"2024 JUN","104.3"
"2024 JUL","104.6"
"2024 AUG","106.0"
"2024 SEP","106.4"
"2024 OCT","110.8"
"2024 NOV","103.8"
"2024 DEC","101.7"
"2025 JAN","104.5"
"2025 FEB","109.8"
"2025 MAR","103.1"
"2025 APR","100.8"
"2025 MAY","102.2"
"2025 JUN","101.3"
"2025 JUL","100.4"
"2025 AUG","99.0"
"2025 SEP","99.3"
"2025 OCT","104.3"
"2025 NOV","95.2"
"2025 DEC","92.4"
"2026 JAN","97.7"
"2026 FEB","102.0"
"2026 MAR","98.9"
"2026 APR","97.0"
"2026 MAY","99.4"
"2026 JUN","97.4"
