"Title","CPI INDEX 09.1.1.2 Equipment for the reception, recording and reproduction of sound and vision 2015=100"
"CDID","L7GP"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","100.0"
"2016","92.9"
"2017","100.9"
"2018","94.1"
"2019","84.1"
"2020","79.3"
"2021","82.0"
"2022","74.9"
"2023","74.4"
"2024","71.0"
"2025","63.5"
"2015 Q1","101.0"
"2015 Q2","102.0"
"2015 Q3","99.1"
"2015 Q4","98.0"
"2016 Q1","93.9"
"2016 Q2","91.8"
"2016 Q3","93.0"
"2016 Q4","92.9"
"2017 Q1","97.5"
"2017 Q2","101.0"
"2017 Q3","103.3"
"2017 Q4","101.7"
"2018 Q1","97.7"
"2018 Q2","94.8"
"2018 Q3","93.0"
"2018 Q4","90.9"
"2019 Q1","87.4"
"2019 Q2","83.9"
"2019 Q3","83.3"
"2019 Q4","81.8"
"2020 Q1","79.6"
"2020 Q2","78.7"
"2020 Q3","80.2"
"2020 Q4","78.6"
"2021 Q1","79.1"
"2021 Q2","80.5"
"2021 Q3","84.8"
"2021 Q4","83.7"
"2022 Q1","79.8"
"2022 Q2","72.2"
"2022 Q3","73.3"
"2022 Q4","74.2"
"2023 Q1","74.5"
"2023 Q2","75.2"
"2023 Q3","74.7"
"2023 Q4","73.2"
"2024 Q1","71.8"
"2024 Q2","70.3"
"2024 Q3","72.0"
"2024 Q4","70.0"
"2025 Q1","68.4"
"2025 Q2","63.1"
"2025 Q3","62.5"
"2025 Q4","60.0"
"2026 Q1","59.7"
"2026 Q2","58.7"
"2015 JAN","101.2"
"2015 FEB","101.0"
"2015 MAR","100.8"
"2015 APR","100.4"
"2015 MAY","102.1"
"2015 JUN","103.4"
"2015 JUL","98.3"
"2015 AUG","99.8"
"2015 SEP","99.2"
"2015 OCT","99.5"
"2015 NOV","98.2"
"2015 DEC","96.2"
"2016 JAN","93.6"
"2016 FEB","94.1"
"2016 MAR","93.9"
"2016 APR","92.1"
"2016 MAY","92.0"
"2016 JUN","91.2"
"2016 JUL","94.1"
"2016 AUG","91.8"
"2016 SEP","93.1"
"2016 OCT","93.7"
"2016 NOV","91.8"
"2016 DEC","93.1"
"2017 JAN","94.4"
"2017 FEB","99.3"
"2017 MAR","98.9"
"2017 APR","99.4"
"2017 MAY","102.3"
"2017 JUN","101.5"
"2017 JUL","103.0"
"2017 AUG","103.3"
"2017 SEP","103.7"
"2017 OCT","103.5"
"2017 NOV","102.0"
"2017 DEC","99.7"
"2018 JAN","99.0"
"2018 FEB","97.4"
"2018 MAR","96.7"
"2018 APR","96.4"
"2018 MAY","94.7"
"2018 JUN","93.2"
"2018 JUL","92.7"
"2018 AUG","93.5"
"2018 SEP","92.8"
"2018 OCT","93.3"
"2018 NOV","89.5"
"2018 DEC","89.9"
"2019 JAN","87.0"
"2019 FEB","88.4"
"2019 MAR","86.8"
"2019 APR","84.6"
"2019 MAY","84.1"
"2019 JUN","83.0"
"2019 JUL","82.5"
"2019 AUG","84.1"
"2019 SEP","83.3"
"2019 OCT","84.0"
"2019 NOV","81.3"
"2019 DEC","80.0"
"2020 JAN","79.8"
"2020 FEB","79.5"
"2020 MAR","79.5"
"2020 APR","77.7"
"2020 MAY","79.2"
"2020 JUN","79.1"
"2020 JUL","78.8"
"2020 AUG","81.3"
"2020 SEP","80.4"
"2020 OCT","79.6"
"2020 NOV","77.8"
"2020 DEC","78.4"
"2021 JAN","78.0"
"2021 FEB","79.4"
"2021 MAR","79.9"
"2021 APR","78.0"
"2021 MAY","81.1"
"2021 JUN","82.3"
"2021 JUL","84.0"
"2021 AUG","84.4"
"2021 SEP","85.9"
"2021 OCT","85.4"
"2021 NOV","83.9"
"2021 DEC","81.9"
"2022 JAN","81.5"
"2022 FEB","79.4"
"2022 MAR","78.3"
"2022 APR","73.6"
"2022 MAY","71.6"
"2022 JUN","71.5"
"2022 JUL","71.9"
"2022 AUG","73.3"
"2022 SEP","74.6"
"2022 OCT","72.5"
"2022 NOV","72.8"
"2022 DEC","77.3"
"2023 JAN","74.2"
"2023 FEB","74.2"
"2023 MAR","75.0"
"2023 APR","75.3"
"2023 MAY","75.0"
"2023 JUN","75.2"
"2023 JUL","74.0"
"2023 AUG","75.5"
"2023 SEP","74.7"
"2023 OCT","74.9"
"2023 NOV","71.9"
"2023 DEC","72.7"
"2024 JAN","71.4"
"2024 FEB","72.6"
"2024 MAR","71.4"
"2024 APR","71.5"
"2024 MAY","68.8"
"2024 JUN","70.6"
"2024 JUL","72.2"
"2024 AUG","72.5"
"2024 SEP","71.2"
"2024 OCT","71.7"
"2024 NOV","69.0"
"2024 DEC","69.3"
"2025 JAN","68.8"
"2025 FEB","69.0"
"2025 MAR","67.4"
"2025 APR","65.9"
"2025 MAY","61.9"
"2025 JUN","61.7"
"2025 JUL","62.5"
"2025 AUG","62.8"
"2025 SEP","62.1"
"2025 OCT","60.3"
"2025 NOV","59.2"
"2025 DEC","60.4"
"2026 JAN","60.5"
"2026 FEB","60.0"
"2026 MAR","58.6"
"2026 APR","58.8"
"2026 MAY","58.6"
"2026 JUN","58.8"
"2026 JUL","56.8"
