"Title","CPI INDEX 09.1.1.3 Portable sound and vision devices 2015=100"
"CDID","L7GQ"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","100.0"
"2016","102.0"
"2017","107.4"
"2018","96.9"
"2019","94.0"
"2020","96.3"
"2021","98.9"
"2022","104.1"
"2023","108.1"
"2024","112.9"
"2025","128.8"
"2015 Q1","99.7"
"2015 Q2","98.4"
"2015 Q3","102.4"
"2015 Q4","99.5"
"2016 Q1","99.8"
"2016 Q2","99.6"
"2016 Q3","99.7"
"2016 Q4","109.0"
"2017 Q1","111.3"
"2017 Q2","111.2"
"2017 Q3","106.2"
"2017 Q4","100.7"
"2018 Q1","98.3"
"2018 Q2","98.7"
"2018 Q3","93.8"
"2018 Q4","96.7"
"2019 Q1","93.7"
"2019 Q2","92.7"
"2019 Q3","94.6"
"2019 Q4","94.9"
"2020 Q1","98.2"
"2020 Q2","95.0"
"2020 Q3","96.5"
"2020 Q4","95.7"
"2021 Q1","97.8"
"2021 Q2","99.0"
"2021 Q3","99.7"
"2021 Q4","99.0"
"2022 Q1","103.4"
"2022 Q2","102.7"
"2022 Q3","103.3"
"2022 Q4","106.9"
"2023 Q1","111.8"
"2023 Q2","108.8"
"2023 Q3","105.2"
"2023 Q4","106.7"
"2024 Q1","114.5"
"2024 Q2","117.2"
"2024 Q3","113.6"
"2024 Q4","106.2"
"2025 Q1","127.1"
"2025 Q2","127.9"
"2025 Q3","129.6"
"2025 Q4","130.5"
"2026 Q1","125.4"
"2026 Q2","133.6"
"2015 JAN","102.3"
"2015 FEB","98.8"
"2015 MAR","98.1"
"2015 APR","96.7"
"2015 MAY","98.0"
"2015 JUN","100.6"
"2015 JUL","99.3"
"2015 AUG","103.5"
"2015 SEP","104.3"
"2015 OCT","97.5"
"2015 NOV","99.6"
"2015 DEC","101.3"
"2016 JAN","100.0"
"2016 FEB","99.8"
"2016 MAR","99.5"
"2016 APR","99.3"
"2016 MAY","99.8"
"2016 JUN","99.8"
"2016 JUL","100.1"
"2016 AUG","97.0"
"2016 SEP","101.9"
"2016 OCT","109.1"
"2016 NOV","108.0"
"2016 DEC","109.8"
"2017 JAN","113.0"
"2017 FEB","112.3"
"2017 MAR","108.6"
"2017 APR","111.1"
"2017 MAY","111.5"
"2017 JUN","111.2"
"2017 JUL","111.7"
"2017 AUG","104.5"
"2017 SEP","102.5"
"2017 OCT","104.1"
"2017 NOV","100.8"
"2017 DEC","97.3"
"2018 JAN","96.3"
"2018 FEB","99.3"
"2018 MAR","99.4"
"2018 APR","99.4"
"2018 MAY","99.4"
"2018 JUN","97.2"
"2018 JUL","90.9"
"2018 AUG","95.3"
"2018 SEP","95.1"
"2018 OCT","95.7"
"2018 NOV","97.4"
"2018 DEC","96.8"
"2019 JAN","95.8"
"2019 FEB","92.7"
"2019 MAR","92.6"
"2019 APR","92.4"
"2019 MAY","92.5"
"2019 JUN","93.2"
"2019 JUL","90.1"
"2019 AUG","97.1"
"2019 SEP","96.6"
"2019 OCT","97.1"
"2019 NOV","95.4"
"2019 DEC","92.2"
"2020 JAN","97.9"
"2020 FEB","99.4"
"2020 MAR","97.2"
"2020 APR","94.5"
"2020 MAY","94.2"
"2020 JUN","96.4"
"2020 JUL","98.1"
"2020 AUG","93.0"
"2020 SEP","98.5"
"2020 OCT","96.9"
"2020 NOV","96.5"
"2020 DEC","93.7"
"2021 JAN","97.2"
"2021 FEB","99.4"
"2021 MAR","96.8"
"2021 APR","95.9"
"2021 MAY","100.1"
"2021 JUN","100.9"
"2021 JUL","102.0"
"2021 AUG","95.8"
"2021 SEP","101.3"
"2021 OCT","101.0"
"2021 NOV","99.7"
"2021 DEC","96.4"
"2022 JAN","101.9"
"2022 FEB","103.2"
"2022 MAR","105.2"
"2022 APR","103.0"
"2022 MAY","102.4"
"2022 JUN","102.8"
"2022 JUL","104.0"
"2022 AUG","104.4"
"2022 SEP","101.5"
"2022 OCT","103.1"
"2022 NOV","103.9"
"2022 DEC","113.8"
"2023 JAN","112.1"
"2023 FEB","113.2"
"2023 MAR","110.1"
"2023 APR","109.8"
"2023 MAY","109.6"
"2023 JUN","107.0"
"2023 JUL","107.0"
"2023 AUG","103.5"
"2023 SEP","105.2"
"2023 OCT","106.2"
"2023 NOV","106.4"
"2023 DEC","107.6"
"2024 JAN","113.0"
"2024 FEB","115.0"
"2024 MAR","115.6"
"2024 APR","114.8"
"2024 MAY","116.7"
"2024 JUN","120.0"
"2024 JUL","110.1"
"2024 AUG","118.1"
"2024 SEP","112.7"
"2024 OCT","104.8"
"2024 NOV","104.1"
"2024 DEC","109.9"
"2025 JAN","130.9"
"2025 FEB","122.1"
"2025 MAR","128.1"
"2025 APR","126.3"
"2025 MAY","129.2"
"2025 JUN","128.2"
"2025 JUL","121.9"
"2025 AUG","133.4"
"2025 SEP","133.4"
"2025 OCT","128.2"
"2025 NOV","138.4"
"2025 DEC","125.0"
"2026 JAN","121.8"
"2026 FEB","129.5"
"2026 MAR","124.8"
"2026 APR","122.1"
"2026 MAY","125.7"
"2026 JUN","152.8"
"2026 JUL","119.7"
