"Title","CPI INDEX 09.1.1.9 Other equipment for the reception, recording and reproduction of sound and picture 2015=100"
"CDID","L7GR"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","100.0"
"2016","97.9"
"2017","98.5"
"2018","97.0"
"2019","98.0"
"2020","97.8"
"2021","96.2"
"2022","98.2"
"2023","97.8"
"2024","92.4"
"2025","93.9"
"2015 Q1","102.6"
"2015 Q2","99.3"
"2015 Q3","99.1"
"2015 Q4","99.1"
"2016 Q1","98.2"
"2016 Q2","98.4"
"2016 Q3","98.2"
"2016 Q4","96.7"
"2017 Q1","99.8"
"2017 Q2","99.1"
"2017 Q3","98.6"
"2017 Q4","96.6"
"2018 Q1","98.4"
"2018 Q2","96.0"
"2018 Q3","96.5"
"2018 Q4","97.3"
"2019 Q1","99.6"
"2019 Q2","97.9"
"2019 Q3","97.4"
"2019 Q4","97.0"
"2020 Q1","97.6"
"2020 Q2","98.0"
"2020 Q3","98.2"
"2020 Q4","97.2"
"2021 Q1","94.5"
"2021 Q2","95.8"
"2021 Q3","97.0"
"2021 Q4","97.6"
"2022 Q1","97.0"
"2022 Q2","99.1"
"2022 Q3","98.4"
"2022 Q4","98.3"
"2023 Q1","96.6"
"2023 Q2","100.2"
"2023 Q3","98.9"
"2023 Q4","95.3"
"2024 Q1","94.5"
"2024 Q2","92.6"
"2024 Q3","92.1"
"2024 Q4","90.6"
"2025 Q1","92.5"
"2025 Q2","94.1"
"2025 Q3","95.2"
"2025 Q4","93.9"
"2026 Q1","96.9"
"2026 Q2","93.6"
"2015 JAN","102.5"
"2015 FEB","104.4"
"2015 MAR","100.7"
"2015 APR","96.5"
"2015 MAY","100.7"
"2015 JUN","100.6"
"2015 JUL","99.4"
"2015 AUG","98.4"
"2015 SEP","99.6"
"2015 OCT","97.8"
"2015 NOV","102.5"
"2015 DEC","97.0"
"2016 JAN","98.5"
"2016 FEB","98.0"
"2016 MAR","98.2"
"2016 APR","100.1"
"2016 MAY","97.4"
"2016 JUN","97.8"
"2016 JUL","99.3"
"2016 AUG","97.6"
"2016 SEP","97.6"
"2016 OCT","96.6"
"2016 NOV","98.1"
"2016 DEC","95.6"
"2017 JAN","99.0"
"2017 FEB","99.7"
"2017 MAR","100.6"
"2017 APR","98.9"
"2017 MAY","99.6"
"2017 JUN","99.0"
"2017 JUL","99.3"
"2017 AUG","98.0"
"2017 SEP","98.5"
"2017 OCT","96.7"
"2017 NOV","97.1"
"2017 DEC","96.1"
"2018 JAN","98.1"
"2018 FEB","99.8"
"2018 MAR","97.2"
"2018 APR","99.0"
"2018 MAY","93.9"
"2018 JUN","95.1"
"2018 JUL","99.0"
"2018 AUG","93.4"
"2018 SEP","97.0"
"2018 OCT","99.6"
"2018 NOV","98.3"
"2018 DEC","94.0"
"2019 JAN","97.4"
"2019 FEB","100.9"
"2019 MAR","100.4"
"2019 APR","98.1"
"2019 MAY","97.7"
"2019 JUN","97.9"
"2019 JUL","97.5"
"2019 AUG","98.9"
"2019 SEP","95.9"
"2019 OCT","97.7"
"2019 NOV","97.8"
"2019 DEC","95.5"
"2020 JAN","96.9"
"2020 FEB","97.8"
"2020 MAR","98.2"
"2020 APR","98.1"
"2020 MAY","100.6"
"2020 JUN","95.4"
"2020 JUL","97.3"
"2020 AUG","98.1"
"2020 SEP","99.1"
"2020 OCT","99.4"
"2020 NOV","96.8"
"2020 DEC","95.3"
"2021 JAN","94.0"
"2021 FEB","95.8"
"2021 MAR","93.7"
"2021 APR","95.1"
"2021 MAY","96.4"
"2021 JUN","95.9"
"2021 JUL","94.6"
"2021 AUG","97.4"
"2021 SEP","99.0"
"2021 OCT","99.3"
"2021 NOV","97.7"
"2021 DEC","95.7"
"2022 JAN","98.5"
"2022 FEB","96.3"
"2022 MAR","96.1"
"2022 APR","96.5"
"2022 MAY","100.8"
"2022 JUN","100.0"
"2022 JUL","99.3"
"2022 AUG","98.2"
"2022 SEP","97.7"
"2022 OCT","99.3"
"2022 NOV","101.6"
"2022 DEC","94.0"
"2023 JAN","96.2"
"2023 FEB","94.1"
"2023 MAR","99.6"
"2023 APR","100.6"
"2023 MAY","99.2"
"2023 JUN","100.9"
"2023 JUL","99.0"
"2023 AUG","95.9"
"2023 SEP","101.8"
"2023 OCT","99.3"
"2023 NOV","95.8"
"2023 DEC","90.8"
"2024 JAN","94.3"
"2024 FEB","93.9"
"2024 MAR","95.2"
"2024 APR","93.6"
"2024 MAY","93.3"
"2024 JUN","90.7"
"2024 JUL","91.6"
"2024 AUG","92.0"
"2024 SEP","92.8"
"2024 OCT","93.1"
"2024 NOV","90.9"
"2024 DEC","87.9"
"2025 JAN","92.5"
"2025 FEB","91.3"
"2025 MAR","93.8"
"2025 APR","91.3"
"2025 MAY","94.9"
"2025 JUN","96.1"
"2025 JUL","94.8"
"2025 AUG","95.9"
"2025 SEP","94.9"
"2025 OCT","95.9"
"2025 NOV","94.6"
"2025 DEC","91.2"
"2026 JAN","99.6"
"2026 FEB","96.3"
"2026 MAR","94.8"
"2026 APR","92.6"
"2026 MAY","95.6"
"2026 JUN","92.6"
"2026 JUL","93.5"
