"Title","CPI INDEX 09.1.3.1 Personal computers 2015=100"
"CDID","L7GT"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","100.0"
"2016","92.1"
"2017","91.3"
"2018","86.2"
"2019","81.1"
"2020","75.8"
"2021","73.4"
"2022","69.0"
"2023","66.3"
"2024","59.2"
"2025","54.8"
"2015 Q1","105.2"
"2015 Q2","100.3"
"2015 Q3","99.1"
"2015 Q4","95.3"
"2016 Q1","94.4"
"2016 Q2","92.6"
"2016 Q3","90.3"
"2016 Q4","90.9"
"2017 Q1","91.7"
"2017 Q2","91.7"
"2017 Q3","91.9"
"2017 Q4","89.9"
"2018 Q1","87.2"
"2018 Q2","86.4"
"2018 Q3","84.8"
"2018 Q4","86.4"
"2019 Q1","83.1"
"2019 Q2","84.7"
"2019 Q3","79.2"
"2019 Q4","77.4"
"2020 Q1","75.3"
"2020 Q2","76.6"
"2020 Q3","75.4"
"2020 Q4","76.0"
"2021 Q1","74.5"
"2021 Q2","72.7"
"2021 Q3","72.7"
"2021 Q4","73.5"
"2022 Q1","71.2"
"2022 Q2","68.6"
"2022 Q3","68.5"
"2022 Q4","67.5"
"2023 Q1","66.6"
"2023 Q2","66.8"
"2023 Q3","66.9"
"2023 Q4","64.9"
"2024 Q1","62.3"
"2024 Q2","60.0"
"2024 Q3","59.2"
"2024 Q4","55.1"
"2025 Q1","56.7"
"2025 Q2","55.9"
"2025 Q3","53.4"
"2025 Q4","53.3"
"2026 Q1","53.1"
"2026 Q2","53.6"
"2015 JAN","107.3"
"2015 FEB","104.1"
"2015 MAR","104.3"
"2015 APR","101.7"
"2015 MAY","99.7"
"2015 JUN","99.6"
"2015 JUL","99.7"
"2015 AUG","100.2"
"2015 SEP","97.5"
"2015 OCT","94.7"
"2015 NOV","95.9"
"2015 DEC","95.3"
"2016 JAN","97.1"
"2016 FEB","92.1"
"2016 MAR","94.0"
"2016 APR","93.6"
"2016 MAY","92.4"
"2016 JUN","91.8"
"2016 JUL","90.5"
"2016 AUG","90.0"
"2016 SEP","90.3"
"2016 OCT","90.5"
"2016 NOV","92.5"
"2016 DEC","89.8"
"2017 JAN","89.8"
"2017 FEB","92.0"
"2017 MAR","93.3"
"2017 APR","90.4"
"2017 MAY","94.0"
"2017 JUN","90.8"
"2017 JUL","91.8"
"2017 AUG","92.4"
"2017 SEP","91.4"
"2017 OCT","91.8"
"2017 NOV","91.5"
"2017 DEC","86.5"
"2018 JAN","86.4"
"2018 FEB","86.7"
"2018 MAR","88.6"
"2018 APR","88.1"
"2018 MAY","86.4"
"2018 JUN","84.7"
"2018 JUL","83.9"
"2018 AUG","85.2"
"2018 SEP","85.3"
"2018 OCT","86.0"
"2018 NOV","87.3"
"2018 DEC","85.8"
"2019 JAN","84.7"
"2019 FEB","82.1"
"2019 MAR","82.5"
"2019 APR","83.5"
"2019 MAY","85.8"
"2019 JUN","84.7"
"2019 JUL","81.4"
"2019 AUG","78.3"
"2019 SEP","78.0"
"2019 OCT","78.7"
"2019 NOV","78.8"
"2019 DEC","74.6"
"2020 JAN","76.7"
"2020 FEB","74.6"
"2020 MAR","74.4"
"2020 APR","76.8"
"2020 MAY","76.5"
"2020 JUN","76.5"
"2020 JUL","74.9"
"2020 AUG","75.4"
"2020 SEP","76.0"
"2020 OCT","76.9"
"2020 NOV","76.1"
"2020 DEC","75.1"
"2021 JAN","74.7"
"2021 FEB","74.4"
"2021 MAR","74.4"
"2021 APR","72.2"
"2021 MAY","72.7"
"2021 JUN","73.2"
"2021 JUL","71.6"
"2021 AUG","73.6"
"2021 SEP","73.0"
"2021 OCT","73.9"
"2021 NOV","72.6"
"2021 DEC","73.9"
"2022 JAN","72.6"
"2022 FEB","70.2"
"2022 MAR","70.9"
"2022 APR","68.1"
"2022 MAY","67.5"
"2022 JUN","70.3"
"2022 JUL","68.5"
"2022 AUG","68.3"
"2022 SEP","68.7"
"2022 OCT","67.0"
"2022 NOV","67.7"
"2022 DEC","67.7"
"2023 JAN","67.1"
"2023 FEB","64.7"
"2023 MAR","67.9"
"2023 APR","67.7"
"2023 MAY","64.9"
"2023 JUN","67.6"
"2023 JUL","66.5"
"2023 AUG","69.0"
"2023 SEP","65.3"
"2023 OCT","65.3"
"2023 NOV","65.6"
"2023 DEC","63.8"
"2024 JAN","63.1"
"2024 FEB","60.7"
"2024 MAR","63.3"
"2024 APR","59.8"
"2024 MAY","60.6"
"2024 JUN","59.5"
"2024 JUL","57.8"
"2024 AUG","59.8"
"2024 SEP","60.1"
"2024 OCT","56.0"
"2024 NOV","54.1"
"2024 DEC","55.2"
"2025 JAN","56.1"
"2025 FEB","56.7"
"2025 MAR","57.3"
"2025 APR","54.4"
"2025 MAY","57.1"
"2025 JUN","56.2"
"2025 JUL","54.1"
"2025 AUG","53.1"
"2025 SEP","53.0"
"2025 OCT","51.4"
"2025 NOV","54.9"
"2025 DEC","53.7"
"2026 JAN","51.1"
"2026 FEB","54.0"
"2026 MAR","54.2"
"2026 APR","55.4"
"2026 MAY","51.4"
"2026 JUN","54.0"
"2026 JUL","57.2"
