"Title","CPI INDEX 09.1.3.2 Accessories for information processing equipment 2015=100"
"CDID","L7GU"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","100.0"
"2016","85.8"
"2017","85.1"
"2018","84.8"
"2019","90.2"
"2020","99.0"
"2021","103.6"
"2022","97.3"
"2023","96.6"
"2024","94.8"
"2025","89.4"
"2015 Q1","111.5"
"2015 Q2","104.5"
"2015 Q3","93.1"
"2015 Q4","90.8"
"2016 Q1","86.1"
"2016 Q2","84.1"
"2016 Q3","85.6"
"2016 Q4","87.2"
"2017 Q1","86.7"
"2017 Q2","85.8"
"2017 Q3","85.6"
"2017 Q4","82.2"
"2018 Q1","81.6"
"2018 Q2","82.4"
"2018 Q3","83.8"
"2018 Q4","91.2"
"2019 Q1","90.7"
"2019 Q2","89.1"
"2019 Q3","90.7"
"2019 Q4","90.2"
"2020 Q1","90.2"
"2020 Q2","96.2"
"2020 Q3","104.3"
"2020 Q4","105.2"
"2021 Q1","104.6"
"2021 Q2","104.3"
"2021 Q3","102.7"
"2021 Q4","102.6"
"2022 Q1","99.4"
"2022 Q2","96.6"
"2022 Q3","96.0"
"2022 Q4","97.2"
"2023 Q1","98.6"
"2023 Q2","97.8"
"2023 Q3","96.5"
"2023 Q4","93.4"
"2024 Q1","95.2"
"2024 Q2","95.7"
"2024 Q3","96.7"
"2024 Q4","91.7"
"2025 Q1","91.9"
"2025 Q2","89.9"
"2025 Q3","87.9"
"2025 Q4","87.9"
"2026 Q1","85.0"
"2026 Q2","87.5"
"2015 JAN","112.9"
"2015 FEB","111.5"
"2015 MAR","110.1"
"2015 APR","110.4"
"2015 MAY","99.4"
"2015 JUN","103.8"
"2015 JUL","95.9"
"2015 AUG","92.2"
"2015 SEP","91.3"
"2015 OCT","97.8"
"2015 NOV","87.7"
"2015 DEC","87.0"
"2016 JAN","85.1"
"2016 FEB","87.2"
"2016 MAR","86.0"
"2016 APR","84.9"
"2016 MAY","81.4"
"2016 JUN","86.2"
"2016 JUL","85.7"
"2016 AUG","86.2"
"2016 SEP","84.9"
"2016 OCT","85.0"
"2016 NOV","89.3"
"2016 DEC","87.5"
"2017 JAN","85.3"
"2017 FEB","89.0"
"2017 MAR","85.8"
"2017 APR","86.7"
"2017 MAY","86.2"
"2017 JUN","84.4"
"2017 JUL","83.2"
"2017 AUG","88.6"
"2017 SEP","85.0"
"2017 OCT","85.0"
"2017 NOV","80.7"
"2017 DEC","80.9"
"2018 JAN","80.9"
"2018 FEB","83.0"
"2018 MAR","80.8"
"2018 APR","81.2"
"2018 MAY","84.8"
"2018 JUN","81.2"
"2018 JUL","82.7"
"2018 AUG","85.4"
"2018 SEP","83.5"
"2018 OCT","88.2"
"2018 NOV","93.6"
"2018 DEC","91.7"
"2019 JAN","87.2"
"2019 FEB","92.2"
"2019 MAR","92.8"
"2019 APR","89.7"
"2019 MAY","89.4"
"2019 JUN","88.1"
"2019 JUL","91.5"
"2019 AUG","93.4"
"2019 SEP","87.3"
"2019 OCT","91.4"
"2019 NOV","92.8"
"2019 DEC","86.3"
"2020 JAN","88.2"
"2020 FEB","89.8"
"2020 MAR","92.7"
"2020 APR","95.8"
"2020 MAY","95.8"
"2020 JUN","97.1"
"2020 JUL","103.3"
"2020 AUG","100.3"
"2020 SEP","109.4"
"2020 OCT","103.9"
"2020 NOV","106.2"
"2020 DEC","105.7"
"2021 JAN","102.7"
"2021 FEB","107.6"
"2021 MAR","103.5"
"2021 APR","103.5"
"2021 MAY","103.9"
"2021 JUN","105.5"
"2021 JUL","105.2"
"2021 AUG","100.3"
"2021 SEP","102.7"
"2021 OCT","102.2"
"2021 NOV","104.1"
"2021 DEC","101.5"
"2022 JAN","100.1"
"2022 FEB","98.7"
"2022 MAR","99.5"
"2022 APR","95.4"
"2022 MAY","99.8"
"2022 JUN","94.6"
"2022 JUL","91.4"
"2022 AUG","97.9"
"2022 SEP","98.6"
"2022 OCT","100.8"
"2022 NOV","97.7"
"2022 DEC","93.1"
"2023 JAN","96.2"
"2023 FEB","96.7"
"2023 MAR","102.9"
"2023 APR","101.0"
"2023 MAY","99.3"
"2023 JUN","93.2"
"2023 JUL","96.9"
"2023 AUG","98.4"
"2023 SEP","94.2"
"2023 OCT","96.0"
"2023 NOV","94.0"
"2023 DEC","90.2"
"2024 JAN","95.9"
"2024 FEB","92.1"
"2024 MAR","97.7"
"2024 APR","92.4"
"2024 MAY","98.3"
"2024 JUN","96.4"
"2024 JUL","94.9"
"2024 AUG","98.6"
"2024 SEP","96.5"
"2024 OCT","91.8"
"2024 NOV","92.0"
"2024 DEC","91.3"
"2025 JAN","93.3"
"2025 FEB","93.1"
"2025 MAR","89.4"
"2025 APR","92.0"
"2025 MAY","87.9"
"2025 JUN","89.8"
"2025 JUL","87.3"
"2025 AUG","88.6"
"2025 SEP","87.8"
"2025 OCT","88.3"
"2025 NOV","87.6"
"2025 DEC","87.8"
"2026 JAN","86.4"
"2026 FEB","86.1"
"2026 MAR","82.5"
"2026 APR","86.5"
"2026 MAY","86.6"
"2026 JUN","89.4"
"2026 JUL","85.3"
