"Title","CPI INDEX 09.1.4.9 Other recording media 2015=100"
"CDID","L7GY"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","100.0"
"2016","89.0"
"2017","101.8"
"2018","106.7"
"2019","96.8"
"2020","87.5"
"2021","83.5"
"2022","82.3"
"2023","77.2"
"2024","79.4"
"2025","79.0"
"2015 Q1","104.9"
"2015 Q2","101.0"
"2015 Q3","97.5"
"2015 Q4","96.6"
"2016 Q1","93.7"
"2016 Q2","88.8"
"2016 Q3","85.8"
"2016 Q4","87.9"
"2017 Q1","92.9"
"2017 Q2","99.2"
"2017 Q3","104.7"
"2017 Q4","110.6"
"2018 Q1","110.7"
"2018 Q2","109.3"
"2018 Q3","104.1"
"2018 Q4","102.7"
"2019 Q1","101.1"
"2019 Q2","96.1"
"2019 Q3","93.8"
"2019 Q4","96.3"
"2020 Q1","91.8"
"2020 Q2","85.2"
"2020 Q3","85.8"
"2020 Q4","87.1"
"2021 Q1","79.2"
"2021 Q2","84.8"
"2021 Q3","86.4"
"2021 Q4","83.6"
"2022 Q1","84.4"
"2022 Q2","82.5"
"2022 Q3","79.7"
"2022 Q4","82.5"
"2023 Q1","79.9"
"2023 Q2","79.4"
"2023 Q3","75.4"
"2023 Q4","74.2"
"2024 Q1","77.8"
"2024 Q2","79.4"
"2024 Q3","80.5"
"2024 Q4","80.0"
"2025 Q1","78.1"
"2025 Q2","78.6"
"2025 Q3","78.8"
"2025 Q4","80.4"
"2026 Q1","91.5"
"2026 Q2","113.7"
"2015 JAN","103.3"
"2015 FEB","106.2"
"2015 MAR","105.2"
"2015 APR","102.4"
"2015 MAY","99.5"
"2015 JUN","101.2"
"2015 JUL","98.5"
"2015 AUG","96.4"
"2015 SEP","97.5"
"2015 OCT","97.2"
"2015 NOV","94.9"
"2015 DEC","97.6"
"2016 JAN","95.6"
"2016 FEB","94.5"
"2016 MAR","91.0"
"2016 APR","89.3"
"2016 MAY","88.4"
"2016 JUN","88.8"
"2016 JUL","85.9"
"2016 AUG","86.0"
"2016 SEP","85.5"
"2016 OCT","88.2"
"2016 NOV","87.3"
"2016 DEC","88.1"
"2017 JAN","90.3"
"2017 FEB","92.6"
"2017 MAR","95.9"
"2017 APR","99.4"
"2017 MAY","100.0"
"2017 JUN","98.1"
"2017 JUL","101.1"
"2017 AUG","104.6"
"2017 SEP","108.3"
"2017 OCT","109.5"
"2017 NOV","113.0"
"2017 DEC","109.4"
"2018 JAN","109.9"
"2018 FEB","111.7"
"2018 MAR","110.5"
"2018 APR","109.7"
"2018 MAY","112.0"
"2018 JUN","106.3"
"2018 JUL","107.8"
"2018 AUG","102.8"
"2018 SEP","101.8"
"2018 OCT","102.7"
"2018 NOV","102.8"
"2018 DEC","102.6"
"2019 JAN","103.1"
"2019 FEB","101.4"
"2019 MAR","98.9"
"2019 APR","97.7"
"2019 MAY","95.4"
"2019 JUN","95.2"
"2019 JUL","95.6"
"2019 AUG","93.1"
"2019 SEP","92.7"
"2019 OCT","95.5"
"2019 NOV","96.7"
"2019 DEC","96.5"
"2020 JAN","91.3"
"2020 FEB","91.8"
"2020 MAR","92.4"
"2020 APR","85.4"
"2020 MAY","81.4"
"2020 JUN","88.7"
"2020 JUL","81.1"
"2020 AUG","87.1"
"2020 SEP","89.4"
"2020 OCT","89.5"
"2020 NOV","86.7"
"2020 DEC","84.9"
"2021 JAN","80.2"
"2021 FEB","78.2"
"2021 MAR","79.3"
"2021 APR","80.0"
"2021 MAY","85.9"
"2021 JUN","88.5"
"2021 JUL","86.2"
"2021 AUG","86.5"
"2021 SEP","86.5"
"2021 OCT","83.4"
"2021 NOV","82.3"
"2021 DEC","84.9"
"2022 JAN","83.7"
"2022 FEB","85.4"
"2022 MAR","84.2"
"2022 APR","82.3"
"2022 MAY","83.4"
"2022 JUN","81.8"
"2022 JUL","81.2"
"2022 AUG","78.5"
"2022 SEP","79.4"
"2022 OCT","80.1"
"2022 NOV","83.8"
"2022 DEC","83.7"
"2023 JAN","80.4"
"2023 FEB","79.6"
"2023 MAR","79.8"
"2023 APR","79.9"
"2023 MAY","80.0"
"2023 JUN","78.3"
"2023 JUL","76.8"
"2023 AUG","75.4"
"2023 SEP","73.9"
"2023 OCT","74.0"
"2023 NOV","73.0"
"2023 DEC","75.6"
"2024 JAN","78.1"
"2024 FEB","77.1"
"2024 MAR","78.3"
"2024 APR","78.8"
"2024 MAY","80.1"
"2024 JUN","79.4"
"2024 JUL","82.6"
"2024 AUG","77.5"
"2024 SEP","81.5"
"2024 OCT","81.6"
"2024 NOV","79.4"
"2024 DEC","79.1"
"2025 JAN","78.7"
"2025 FEB","76.4"
"2025 MAR","79.1"
"2025 APR","78.2"
"2025 MAY","79.0"
"2025 JUN","78.6"
"2025 JUL","78.7"
"2025 AUG","78.5"
"2025 SEP","79.3"
"2025 OCT","79.3"
"2025 NOV","80.6"
"2025 DEC","81.2"
"2026 JAN","83.9"
"2026 FEB","95.0"
"2026 MAR","95.5"
"2026 APR","109.4"
"2026 MAY","111.0"
"2026 JUN","120.7"
"2026 JUL","122.9"
