"Title","CPI INDEX 09.3.1.1 Games and hobbies 2015=100"
"CDID","L7H9"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2015","100.0"
"2016","96.4"
"2017","90.9"
"2018","94.8"
"2019","95.5"
"2020","96.9"
"2021","101.4"
"2022","102.0"
"2023","106.3"
"2024","104.1"
"2025","104.0"
"2015 Q1","102.4"
"2015 Q2","99.0"
"2015 Q3","96.7"
"2015 Q4","101.9"
"2016 Q1","96.3"
"2016 Q2","98.4"
"2016 Q3","94.1"
"2016 Q4","97.0"
"2017 Q1","92.6"
"2017 Q2","89.9"
"2017 Q3","86.3"
"2017 Q4","94.7"
"2018 Q1","94.7"
"2018 Q2","90.9"
"2018 Q3","93.7"
"2018 Q4","99.8"
"2019 Q1","98.1"
"2019 Q2","89.7"
"2019 Q3","95.7"
"2019 Q4","98.5"
"2020 Q1","95.8"
"2020 Q2","93.0"
"2020 Q3","95.2"
"2020 Q4","103.5"
"2021 Q1","106.5"
"2021 Q2","94.7"
"2021 Q3","97.4"
"2021 Q4","107.0"
"2022 Q1","105.3"
"2022 Q2","102.9"
"2022 Q3","99.6"
"2022 Q4","100.2"
"2023 Q1","105.8"
"2023 Q2","107.4"
"2023 Q3","105.7"
"2023 Q4","106.2"
"2024 Q1","106.4"
"2024 Q2","101.7"
"2024 Q3","100.8"
"2024 Q4","107.4"
"2025 Q1","106.3"
"2025 Q2","99.6"
"2025 Q3","103.4"
"2025 Q4","106.9"
"2026 Q1","101.7"
"2026 Q2","100.4"
"2015 JAN","101.8"
"2015 FEB","100.3"
"2015 MAR","105.0"
"2015 APR","99.3"
"2015 MAY","101.0"
"2015 JUN","96.8"
"2015 JUL","99.1"
"2015 AUG","96.9"
"2015 SEP","94.1"
"2015 OCT","103.7"
"2015 NOV","102.8"
"2015 DEC","99.4"
"2016 JAN","98.6"
"2016 FEB","91.7"
"2016 MAR","98.6"
"2016 APR","99.8"
"2016 MAY","97.5"
"2016 JUN","97.9"
"2016 JUL","95.8"
"2016 AUG","92.7"
"2016 SEP","93.7"
"2016 OCT","95.9"
"2016 NOV","99.9"
"2016 DEC","95.2"
"2017 JAN","92.5"
"2017 FEB","89.9"
"2017 MAR","95.6"
"2017 APR","87.1"
"2017 MAY","92.4"
"2017 JUN","90.2"
"2017 JUL","86.7"
"2017 AUG","82.2"
"2017 SEP","89.8"
"2017 OCT","92.5"
"2017 NOV","98.5"
"2017 DEC","93.0"
"2018 JAN","92.8"
"2018 FEB","92.6"
"2018 MAR","98.9"
"2018 APR","95.1"
"2018 MAY","93.0"
"2018 JUN","84.6"
"2018 JUL","91.8"
"2018 AUG","93.7"
"2018 SEP","95.6"
"2018 OCT","99.8"
"2018 NOV","99.6"
"2018 DEC","99.9"
"2019 JAN","97.2"
"2019 FEB","97.4"
"2019 MAR","99.6"
"2019 APR","90.7"
"2019 MAY","94.1"
"2019 JUN","84.2"
"2019 JUL","101.3"
"2019 AUG","91.1"
"2019 SEP","94.7"
"2019 OCT","97.0"
"2019 NOV","99.7"
"2019 DEC","99.0"
"2020 JAN","99.8"
"2020 FEB","92.1"
"2020 MAR","95.7"
"2020 APR","91.8"
"2020 MAY","91.1"
"2020 JUN","96.1"
"2020 JUL","101.5"
"2020 AUG","93.9"
"2020 SEP","90.1"
"2020 OCT","97.8"
"2020 NOV","105.3"
"2020 DEC","107.3"
"2021 JAN","109.6"
"2021 FEB","102.3"
"2021 MAR","107.5"
"2021 APR","91.7"
"2021 MAY","97.3"
"2021 JUN","95.0"
"2021 JUL","94.4"
"2021 AUG","100.0"
"2021 SEP","97.7"
"2021 OCT","100.1"
"2021 NOV","109.6"
"2021 DEC","111.3"
"2022 JAN","102.5"
"2022 FEB","103.8"
"2022 MAR","109.5"
"2022 APR","109.1"
"2022 MAY","102.5"
"2022 JUN","97.1"
"2022 JUL","100.3"
"2022 AUG","98.6"
"2022 SEP","99.8"
"2022 OCT","99.4"
"2022 NOV","103.0"
"2022 DEC","98.3"
"2023 JAN","103.9"
"2023 FEB","103.7"
"2023 MAR","109.6"
"2023 APR","108.9"
"2023 MAY","108.7"
"2023 JUN","104.6"
"2023 JUL","104.0"
"2023 AUG","103.1"
"2023 SEP","110.0"
"2023 OCT","110.6"
"2023 NOV","105.0"
"2023 DEC","102.9"
"2024 JAN","107.1"
"2024 FEB","104.0"
"2024 MAR","108.1"
"2024 APR","101.8"
"2024 MAY","105.5"
"2024 JUN","97.7"
"2024 JUL","99.5"
"2024 AUG","100.7"
"2024 SEP","102.1"
"2024 OCT","105.7"
"2024 NOV","112.1"
"2024 DEC","104.4"
"2025 JAN","112.4"
"2025 FEB","105.9"
"2025 MAR","100.5"
"2025 APR","100.2"
"2025 MAY","101.1"
"2025 JUN","97.6"
"2025 JUL","103.3"
"2025 AUG","100.2"
"2025 SEP","106.7"
"2025 OCT","108.9"
"2025 NOV","109.7"
"2025 DEC","102.1"
"2026 JAN","101.5"
"2026 FEB","98.3"
"2026 MAR","105.3"
"2026 APR","99.7"
"2026 MAY","100.2"
"2026 JUN","101.1"
