"Title","CPI INDEX 12.1.2.1 Electric appliances for personal care 2015=100"
"CDID","L7IO"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","100.0"
"2016","105.6"
"2017","108.1"
"2018","113.2"
"2019","111.4"
"2020","114.3"
"2021","116.6"
"2022","127.7"
"2023","136.9"
"2024","137.7"
"2025","138.0"
"2015 Q1","97.7"
"2015 Q2","98.2"
"2015 Q3","104.8"
"2015 Q4","99.4"
"2016 Q1","107.8"
"2016 Q2","105.2"
"2016 Q3","107.0"
"2016 Q4","102.3"
"2017 Q1","108.7"
"2017 Q2","108.2"
"2017 Q3","108.7"
"2017 Q4","106.8"
"2018 Q1","112.8"
"2018 Q2","112.4"
"2018 Q3","114.3"
"2018 Q4","113.5"
"2019 Q1","111.6"
"2019 Q2","111.7"
"2019 Q3","112.5"
"2019 Q4","109.7"
"2020 Q1","111.1"
"2020 Q2","117.0"
"2020 Q3","114.8"
"2020 Q4","114.3"
"2021 Q1","116.3"
"2021 Q2","116.4"
"2021 Q3","115.0"
"2021 Q4","118.8"
"2022 Q1","122.5"
"2022 Q2","125.8"
"2022 Q3","129.1"
"2022 Q4","133.5"
"2023 Q1","138.9"
"2023 Q2","141.4"
"2023 Q3","133.2"
"2023 Q4","134.1"
"2024 Q1","137.1"
"2024 Q2","138.2"
"2024 Q3","140.6"
"2024 Q4","135.1"
"2025 Q1","137.2"
"2025 Q2","136.5"
"2025 Q3","141.3"
"2025 Q4","137.1"
"2026 Q1","135.1"
"2026 Q2","139.5"
"2015 JAN","95.2"
"2015 FEB","98.7"
"2015 MAR","99.1"
"2015 APR","97.1"
"2015 MAY","99.4"
"2015 JUN","98.0"
"2015 JUL","99.4"
"2015 AUG","110.7"
"2015 SEP","104.2"
"2015 OCT","108.6"
"2015 NOV","96.7"
"2015 DEC","92.8"
"2016 JAN","107.4"
"2016 FEB","106.0"
"2016 MAR","110.1"
"2016 APR","102.6"
"2016 MAY","106.1"
"2016 JUN","107.1"
"2016 JUL","105.5"
"2016 AUG","106.9"
"2016 SEP","108.5"
"2016 OCT","109.5"
"2016 NOV","102.2"
"2016 DEC","95.1"
"2017 JAN","108.1"
"2017 FEB","107.0"
"2017 MAR","110.9"
"2017 APR","105.8"
"2017 MAY","112.1"
"2017 JUN","106.7"
"2017 JUL","106.9"
"2017 AUG","108.7"
"2017 SEP","110.4"
"2017 OCT","114.1"
"2017 NOV","104.8"
"2017 DEC","101.5"
"2018 JAN","114.7"
"2018 FEB","112.7"
"2018 MAR","111.0"
"2018 APR","113.0"
"2018 MAY","113.3"
"2018 JUN","110.8"
"2018 JUL","111.2"
"2018 AUG","116.1"
"2018 SEP","115.7"
"2018 OCT","121.6"
"2018 NOV","112.8"
"2018 DEC","106.1"
"2019 JAN","110.2"
"2019 FEB","109.4"
"2019 MAR","115.1"
"2019 APR","111.2"
"2019 MAY","112.8"
"2019 JUN","111.1"
"2019 JUL","112.2"
"2019 AUG","113.8"
"2019 SEP","111.6"
"2019 OCT","115.3"
"2019 NOV","107.5"
"2019 DEC","106.4"
"2020 JAN","107.0"
"2020 FEB","110.8"
"2020 MAR","115.4"
"2020 APR","118.0"
"2020 MAY","116.3"
"2020 JUN","116.6"
"2020 JUL","115.7"
"2020 AUG","116.2"
"2020 SEP","112.7"
"2020 OCT","117.9"
"2020 NOV","117.0"
"2020 DEC","107.8"
"2021 JAN","111.8"
"2021 FEB","117.3"
"2021 MAR","119.9"
"2021 APR","116.4"
"2021 MAY","114.3"
"2021 JUN","118.6"
"2021 JUL","114.6"
"2021 AUG","117.7"
"2021 SEP","112.8"
"2021 OCT","122.1"
"2021 NOV","120.4"
"2021 DEC","113.8"
"2022 JAN","124.0"
"2022 FEB","119.0"
"2022 MAR","124.5"
"2022 APR","127.1"
"2022 MAY","123.7"
"2022 JUN","126.5"
"2022 JUL","128.6"
"2022 AUG","131.5"
"2022 SEP","127.2"
"2022 OCT","139.0"
"2022 NOV","138.9"
"2022 DEC","122.6"
"2023 JAN","137.7"
"2023 FEB","142.5"
"2023 MAR","136.6"
"2023 APR","144.1"
"2023 MAY","144.4"
"2023 JUN","135.9"
"2023 JUL","134.3"
"2023 AUG","130.7"
"2023 SEP","134.6"
"2023 OCT","138.9"
"2023 NOV","132.9"
"2023 DEC","130.6"
"2024 JAN","135.3"
"2024 FEB","142.1"
"2024 MAR","134.0"
"2024 APR","143.4"
"2024 MAY","139.6"
"2024 JUN","131.6"
"2024 JUL","141.6"
"2024 AUG","136.8"
"2024 SEP","143.3"
"2024 OCT","140.2"
"2024 NOV","132.7"
"2024 DEC","132.3"
"2025 JAN","137.6"
"2025 FEB","134.8"
"2025 MAR","139.3"
"2025 APR","135.6"
"2025 MAY","140.2"
"2025 JUN","133.8"
"2025 JUL","141.6"
"2025 AUG","139.5"
"2025 SEP","142.7"
"2025 OCT","139.4"
"2025 NOV","133.8"
"2025 DEC","138.1"
"2026 JAN","129.9"
"2026 FEB","142.3"
"2026 MAR","133.2"
"2026 APR","146.5"
"2026 MAY","137.1"
"2026 JUN","135.0"
"2026 JUL","137.6"
