cdid,title,dataset,release_date,retrieved_at_utc,source_url,sha256,bytes
CJYD,"CPI WEIGHTS 09.1.2 : Photographic, cinematographic and optical equipment",MM23,22-07-2026,2026-07-29T20:32:05.567803+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fcjyd%2Fmm23,df523a3a05f2584e3470de1c336d8e3e787a404892e0473529280f2c4df3e52b,864
D7EO,"CPI INDEX 09.1.2 : PHOTOGRAPHIC, CINEMATOGRAPHIC & OPTICAL EQUIPMENT 2015=100",MM23,22-07-2026,2026-07-29T20:32:05.638275+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fd7eo%2Fmm23,f0de8aae3af0a8b885c00b14b5fdbc81209157ac4da333c07ccea2d6806cc2da,12476
L7GG,CPI INDEX 08.2.0.2 Mobile telephone equipment 2015=100,MM23,22-07-2026,2026-07-29T20:32:05.674538+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gg%2Fmm23,353bd2c06af8bc43b1cef247f8822eacf191070f751854c9c81b80297bcb155a,3682
L7GM,"CPI INDEX 09.1.1.1 Equipment for the reception, recording and reproduction of sound 2015=100",MM23,22-07-2026,2026-07-29T20:32:05.991894+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gm%2Fmm23,40615c825d36c36573a3c71c613acb04d1996ff6265ca11155f39b5ec5b4a6c6,3779
L7GP,"CPI INDEX 09.1.1.2 Equipment for the reception, recording and reproduction of sound and vision 2015=100",MM23,22-07-2026,2026-07-29T20:32:06.053911+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gp%2Fmm23,b2191b579bba52685fe44d4cf32b7629eecd5074440237d6929a5a0d88662f59,3697
L7GQ,CPI INDEX 09.1.1.3 Portable sound and vision devices 2015=100,MM23,22-07-2026,2026-07-29T20:32:06.120847+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gq%2Fmm23,f22fbc2f0348045431deb414214254e4a7343ab0a8db7d5351aeb51a83dea38b,3747
L7GR,"CPI INDEX 09.1.1.9 Other equipment for the reception, recording and reproduction of sound and picture 2015=100",MM23,22-07-2026,2026-07-29T20:32:32.311639+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gr%2Fmm23,5993cbf1dde6f7cbf9adab12a0dc8f68d03b8cb19a52744b9f0ccb59cb013bb9,3704
L7GT,CPI INDEX 09.1.3.1 Personal computers 2015=100,MM23,22-07-2026,2026-07-29T20:32:33.384864+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gt%2Fmm23,e78d728b271dfd105e9f1a039e85b68b6a91b8d96b2d21f555ec7922d98d16da,3628
L7GU,CPI INDEX 09.1.3.2 Accessories for information processing equipment 2015=100,MM23,22-07-2026,2026-07-29T20:32:34.455465+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gu%2Fmm23,96a4e3e86b4ffbed42661a26ed9a78b3792d4b627102fc9b2870a17a866be603,3687
L7GY,CPI INDEX 09.1.4.9 Other recording media 2015=100,MM23,22-07-2026,2026-07-29T20:32:35.520639+00:00,https://www.ons.gov.uk/generator?format=csv&uri=%2Feconomy%2Finflationandpriceindices%2Ftimeseries%2Fl7gy%2Fmm23,7d7754b79bc093c43a9add6e2c0927257898380d2d07000e63b57aa4d9e46249,3665
