"Title","PPI INDEX IMPORT - C261 Electronic components and boards 2015=100"
"CDID","EZSQ"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2008","97.3"
"2009","95.7"
"2010","92.9"
"2011","91.4"
"2012","93.9"
"2013","98.6"
"2014","97.7"
"2015","100.0"
"2016","105.9"
"2017","113.9"
"2018","112.9"
"2019","115.3"
"2020","115.9"
"2021","114.5"
"2022","125.8"
"2023","131.2"
"2024","128.0"
"2025","125.1"
"2008 Q4","97.3"
"2009 Q1","98.7"
"2009 Q2","94.8"
"2009 Q3","93.4"
"2009 Q4","95.8"
"2010 Q1","95.3"
"2010 Q2","94.1"
"2010 Q3","91.6"
"2010 Q4","90.5"
"2011 Q1","89.8"
"2011 Q2","91.3"
"2011 Q3","92.2"
"2011 Q4","92.5"
"2012 Q1","92.3"
"2012 Q2","90.8"
"2012 Q3","96.3"
"2012 Q4","96.1"
"2013 Q1","99.5"
"2013 Q2","99.1"
"2013 Q3","99.0"
"2013 Q4","96.8"
"2014 Q1","97.5"
"2014 Q2","97.2"
"2014 Q3","97.3"
"2014 Q4","98.9"
"2015 Q1","99.9"
"2015 Q2","99.8"
"2015 Q3","99.7"
"2015 Q4","100.6"
"2016 Q1","103.0"
"2016 Q2","102.8"
"2016 Q3","107.4"
"2016 Q4","110.4"
"2017 Q1","114.3"
"2017 Q2","115.1"
"2017 Q3","113.6"
"2017 Q4","112.5"
"2018 Q1","110.1"
"2018 Q2","111.5"
"2018 Q3","114.7"
"2018 Q4","115.3"
"2019 Q1","114.3"
"2019 Q2","114.8"
"2019 Q3","117.7"
"2019 Q4","114.5"
"2020 Q1","115.0"
"2020 Q2","117.1"
"2020 Q3","115.6"
"2020 Q4","116.1"
"2021 Q1","113.4"
"2021 Q2","113.0"
"2021 Q3","114.5"
"2021 Q4","117.0"
"2022 Q1","118.4"
"2022 Q2","123.2"
"2022 Q3","128.6"
"2022 Q4","133.2"
"2023 Q1","133.2"
"2023 Q2","131.0"
"2023 Q3","129.7"
"2023 Q4","130.8"
"2024 Q1","129.1"
"2024 Q2","129.6"
"2024 Q3","126.7"
"2024 Q4","126.5"
"2025 Q1","128.1"
"2025 Q2","124.0"
"2025 Q3","123.8"
"2025 Q4","124.6"
"2026 Q1","124.0"
"2026 Q2","124.6"
"2008 DEC","97.3"
"2009 JAN","98.9"
"2009 FEB","97.9"
"2009 MAR","99.5"
"2009 APR","96.6"
"2009 MAY","95.5"
"2009 JUN","92.3"
"2009 JUL","92.9"
"2009 AUG","92.2"
"2009 SEP","95.0"
"2009 OCT","96.5"
"2009 NOV","95.1"
"2009 DEC","95.9"
"2010 JAN","94.2"
"2010 FEB","94.6"
"2010 MAR","97.2"
"2010 APR","94.6"
"2010 MAY","93.8"
"2010 JUN","93.8"
"2010 JUL","93.6"
"2010 AUG","90.6"
"2010 SEP","90.7"
"2010 OCT","91.2"
"2010 NOV","89.9"
"2010 DEC","90.4"
"2011 JAN","89.9"
"2011 FEB","88.5"
"2011 MAR","90.9"
"2011 APR","90.7"
"2011 MAY","91.0"
"2011 JUN","92.1"
"2011 JUL","92.5"
"2011 AUG","91.7"
"2011 SEP","92.4"
"2011 OCT","92.6"
"2011 NOV","91.9"
"2011 DEC","93.0"
"2012 JAN","92.7"
"2012 FEB","92.1"
"2012 MAR","92.0"
"2012 APR","91.0"
"2012 MAY","90.1"
"2012 JUN","91.4"
"2012 JUL","97.0"
"2012 AUG","96.5"
"2012 SEP","95.4"
"2012 OCT","95.9"
"2012 NOV","96.3"
