"Title","PPI INDEX IMPORT - C262 Computers and peripheral equipment 2015=100"
"CDID","EZSR"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-10-2025"
"Next release","19 November 2025"
"Important notes",
"2008","79.9"
"2009","79.1"
"2010","81.7"
"2011","78.7"
"2012","80.9"
"2013","76.8"
"2014","88.7"
"2015","100.0"
"2016","105.9"
"2017","109.9"
"2018","109.0"
"2019","110.7"
"2020","110.6"
"2021","107.0"
"2022","113.1"
"2023","114.1"
"2024","116.1"
"2008 Q4","79.9"
"2009 Q1","79.7"
"2009 Q2","80.5"
"2009 Q3","78.2"
"2009 Q4","78.3"
"2010 Q1","80.0"
"2010 Q2","83.0"
"2010 Q3","82.4"
"2010 Q4","81.5"
"2011 Q1","80.0"
"2011 Q2","78.0"
"2011 Q3","78.8"
"2011 Q4","77.8"
"2012 Q1","82.4"
"2012 Q2","82.5"
"2012 Q3","81.0"
"2012 Q4","77.7"
"2013 Q1","76.7"
"2013 Q2","76.9"
"2013 Q3","76.8"
"2013 Q4","76.9"
"2014 Q1","75.7"
"2014 Q2","82.9"
"2014 Q3","97.3"
"2014 Q4","98.7"
"2015 Q1","100.9"
"2015 Q2","100.0"
"2015 Q3","99.2"
"2015 Q4","99.9"
"2016 Q1","102.4"
"2016 Q2","102.6"
"2016 Q3","107.9"
"2016 Q4","110.6"
"2017 Q1","111.6"
"2017 Q2","110.0"
"2017 Q3","109.3"
"2017 Q4","108.7"
"2018 Q1","107.0"
"2018 Q2","108.0"
"2018 Q3","110.4"
"2018 Q4","110.8"
"2019 Q1","108.9"
"2019 Q2","109.9"
"2019 Q3","113.7"
"2019 Q4","110.2"
"2020 Q1","110.8"
"2020 Q2","111.5"
"2020 Q3","110.3"
"2020 Q4","109.9"
"2021 Q1","107.7"
"2021 Q2","106.8"
"2021 Q3","106.5"
"2021 Q4","107.2"
"2022 Q1","107.2"
"2022 Q2","110.4"
"2022 Q3","115.7"
"2022 Q4","119.2"
"2023 Q1","118.3"
"2023 Q2","112.3"
"2023 Q3","112.0"
"2023 Q4","113.6"
"2024 Q1","115.0"
"2024 Q2","115.8"
"2024 Q3","115.8"
"2024 Q4","118.0"
"2025 Q1","118.2"
"2025 Q2","116.6"
"2025 Q3","116.5"
"2008 DEC","79.9"
"2009 JAN","79.3"
"2009 FEB","79.4"
"2009 MAR","80.2"
"2009 APR","82.4"
"2009 MAY","81.3"
"2009 JUN","77.6"
"2009 JUL","78.2"
"2009 AUG","77.8"
"2009 SEP","78.6"
"2009 OCT","78.6"
"2009 NOV","77.4"
"2009 DEC","78.7"
"2010 JAN","78.6"
"2010 FEB","80.1"
"2010 MAR","81.2"
"2010 APR","80.7"
"2010 MAY","82.9"
"2010 JUN","85.3"
"2010 JUL","83.2"
"2010 AUG","81.8"
"2010 SEP","82.1"
"2010 OCT","81.1"
"2010 NOV","81.3"
"2010 DEC","82.2"
"2011 JAN","81.5"
"2011 FEB","80.5"
"2011 MAR","78.1"
"2011 APR","77.7"
"2011 MAY","78.0"
"2011 JUN","78.2"
"2011 JUL","78.8"
"2011 AUG","78.2"
"2011 SEP","79.4"
"2011 OCT","77.0"
"2011 NOV","76.9"
"2011 DEC","79.7"
"2012 JAN","82.4"
"2012 FEB","82.4"
"2012 MAR","82.5"
"2012 APR","82.5"
"2012 MAY","82.5"
"2012 JUN","82.7"
"2012 JUL","82.6"
"2012 AUG","82.6"
"2012 SEP","77.6"
"2012 OCT","78.0"
"2012 NOV","78.0"
"2012 DEC","77.0"
"2013 JAN","76.5"
"2013 FEB","76.6"
"2013 MAR","76.8"
"2013 APR","76.7"
"2013 MAY","76.9"
"2013 JUN","77.0"
"2013 JUL","76.9"
"2013 AUG","76.8"
"2013 SEP","76.8"
"2013 OCT","76.7"
"2013 NOV","77.0"
"2013 DEC","77.0"
"2014 JAN","75.8"
"2014 FEB","75.6"
"2014 MAR","75.7"
"2014 APR","75.9"
"2014 MAY","75.7"
"2014 JUN","97.2"
"2014 JUL","97.0"
"2014 AUG","97.0"
"2014 SEP","97.9"
"2014 OCT","98.3"
"2014 NOV","98.8"
"2014 DEC","99.1"
"2015 JAN","101.1"
"2015 FEB","100.5"
"2015 MAR","101.2"
"2015 APR","101.0"
"2015 MAY","99.7"
"2015 JUN","99.3"
"2015 JUL","98.8"
"2015 AUG","99.0"
"2015 SEP","99.7"
"2015 OCT","99.6"
"2015 NOV","99.7"
"2015 DEC","100.5"
"2016 JAN","101.8"
"2016 FEB","102.7"
"2016 MAR","102.7"
"2016 APR","102.8"
"2016 MAY","102.0"
"2016 JUN","103.1"
"2016 JUL","107.6"
"2016 AUG","108.0"
"2016 SEP","108.1"
"2016 OCT","111.4"
"2016 NOV","110.3"
"2016 DEC","110.1"
"2017 JAN","111.7"
"2017 FEB","111.0"
"2017 MAR","112.0"
"2017 APR","110.4"
"2017 MAY","109.7"
"2017 JUN","110.0"
"2017 JUL","109.3"
"2017 AUG","109.9"
"2017 SEP","108.7"
"2017 OCT","109.0"
"2017 NOV","108.9"
"2017 DEC","108.1"
"2018 JAN","107.5"
"2018 FEB","106.7"
"2018 MAR","106.7"
"2018 APR","106.5"
"2018 MAY","108.5"
"2018 JUN","109.1"
"2018 JUL","109.7"
"2018 AUG","111.0"
"2018 SEP","110.4"
"2018 OCT","110.5"
"2018 NOV","110.4"
"2018 DEC","111.4"
"2019 JAN","109.7"
"2019 FEB","109.0"
"2019 MAR","108.0"
"2019 APR","108.7"
"2019 MAY","109.4"
"2019 JUN","111.5"
"2019 JUL","113.1"
"2019 AUG","114.6"
"2019 SEP","113.3"
"2019 OCT","111.9"
"2019 NOV","109.8"
"2019 DEC","108.9"
"2020 JAN","109.1"
"2020 FEB","110.2"
"2020 MAR","113.1"
"2020 APR","111.2"
"2020 MAY","112.0"
"2020 JUN","111.3"
"2020 JUL","111.0"
"2020 AUG","109.3"
"2020 SEP","110.8"
"2020 OCT","110.6"
"2020 NOV","109.6"
"2020 DEC","109.5"
"2021 JAN","108.6"
"2021 FEB","107.4"
"2021 MAR","107.1"
"2021 APR","107.3"
"2021 MAY","107.0"
"2021 JUN","106.1"
"2021 JUL","106.4"
"2021 AUG","106.5"
"2021 SEP","106.6"
"2021 OCT","106.7"
"2021 NOV","107.2"
"2021 DEC","107.5"
"2022 JAN","106.7"
"2022 FEB","106.9"
"2022 MAR","108.1"
"2022 APR","109.0"
"2022 MAY","110.8"
"2022 JUN","111.5"
"2022 JUL","113.0"
"2022 AUG","113.2"
"2022 SEP","120.9"
"2022 OCT","121.0"
"2022 NOV","119.0"
"2022 DEC","117.6"
"2023 JAN","118.0"
"2023 FEB","118.6"
"2023 MAR","118.4"
"2023 APR","112.9"
"2023 MAY","112.0"
"2023 JUN","112.1"
"2023 JUL","111.6"
"2023 AUG","111.9"
"2023 SEP","112.6"
"2023 OCT","113.1"
"2023 NOV","112.7"
"2023 DEC","115.1"
"2024 JAN","114.9"
"2024 FEB","115.1"
"2024 MAR","114.9"
"2024 APR","115.6"
"2024 MAY","115.3"
"2024 JUN","116.5"
"2024 JUL","116.1"
"2024 AUG","116.0"
"2024 SEP","115.2"
"2024 OCT","117.5"
"2024 NOV","118.2"
"2024 DEC","118.4"
"2025 JAN","119.2"
"2025 FEB","118.1"
"2025 MAR","117.3"
"2025 APR","117.0"
"2025 MAY","116.8"
"2025 JUN","116.2"
"2025 JUL","116.5"
"2025 AUG","116.7"
"2025 SEP","116.4"
