"Title","PPI INDEX IMPORT NEU - C261 Electronic components and boards 2015=100"
"CDID","EZXC"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2008","102.3"
"2009","101.3"
"2010","98.9"
"2011","96.3"
"2012","97.7"
"2013","97.3"
"2014","92.8"
"2015","100.0"
"2016","99.9"
"2017","103.0"
"2018","100.1"
"2019","104.1"
"2020","104.0"
"2021","97.6"
"2022","107.1"
"2023","105.8"
"2024","100.3"
"2025","95.8"
"2008 Q4","102.3"
"2009 Q1","105.0"
"2009 Q2","99.9"
"2009 Q3","98.7"
"2009 Q4","101.6"
"2010 Q1","101.7"
"2010 Q2","101.2"
"2010 Q3","98.0"
"2010 Q4","94.8"
"2011 Q1","94.0"
"2011 Q2","95.3"
"2011 Q3","97.1"
"2011 Q4","98.9"
"2012 Q1","99.6"
"2012 Q2","97.8"
"2012 Q3","97.4"
"2012 Q4","96.0"
"2013 Q1","98.1"
"2013 Q2","98.9"
"2013 Q3","97.8"
"2013 Q4","94.3"
"2014 Q1","92.3"
"2014 Q2","90.8"
"2014 Q3","91.6"
"2014 Q4","96.6"
"2015 Q1","100.8"
"2015 Q2","99.7"
"2015 Q3","98.7"
"2015 Q4","100.7"
"2016 Q1","95.7"
"2016 Q2","94.4"
"2016 Q3","102.4"
"2016 Q4","107.1"
"2017 Q1","107.4"
"2017 Q2","104.1"
"2017 Q3","101.2"
"2017 Q4","99.0"
"2018 Q1","95.6"
"2018 Q2","98.4"
"2018 Q3","102.6"
"2018 Q4","103.9"
"2019 Q1","102.3"
"2019 Q2","103.3"
"2019 Q3","107.6"
"2019 Q4","103.3"
"2020 Q1","103.9"
"2020 Q2","107.1"
"2020 Q3","103.6"
"2020 Q4","101.5"
"2021 Q1","97.5"
"2021 Q2","96.3"
"2021 Q3","97.3"
"2021 Q4","99.2"
"2022 Q1","100.1"
"2022 Q2","105.5"
"2022 Q3","111.6"
"2022 Q4","111.2"
"2023 Q1","109.2"
"2023 Q2","105.3"
"2023 Q3","103.6"
"2023 Q4","105.0"
"2024 Q1","102.3"
"2024 Q2","102.6"
"2024 Q3","98.2"
"2024 Q4","98.2"
"2025 Q1","99.5"
"2025 Q2","94.4"
"2025 Q3","94.0"
"2025 Q4","95.2"
"2026 Q1","94.7"
"2026 Q2","95.7"
"2008 DEC","102.3"
"2009 JAN","104.9"
"2009 FEB","104.7"
"2009 MAR","105.5"
"2009 APR","102.1"
"2009 MAY","100.6"
"2009 JUN","97.1"
"2009 JUL","97.9"
"2009 AUG","97.6"
"2009 SEP","100.8"
"2009 OCT","102.0"
"2009 NOV","100.6"
"2009 DEC","102.1"
"2010 JAN","100.1"
"2010 FEB","101.0"
"2010 MAR","104.0"
"2010 APR","101.1"
"2010 MAY","100.2"
"2010 JUN","102.2"
"2010 JUL","101.5"
"2010 AUG","96.7"
"2010 SEP","95.9"
"2010 OCT","95.0"
"2010 NOV","94.1"
"2010 DEC","95.2"
"2011 JAN","94.5"
"2011 FEB","92.1"
"2011 MAR","95.4"
"2011 APR","94.2"
"2011 MAY","95.1"
"2011 JUN","96.5"
"2011 JUL","97.2"
"2011 AUG","96.5"
"2011 SEP","97.7"
"2011 OCT","98.2"
"2011 NOV","97.9"
"2011 DEC","100.5"
"2012 JAN","100.7"
"2012 FEB","99.1"
"2012 MAR","99.0"
"2012 APR","98.0"
"2012 MAY","96.7"
"2012 JUN","98.9"
"2012 JUL","98.6"
"2012 AUG","97.9"
"2012 SEP","95.6"
"2012 OCT","95.9"
"2012 NOV","96.6"
"2012 DEC","95.4"
"2013 JAN","95.5"
"2013 FEB","98.1"
"2013 MAR","100.6"
"2013 APR","99.2"
"2013 MAY","99.2"
"2013 JUN","98.2"
"2013 JUL","99.8"
"2013 AUG","97.8"
"2013 SEP","95.8"
"2013 OCT","94.8"
"2013 NOV","94.7"
"2013 DEC","93.3"
"2014 JAN","92.8"
"2014 FEB","92.2"
"2014 MAR","91.9"
"2014 APR","91.3"
"2014 MAY","90.8"
"2014 JUN","90.3"
"2014 JUL","89.5"
