"Title","PPI INDEX IMPORT NEU - C262 Computers and peripheral equipment 2015=100"
"CDID","EZXD"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-10-2025"
"Next release","19 November 2025"
"Important notes",
"2008","55.1"
"2009","60.0"
"2010","68.0"
"2011","66.1"
"2012","70.6"
"2013","69.6"
"2014","85.9"
"2015","100.0"
"2016","108.2"
"2017","113.3"
"2018","112.7"
"2019","115.1"
"2020","116.1"
"2021","111.7"
"2022","121.4"
"2023","130.1"
"2024","127.8"
"2008 Q4","55.1"
"2009 Q1","53.6"
"2009 Q2","62.0"
"2009 Q3","62.1"
"2009 Q4","62.4"
"2010 Q1","64.1"
"2010 Q2","68.5"
"2010 Q3","69.9"
"2010 Q4","69.5"
"2011 Q1","67.5"
"2011 Q2","64.6"
"2011 Q3","65.4"
"2011 Q4","67.0"
"2012 Q1","70.5"
"2012 Q2","70.6"
"2012 Q3","70.6"
"2012 Q4","70.6"
"2013 Q1","69.3"
"2013 Q2","69.6"
"2013 Q3","69.6"
"2013 Q4","69.9"
"2014 Q1","69.8"
"2014 Q2","78.7"
"2014 Q3","96.5"
"2014 Q4","98.3"
"2015 Q1","101.3"
"2015 Q2","100.0"
"2015 Q3","98.9"
"2015 Q4","99.9"
"2016 Q1","103.1"
"2016 Q2","103.7"
"2016 Q3","111.2"
"2016 Q4","114.9"
"2017 Q1","115.4"
"2017 Q2","113.2"
"2017 Q3","112.4"
"2017 Q4","112.0"
"2018 Q1","109.4"
"2018 Q2","111.3"
"2018 Q3","114.9"
"2018 Q4","115.2"
"2019 Q1","112.4"
"2019 Q2","113.7"
"2019 Q3","119.1"
"2019 Q4","115.2"
"2020 Q1","116.3"
"2020 Q2","117.2"
"2020 Q3","115.7"
"2020 Q4","115.2"
"2021 Q1","112.2"
"2021 Q2","111.0"
"2021 Q3","111.1"
"2021 Q4","112.5"
"2022 Q1","113.2"
"2022 Q2","117.0"
"2022 Q3","124.6"
"2022 Q4","131.0"
"2023 Q1","131.6"
"2023 Q2","129.7"
"2023 Q3","128.9"
"2023 Q4","130.1"
"2024 Q1","127.8"
"2024 Q2","129.4"
"2024 Q3","127.7"
"2024 Q4","126.3"
"2025 Q1","127.6"
"2025 Q2","125.1"
"2025 Q3","126.1"
"2008 DEC","55.1"
"2009 JAN","53.2"
"2009 FEB","53.3"
"2009 MAR","54.2"
"2009 APR","60.0"
"2009 MAY","64.6"
"2009 JUN","61.3"
"2009 JUL","62.4"
