"Title","PPI INDEX IMPORT - C26 Computer, electronic and optical products 2015=100"
"CDID","G68Q"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2008","92.7"
"2009","91.5"
"2010","89.7"
"2011","86.2"
"2012","87.2"
"2013","87.0"
"2014","93.7"
"2015","100.0"
"2016","107.7"
"2017","114.0"
"2018","112.8"
"2019","115.2"
"2020","116.1"
"2021","112.6"
"2022","121.0"
"2023","128.3"
"2024","127.7"
"2025","127.2"
"2008 Q4","92.7"
"2009 Q1","93.9"
"2009 Q2","93.1"
"2009 Q3","89.9"
"2009 Q4","89.2"
"2010 Q1","89.6"
"2010 Q2","90.9"
"2010 Q3","89.6"
"2010 Q4","88.6"
"2011 Q1","85.8"
"2011 Q2","85.9"
"2011 Q3","86.4"
"2011 Q4","86.7"
"2012 Q1","87.5"
"2012 Q2","87.3"
"2012 Q3","87.5"
"2012 Q4","86.4"
"2013 Q1","87.6"
"2013 Q2","87.7"
"2013 Q3","87.0"
"2013 Q4","85.6"
"2014 Q1","89.0"
"2014 Q2","90.9"
"2014 Q3","96.6"
"2014 Q4","98.4"
"2015 Q1","100.3"
"2015 Q2","100.0"
"2015 Q3","99.4"
"2015 Q4","100.4"
"2016 Q1","103.7"
"2016 Q2","104.0"
"2016 Q3","109.9"
"2016 Q4","113.1"
"2017 Q1","115.6"
"2017 Q2","114.3"
"2017 Q3","113.3"
"2017 Q4","112.6"
"2018 Q1","110.5"
"2018 Q2","111.5"
"2018 Q3","114.3"
"2018 Q4","115.0"
"2019 Q1","112.9"
"2019 Q2","114.1"
"2019 Q3","118.7"
"2019 Q4","115.2"
"2020 Q1","115.9"
"2020 Q2","116.5"
"2020 Q3","115.9"
"2020 Q4","115.9"
"2021 Q1","113.3"
"2021 Q2","112.2"
"2021 Q3","112.1"
"2021 Q4","112.9"
"2022 Q1","113.5"
"2022 Q2","116.7"
"2022 Q3","124.1"
"2022 Q4","129.7"
"2023 Q1","130.3"
"2023 Q2","127.5"
"2023 Q3","127.0"
"2023 Q4","128.2"
"2024 Q1","127.3"
"2024 Q2","128.6"
"2024 Q3","127.6"
"2024 Q4","127.5"
"2025 Q1","128.2"
"2025 Q2","126.3"
"2025 Q3","127.0"
"2025 Q4","127.4"
"2026 Q1","126.4"
"2026 Q2","126.4"
"2008 DEC","92.7"
"2009 JAN","93.3"
"2009 FEB","93.1"
"2009 MAR","95.3"
"2009 APR","94.9"
"2009 MAY","93.5"
"2009 JUN","90.7"
"2009 JUL","89.8"
"2009 AUG","89.4"
"2009 SEP","90.6"
"2009 OCT","89.6"
"2009 NOV","88.5"
"2009 DEC","89.4"
"2010 JAN","88.9"
"2010 FEB","89.3"
