"Title","PPI INDEX IMPORT NEU - C26 Computer, electronic and optical products 2015=100"
"CDID","G6PT"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1996","153.9"
"1997","135.3"
"1998","117.2"
"1999","116.5"
"2000","117.6"
"2001","112.7"
"2002","95.8"
"2003","85.0"
"2004","79.1"
"2005","77.3"
"2006","75.5"
"2007","70.7"
"2008","75.4"
"2009","85.6"
"2010","87.8"
"2011","84.3"
"2012","86.9"
"2013","86.4"
"2014","91.5"
"2015","100.0"
"2016","107.9"
"2017","113.0"
"2018","112.7"
"2019","115.8"
"2020","117.2"
"2021","112.2"
"2022","121.9"
"2023","131.4"
"2024","129.1"
"2025","127.6"
"1996 Q1","160.8"
"1996 Q2","160.5"
"1996 Q3","150.3"
"1996 Q4","144.3"
"1997 Q1","140.1"
"1997 Q2","136.2"
"1997 Q3","134.6"
"1997 Q4","130.1"
"1998 Q1","121.6"
"1998 Q2","117.8"
"1998 Q3","114.1"
"1998 Q4","115.3"
"1999 Q1","116.7"
"1999 Q2","116.3"
"1999 Q3","117.7"
"1999 Q4","115.5"
"2000 Q1","114.2"
"2000 Q2","116.5"
"2000 Q3","119.8"
"2000 Q4","120.0"
"2001 Q1","118.2"
"2001 Q2","118.6"
"2001 Q3","111.3"
"2001 Q4","102.8"
"2002 Q1","101.5"
"2002 Q2","98.7"
"2002 Q3","91.8"
"2002 Q4","91.4"
"2003 Q1","85.7"
"2003 Q2","84.8"
"2003 Q3","86.2"
"2003 Q4","83.4"
"2004 Q1","78.0"
"2004 Q2","81.1"
"2004 Q3","79.8"
"2004 Q4","77.6"
"2005 Q1","75.8"
"2005 Q2","76.6"
"2005 Q3","78.8"
"2005 Q4","77.9"
"2006 Q1","77.9"
"2006 Q2","76.3"
"2006 Q3","74.0"
"2006 Q4","73.9"
"2007 Q1","73.2"
"2007 Q2","70.5"
"2007 Q3","69.5"
"2007 Q4","69.6"
"2008 Q1","72.1"
"2008 Q2","72.5"
"2008 Q3","74.4"
"2008 Q4","82.7"
"2009 Q1","85.3"
"2009 Q2","86.5"
"2009 Q3","84.9"
"2009 Q4","85.6"
"2010 Q1","87.0"
"2010 Q2","89.5"
"2010 Q3","88.1"
"2010 Q4","86.8"
"2011 Q1","83.8"
"2011 Q2","83.0"
"2011 Q3","84.2"
"2011 Q4","86.1"
"2012 Q1","87.4"
"2012 Q2","87.0"
"2012 Q3","87.0"
"2012 Q4","86.4"
"2013 Q1","87.0"
"2013 Q2","87.1"
"2013 Q3","86.3"
"2013 Q4","85.1"
"2014 Q1","84.4"
"2014 Q2","87.6"
"2014 Q3","96.1"
"2014 Q4","98.0"
"2015 Q1","101.0"
"2015 Q2","99.9"
"2015 Q3","99.0"
"2015 Q4","100.1"
"2016 Q1","103.1"
"2016 Q2","103.5"
"2016 Q3","110.9"
"2016 Q4","114.3"
"2017 Q1","115.1"
"2017 Q2","112.9"
"2017 Q3","112.2"
"2017 Q4","111.8"
"2018 Q1","109.4"
"2018 Q2","110.9"
"2018 Q3","114.7"
"2018 Q4","115.6"
"2019 Q1","112.5"
"2019 Q2","114.0"
"2019 Q3","120.4"
"2019 Q4","116.2"
"2020 Q1","117.3"
"2020 Q2","118.0"
"2020 Q3","116.9"
"2020 Q4","116.6"
"2021 Q1","113.2"
"2021 Q2","111.8"
"2021 Q3","111.4"
"2021 Q4","112.4"
"2022 Q1","113.2"
"2022 Q2","116.7"
"2022 Q3","125.6"
"2022 Q4","132.2"
"2023 Q1","133.0"
"2023 Q2","131.1"
"2023 Q3","130.2"
"2023 Q4","131.4"
"2024 Q1","129.1"
"2024 Q2","130.7"
"2024 Q3","129.0"
"2024 Q4","127.6"
"2025 Q1","128.9"
"2025 Q2","126.3"
"2025 Q3","127.4"
"2025 Q4","127.7"
"2026 Q1","126.4"
"2026 Q2","126.4"
"1996 JAN","161.4"
"1996 FEB","160.6"
"1996 MAR","160.3"
