"Title","PPI INDEX IMPORT - C Manufactured products 2015=100"
"CDID","GB8U"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2008","97.1"
"2009","96.2"
"2010","99.2"
"2011","104.4"
"2012","104.0"
"2013","104.7"
"2014","102.2"
"2015","100.0"
"2016","105.8"
"2017","112.9"
"2018","114.8"
"2019","116.9"
"2020","118.0"
"2021","120.3"
"2022","137.3"
"2023","145.0"
"2024","143.2"
"2025","144.2"
"2008 Q4","97.1"
"2009 Q1","98.2"
"2009 Q2","95.7"
"2009 Q3","94.5"
"2009 Q4","96.4"
"2010 Q1","97.5"
"2010 Q2","99.3"
"2010 Q3","99.2"
"2010 Q4","100.9"
"2011 Q1","102.1"
"2011 Q2","104.2"
"2011 Q3","105.9"
"2011 Q4","105.3"
"2012 Q1","104.8"
"2012 Q2","103.9"
"2012 Q3","103.4"
"2012 Q4","103.9"
"2013 Q1","106.1"
"2013 Q2","105.5"
"2013 Q3","104.5"
"2013 Q4","102.7"
"2014 Q1","102.1"
"2014 Q2","102.1"
"2014 Q3","102.3"
"2014 Q4","102.5"
"2015 Q1","101.1"
"2015 Q2","100.4"
"2015 Q3","99.6"
"2015 Q4","98.8"
"2016 Q1","101.4"
"2016 Q2","102.9"
"2016 Q3","108.4"
"2016 Q4","110.5"
"2017 Q1","111.7"
"2017 Q2","112.3"
"2017 Q3","113.8"
"2017 Q4","113.7"
"2018 Q1","112.8"
"2018 Q2","113.8"
"2018 Q3","116.2"
"2018 Q4","116.3"
"2019 Q1","115.0"
"2019 Q2","116.2"
"2019 Q3","119.7"
"2019 Q4","116.5"
"2020 Q1","117.4"
"2020 Q2","117.5"
"2020 Q3","118.2"
"2020 Q4","118.7"
"2021 Q1","118.0"
"2021 Q2","119.2"
"2021 Q3","120.9"
"2021 Q4","123.2"
"2022 Q1","126.4"
"2022 Q2","135.3"
"2022 Q3","142.0"
"2022 Q4","145.5"
"2023 Q1","146.7"
"2023 Q2","144.5"
