page_url,title,release_date,date,file_url,suffix,file
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10051636&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - April 2019,2019-05-14,2019-04-01,https://www.bok.or.kr/fileSrc/eng/d0bd98622ae4cd8ce246b445e53c9c5c/3/201905170154563562.xls,.xls,201904.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10052233&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - May 2019,2019-06-14,2019-05-01,https://www.bok.or.kr/fileSrc/eng/501660965292ad31508ec713b4cc87a3/3/201906140916549962.xls,.xls,201905.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10052737&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - June 2019,2019-07-12,2019-06-01,https://www.bok.or.kr/fileSrc/eng/8603421c4ec6b57e85be751c0b08bc04/3/201907110542357372.xls,.xls,201906.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10053322&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - July 2019,2019-08-14,2019-07-01,https://www.bok.or.kr/fileSrc/eng/74c64a5023847a616255c38ade678498/3/201908131116359832.xls,.xls,201907.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10053898&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - August 2019,2019-09-18,2019-08-01,https://www.bok.or.kr/fileSrc/eng/2b5e3e5bae349c2405e7bb39b5229ddc/3/201909171021436382.xls,.xls,201908.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10054345&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - September 2019,2019-10-16,2019-09-01,https://www.bok.or.kr/fileSrc/eng/3c2c0a576abc2278ce36c60b651d851c/3/201910151038414202.xls,.xls,201909.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10054839&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - October 2019,2019-11-14,2019-10-01,https://www.bok.or.kr/fileSrc/eng/175e08dd8b2415bb2dda1c9d13c4b236/3/201911131147144612.xls,.xls,201910.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10055334&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - November 2019,2019-12-13,2019-11-01,https://www.bok.or.kr/fileSrc/eng/5986036142969e5762b9b57c1c46212e/3/201912121007416352.xls,.xls,201911.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10056017&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - December 2019,2020-01-15,2019-12-01,https://www.bok.or.kr/fileSrc/eng/b88c4e68c90cb0c7d8559806add796dc/3/202001140958133772.xls,.xls,201912.xls
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10056540&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - January 2020,2020-02-14,2020-01-01,https://www.bok.or.kr/fileSrc/eng/74b9a5493c523a31cad74589bbc467c0/3/202002130540198162.xlsx,.xlsx,202001.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10056964&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - February 2020,2020-03-13,2020-02-01,https://www.bok.or.kr/fileSrc/eng/116b31a039b2113ca6c06c88629b377b/3/202004090417581332.xlsx,.xlsx,202002.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10057615&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - March 2020,2020-04-14,2020-03-01,https://www.bok.or.kr/fileSrc/eng/9723b0162195c46ba1bb39745e3ed136/3/202004130833470512.xlsx,.xlsx,202003.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10058147&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - April 2020,2020-05-15,2020-04-01,https://www.bok.or.kr/fileSrc/eng/1ad7238a47ce4930479d14e0b0b8e152/3/202005130134528122.xlsx,.xlsx,202004.xlsx
