date,kr_epi_tech,kr_epi_tech_12m_pct,kr_epi_all,kr_epi_all_12m_pct,coverage_version,release_date,source_page,source_file,local_file
2019-04-01,58.01,-6.9,83.48,-0.4,legacy_electrical_electronic,2019-05-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10051636&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/d0bd98622ae4cd8ce246b445e53c9c5c/3/201905170154563562.xls,201904.xls
2019-05-01,86.58,-8.6,103.16,0.4,computers_electronic_optical,2019-06-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10052233&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/501660965292ad31508ec713b4cc87a3/3/201906140916549962.xls,201905.xls
2019-06-01,84.84,-10.3,100.95,-2.5,computers_electronic_optical,2019-07-12,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10052737&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/8603421c4ec6b57e85be751c0b08bc04/3/201907110542357372.xls,201906.xls
2019-07-01,82.49,-15.0,100.56,-5.3,computers_electronic_optical,2019-08-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10053322&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/74c64a5023847a616255c38ade678498/3/201908131116359832.xls,201907.xls
2019-08-01,83.1,-14.3,101.9,-3.9,computers_electronic_optical,2019-09-18,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10053898&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/2b5e3e5bae349c2405e7bb39b5229ddc/3/201909171021436382.xls,201908.xls
2019-09-01,81.63,-15.5,101.03,-5.0,computers_electronic_optical,2019-10-16,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10054345&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/3c2c0a576abc2278ce36c60b651d851c/3/201910151038414202.xls,201909.xls
2019-10-01,79.19,-17.6,99.04,-7.3,computers_electronic_optical,2019-11-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10054839&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/175e08dd8b2415bb2dda1c9d13c4b236/3/201911131147144612.xls,201910.xls
2019-11-01,77.68,-18.5,97.11,-6.2,computers_electronic_optical,2019-12-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10055334&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/5986036142969e5762b9b57c1c46212e/3/201912121007416352.xls,201911.xls
2019-12-01,77.68,-17.7,97.54,-3.1,computers_electronic_optical,2020-01-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10056017&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/b88c4e68c90cb0c7d8559806add796dc/3/202001140958133772.xls,201912.xls
2020-01-01,77.04,-14.3,96.59,-2.7,computers_electronic_optical,2020-02-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10056540&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/74b9a5493c523a31cad74589bbc467c0/3/202002130540198162.xlsx,202001.xlsx
2020-02-01,79.84,-9.3,97.9,-1.8,computers_electronic_optical,2020-03-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10056964&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/116b31a039b2113ca6c06c88629b377b/3/202004090417581332.xlsx,202002.xlsx
2020-03-01,82.45,-3.9,96.59,-3.3,computers_electronic_optical,2020-04-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10057615&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/9723b0162195c46ba1bb39745e3ed136/3/202004130833470512.xlsx,202003.xlsx
2020-04-01,84.52,-0.4,94.54,-5.9,computers_electronic_optical,2020-05-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10058147&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/1ad7238a47ce4930479d14e0b0b8e152/3/202005130134528122.xlsx,202004.xlsx
2020-05-01,83.76,-3.2,94.61,-8.2,computers_electronic_optical,2020-06-12,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10058687&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/80eb0c592808cc7bca81ad878875220e/3/202006110943519882.xlsx,202005.xlsx
2020-06-01,82.35,-3.0,94.75,-6.0,computers_electronic_optical,2020-07-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10059251&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/c34654217b92049d97787842be0dcade/3/202007141100365842.xlsx,202006.xlsx
2020-07-01,80.69,-1.8,94.59,-5.8,computers_electronic_optical,2020-08-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10059785&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/e1c37a87d6da5472e6ea629084606656/3/202008130450162792.xlsx,202007.xlsx
2020-08-01,80.68,-2.7,94.92,-6.8,computers_electronic_optical,2020-09-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10060265&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/63301d435c1ee0b3d6ed11d30e948e04/3/202009140427592892.xlsx,202008.xlsx
2020-09-01,80.75,-0.6,94.7,-6.2,computers_electronic_optical,2020-10-16,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10060739&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/90d60a21c238a18e3be3bba4849976a4/3/202010150224570232.xlsx,202009.xlsx
2020-10-01,77.9,-1.5,92.51,-6.4,computers_electronic_optical,2020-11-12,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10061194&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/eb664151c559b287c8b3211eb37378dd/3/202011111052203652.xlsx,202010.xlsx
2020-11-01,77.01,-0.2,91.96,-4.9,computers_electronic_optical,2020-12-16,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10061786&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/705e1ec0a964a9b613b7abb697d19125/3/202012150455496432.xlsx,202011.xlsx
