horizon,unit_tech_aggregate_response_pp,unit_lower_90,unit_upper_90,latest_pressure_pp,pressure_per_innovation_sd,calibration_innovation_sd,calibrated_tech_aggregate_response_pp,calibrated_lower_90,calibrated_upper_90,headline_cpi_contribution_bp,headline_lower_90_bp,headline_upper_90_bp,basket_weight_per_1000
0,0.6974895182958789,0.326240054470844,1.0687389821209137,2.93099763582492,1.329664743034886,2.204313268572558,1.5374853998698879,0.7191352808099154,2.35583551892986,1.9671510697175267,0.9201048263850545,3.0141973130499986,12.7946
1,1.125568181721372,0.5321634014564248,1.718972961986319,2.93099763582492,1.329664743034886,2.204313268572558,2.4811048776515086,1.1730548468791022,3.7891549084239142,3.1744744467599992,1.5008767543879362,4.848072139132062,12.7946
2,1.766923661232505,0.7704611509764051,2.7633861714886048,2.93099763582492,1.329664743034886,2.204313268572558,3.894853271009614,1.6983377380169746,6.091368804002253,4.9833089661259615,2.1729552022831986,7.793662729968723,12.7946
3,2.375961331192592,1.0313777349549775,3.7205449274302063,2.93099763582492,1.329664743034886,2.204313268572558,5.237363087963148,2.273479626071568,8.201246549854728,6.70099657652533,2.9088262423735283,10.49316691067713,12.7946
4,2.8728673770179056,1.2701026633053394,4.475632090730472,2.93099763582492,1.329664743034886,2.204313268572558,6.332699678009811,2.7997041531733036,9.865695202846318,8.102435930026434,3.582109475819115,12.62276238423375,12.7946
5,3.435415502380374,1.6000606796846828,5.270770325076065,2.93099763582492,1.329664743034886,2.204313268572558,7.572731974956919,3.527034986750172,11.618428963163666,9.68900765267838,4.512700184147375,14.865315121209386,12.7946
6,3.73163325967216,1.722670853580479,5.740595665763841,2.93099763582492,1.329664743034886,2.204313268572558,8.225688707742009,3.7973062199306638,12.654071195553353,10.524439674007592,4.858501416152487,16.19037793186269,12.7946
7,4.392433740977129,2.281907701753114,6.502959780201143,2.93099763582492,1.329664743034886,2.204313268572558,9.682299976561684,5.030039424632301,14.334560528491066,12.388115528011612,6.435734242240045,18.340496813783183,12.7946
8,4.6170322790031895,2.545783141343194,6.688281416663185,2.93099763582492,1.329664743034886,2.204313268572558,10.177385514034526,5.611703557371131,14.743067470697923,13.021557669786617,7.1799502335140675,18.863165106059164,12.7946
9,4.738204272363814,2.750875805127042,6.7255327396005855,2.93099763582492,1.329664743034886,2.204313268572558,10.444486546778737,6.063792037436757,14.825181056120718,13.363302757141525,7.758379360218834,18.968226154064215,12.7946
10,4.956586988637181,3.179471780647283,6.733702196627078,2.93099763582492,1.329664743034886,2.204313268572558,10.925870465887035,7.008551833132824,14.843189098641249,13.979214226283826,8.967161728420123,18.991266724147533,12.7946
11,4.988280664608763,3.3325233095495648,6.644038019667962,2.93099763582492,1.329664743034886,2.204313268572558,10.995733256361035,7.345925349067439,14.645541163654629,14.06860087218369,9.398817647117827,18.738384097249554,12.7946
12,4.408769272214254,2.7786391343182526,6.038899410110256,2.93099763582492,1.329664743034886,2.204313268572558,9.71830860481686,6.12499111235269,13.31162609728103,12.43418712751898,7.836681128610773,17.03169312642719,12.7946
