target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,65,1.017318753234128,0.6307692307692307,0.4369239700383032,0.5112649373174533
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,63,1.0486591779242995,0.5873015873015873,0.6237534292551727,0.6237534292551727
cpi_L7GG_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,61,1.092782591246291,0.5901639344262295,0.7396625131255793,0.9432247361850116
cpi_L7GG_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,1.1795506868736605,0.5833333333333334,0.5112649373174533,0.5112649373174533
cpi_L7GG_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,1.0198626121928105,0.6086956521739131,0.5275185629200261,0.6237534292551727
cpi_L7GG_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,1.090782607761993,0.4761904761904761,0.9432247361850116,0.9432247361850116
cpi_L7GG_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,65,0.9800230315567072,0.7076923076923077,0.0204992759069522,0.0819971036278091
cpi_L7GG_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,63,0.9629708708264306,0.6507936507936508,0.023041346658261,0.0921653866330443
cpi_L7GG_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,61,0.9552424918915722,0.6065573770491803,0.0443015431036402,0.174832382206337
cpi_L7GG_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,65,0.993064182019289,0.676923076923077,0.1195017045459218,0.2390034090918437
cpi_L7GG_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,63,1.0065391826107082,0.6825396825396826,0.4426319024000245,0.6237534292551727
cpi_L7GG_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,61,0.9739902873758656,0.6885245901639344,0.0874161911031685,0.174832382206337
cpi_L7GM_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,65,0.9893329162794228,0.5230769230769231,0.0535304250218417,0.214121700087367
