target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,65,1.0221995185542143,0.6,0.9482039517066811,0.9482039517066811
headline_12m_pct,uk_ipi_c26_12m_pct,2,expanding_ar1,63,1.0290976109683494,0.6666666666666666,0.8787481785936454,0.9983065448527628
headline_12m_pct,uk_ipi_c26_12m_pct,3,expanding_ar1,61,1.0087985074100991,0.6885245901639344,0.2911875875284367,0.4367813812926551
headline_12m_pct,uk_ipi_c26_12m_pct,4,expanding_ar1,59,0.9865383364150284,0.6101694915254238,0.0762417445087894,0.1161369785111237
headline_12m_pct,uk_ipi_c26_12m_pct,5,expanding_ar1,57,1.0014350240296237,0.6666666666666666,0.1695685625906811,0.2270347238064291
headline_12m_pct,uk_ipi_c26_12m_pct,6,expanding_ar1,55,1.021609830786241,0.6181818181818182,0.3420167247246817,0.4104200696696181
headline_12m_pct,uk_ipi_c26_12m_pct,7,expanding_ar1,53,1.044474865592071,0.8113207547169812,0.364119375964079,0.4369432511568948
headline_12m_pct,uk_ipi_c26_12m_pct,8,expanding_ar1,51,1.0779641532844542,0.7254901960784313,0.4112621312186907,0.4935145574624288
headline_12m_pct,uk_ipi_c26_12m_pct,9,expanding_ar1,49,1.1943923551811444,0.7346938775510204,0.3081426181765998,0.4622139272648997
headline_12m_pct,uk_ipi_c26_12m_pct,10,expanding_ar1,47,1.4413371627970069,0.8085106382978723,0.4715262420687328,0.6680401775213892
headline_12m_pct,uk_ipi_c26_12m_pct,11,expanding_ar1,45,1.7967140526595118,0.7333333333333333,0.8006251203793178,0.9059263155935344
headline_12m_pct,uk_ipi_c26_12m_pct,12,expanding_ar1,43,1.838145676349234,0.6511627906976745,0.9035494012777998,0.9657559638563382
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,1,expanding_ar1,65,1.0264931043154062,0.6153846153846154,0.7799514743109608,0.9482039517066811
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,2,expanding_ar1,63,1.036820779450055,0.6349206349206349,0.93673259876549,0.9983065448527628
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,3,expanding_ar1,61,1.02865044381466,0.6557377049180327,0.2863209423229036,0.4367813812926551
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,4,expanding_ar1,59,1.0065420909988296,0.6271186440677966,0.0774246523407491,0.1161369785111237
