origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n
2026-07-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,12,2.10178029412576,14.962836411172322,12.861056117046562,4.461844211849861,5.84122057876897,20.64253332560763,statsmodels_ardl_ar2_factor_lags_0_2,125
2026-07-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,12,1.4049518695022014,28.21364689688499,26.808695027382786,8.787411018899357,14.26238740904783,42.92497895928597,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,0.06430177962080869,21.688732691909088,21.62443091228828,8.721163538629249,8.760547653113719,37.30853049459919,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,12,2.672507722355591,0.1730706512832736,-2.4994370710723173,3.8865552940838337,-7.328150405916589,4.906146105036997,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,intensifying,Intensifying pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,5,-1.4254480814566408,0.5157892116227423,1.941237293079383,3.070790174595142,-3.157457070523238,6.770541329052443,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,retrenchment,Cyclical retrenchment,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,12,2.10178029412576,-3.7589175272122457,-5.860697821338006,1.9877362404349475,-9.16813103136657,-2.659519869244702,statsmodels_ardl_ar2_factor_lags_0_2,125
2026-07-01,retrenchment,Cyclical retrenchment,historical_ex_games_12m_pct,Technology CPI ex-games,basket,12,1.4049518695022014,-10.352246220021426,-11.757198089523627,3.6103308896584334,-18.510134951605867,-6.361160651605187,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,0.06430177962080869,-9.429183686032662,-9.493485465653471,3.7059443709394744,-15.95785701867429,-3.9018243433660706,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,7,1.4592452071389332,1.0541771901659107,-0.4050680169730225,0.7466138825711044,-1.800017123529497,0.6323194737740228,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,8,-0.624368911386797,-1.3684075158684914,-0.7440386044816945,1.976626900555088,-3.788643119010284,2.5327022751705264,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,12,2.10178029412576,6.816284895465094,4.714504601339334,1.6274916861601256,2.1424813108910206,7.537372934351223,statsmodels_ardl_ar2_factor_lags_0_2,125
2026-07-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,12,1.4049518695022014,11.157918145707164,9.752966276204962,3.155323269015625,5.21309758464388,15.566404951146021,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,0.06430177962080869,7.932242374825082,7.867940595204273,3.1527463578330446,3.1806821839776567,13.524385510543866,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,12,2.672507722355591,1.9319195244898437,-0.7405881978657471,1.4654710039870071,-2.585374256210064,2.0421297339234465,statsmodels_ardl_ar2_factor_lags_0_2,156
2026-07-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,4,-1.6551317748470418,-1.0237804234466852,0.6313513514003566,0.7302890570342396,-0.6067122725246715,1.792527799660014,statsmodels_ardl_ar2_factor_lags_0_2,156
