method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_12,n,ar_lags
raw_annual_rates,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,9,0.5609887656107153,0.560985110522379,0.043478260869565216,0.043478260869565216,49,0
raw_annual_rates,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,10,0.6052286413082989,0.6070584473743917,0.043478260869565216,0.043478260869565216,48,0
raw_annual_rates,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,11,0.6151038428813644,0.6196387883790704,0.043478260869565216,0.043478260869565216,47,0
raw_annual_rates,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,12,0.619433694645182,0.619433694645182,0.043478260869565216,0.043478260869565216,46,0
raw_annual_rates,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,5,0.6995242516267514,0.7220849208193906,0.07692307692307693,0.07692307692307693,43,0
raw_annual_rates,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,6,0.797325346987387,0.8263959978834348,0.07692307692307693,0.07692307692307693,42,0
raw_annual_rates,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,7,0.8462324901588297,0.8844571620489117,0.07692307692307693,0.07692307692307693,41,0
raw_annual_rates,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,8,0.8071377579043633,0.8502012894087364,0.07692307692307693,0.07692307692307693,40,0
raw_annual_rates,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,9,0.7814442021500319,0.8116929942980068,0.07692307692307693,0.07692307692307693,39,0
raw_annual_rates,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,10,0.7071400234998906,0.7432079823532126,0.07692307692307693,0.07692307692307693,38,0
raw_annual_rates,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,full,9,0.5875109979239878,0.5939911160568551,0.043478260869565216,0.043478260869565216,49,0
raw_annual_rates,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,full,10,0.6595697512245355,0.6606993478981592,0.043478260869565216,0.043478260869565216,48,0
raw_annual_rates,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,full,11,0.6902935841744112,0.6924841173608498,0.043478260869565216,0.043478260869565216,47,0
raw_annual_rates,ex_games_12m_pct,cn_ppi_tech_gbp_12m_pct,full,12,0.6928280329804821,0.6928280329804821,0.043478260869565216,0.043478260869565216,46,0
raw_annual_rates,ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,pre_2020,4,0.6932200339619792,0.7094397908277934,0.07692307692307693,0.07692307692307693,44,0
raw_annual_rates,ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,pre_2020,5,0.7913338218928914,0.8174907212095127,0.07692307692307693,0.07692307692307693,43,0
raw_annual_rates,ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,pre_2020,6,0.8507445950854068,0.8865794849146293,0.07692307692307693,0.07692307692307693,42,0
raw_annual_rates,ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,pre_2020,7,0.8517367155603814,0.9016398840048213,0.07692307692307693,0.07692307692307693,41,0
raw_annual_rates,ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,pre_2020,8,0.7660795081443815,0.822872328891645,0.07692307692307693,0.07692307692307693,40,0
raw_annual_rates,ex_games_12m_pct,tw_epi_integrated_circuits_gbp_12m_pct,pre_2020,9,0.6907563685672682,0.7280700683519031,0.07692307692307693,0.07692307692307693,39,0
raw_annual_rates,ex_games_12m_pct,hk_ppi_tech_gbp_12m_pct,pre_2020,0,0.8190201150957759,0.851241511550149,0.07692307692307693,0.07692307692307693,48,0
raw_annual_rates,ex_games_12m_pct,hk_ppi_tech_gbp_12m_pct,pre_2020,1,0.8657328101749605,0.8977142459999622,0.07692307692307693,0.07692307692307693,47,0
raw_annual_rates,ex_games_12m_pct,hk_ppi_tech_gbp_12m_pct,pre_2020,2,0.8949016278847018,0.9254459188848955,0.07692307692307693,0.07692307692307693,46,0
raw_annual_rates,ex_games_12m_pct,hk_ppi_tech_gbp_12m_pct,pre_2020,3,0.8495499590351613,0.8787543535820511,0.07692307692307693,0.07692307692307693,45,0
raw_annual_rates,ex_games_12m_pct,hk_ppi_tech_gbp_12m_pct,pre_2020,4,0.7816500484554791,0.8150787094854657,0.07692307692307693,0.07692307692307693,44,0
raw_annual_rates,ex_games_12m_pct,hk_ppi_tech_gbp_12m_pct,pre_2020,5,0.7061356594792048,0.7415080979529176,0.07692307692307693,0.07692307692307693,43,0
raw_annual_rates,ex_games_12m_pct,oecd_asia_c26_targeted_gbp_12m_pct,full,10,0.5997306329048746,0.6159530942168185,0.037037037037037035,0.037037037037037035,52,0
raw_annual_rates,ex_games_12m_pct,oecd_asia_c26_targeted_gbp_12m_pct,full,11,0.6553601532816293,0.670692476983301,0.037037037037037035,0.037037037037037035,51,0
raw_annual_rates,ex_games_12m_pct,oecd_asia_c26_targeted_gbp_12m_pct,full,12,0.6542434748882047,0.6542434748882047,0.037037037037037035,0.037037037037037035,50,0
